Tue Aug 04 09:22:25 PDT 2015 --  Interviewer: What is your name? Girl: Ima Interviewer: But online application entry says Pornima?? Girl: I had applied on 31st July.B4 ban
Mon Aug 03 21:50:13 PDT 2015 --  Banned Maggi and Porn. Basically government is against anything which gives you pleasure in 2 minutes.
Mon Aug 03 07:34:47 PDT 2015 --  जब तक पंतजलि का शुद्ध देशी पोर्न DVD बाजार में नहीं आ जाता तब तक लोगों से आग्रह है कि वो धैर्य और वीर्य दोनों रखें! #Porn_ban
Sun Aug 02 07:26:25 PDT 2015 --  Happy "Maine Tumhe Kabhi Uss Nazar Se Nahi Dekha" Day!
Sat Aug 01 11:36:38 PDT 2015 --  Dear मोदी जी, पेट्रोल सस्ता हुआ, डीजल भी हुआ। बेचारी दारु ने आपका क्या बिगाड़ा है ? उसने कांग्रेस को वोट दिया था क्या ?
Fri Jul 31 05:09:07 PDT 2015 --  मैं उनमे से था जिसको गुरु ही अक्‍सर ढूंढा करते थे और कहते थे ''नालायक कहीं के कभी तो क्‍लास मे दिखा करो...'' #GuruPurnima
Thu Jul 30 05:38:25 PDT 2015 --  2day whole India will CRY MANY will cry 4 #APJAbdulKalam Sir & REMAINING 4 #YakubHanged #BharatMataKiJai
Wed Jul 29 09:13:49 PDT 2015 --  कलम चली जब पन्ने पर, पन्ने पर दिया नाम कलाम... हे भारत के भारत रत्न ,तुम्हे भारत की जनता करे सलाम।... #RIPKalamSir
Wed Jul 29 07:02:10 PDT 2015 --  भारत सरकार से अनुरोध है की पूर्व राष्ट्रपति के लिए 21 तोपे ना चला कर 21 मिसाइलें पाकिस्तान की तरफ चला दें... यही सच्ची श्रद्धांजलि होगी...
Mon Jul 27 23:33:00 PDT 2015 --  मिसाइल बनाते थे और अब पूरी दुनिया के लिए "मिसाल" बन गए ॥ #RIPKalam
Sat Jul 25 05:24:40 PDT 2015 --  अगर मुन्नी चीन की होती तो बजरंगी भाई जान की सारी उम्र निकल जाती उसके माँ बाप को ढूँढ़ते ढूँढ़ते --- क्योंकि सबकी शक्ल एक जैसी
Sat Jul 25 05:22:51 PDT 2015 --  Before Judgement :Terrorism has no religion! After Judgement: Yakub Menon is being hanged because of his religion. Heil Secularism..
Sat Jul 25 05:19:40 PDT 2015 --  बंजरगी भाईजान से एक ही बात सिखी... अगर कोई लडकी आपको भाई बोले तो भी हार ना माने...chance अभी भी है..
Sat Jul 25 05:17:23 PDT 2015 --  भारतीय सेना के सारे सिपाहियो को हटा कर वहाँ साउथ के 10-12 हीरो को भेज देना चाहिए नोट: ( रजनीकांत का उपयोग केवल विश्वयुद्ध में किया जायेगा)
Fri Jul 24 07:53:21 PDT 2015 --  NASA discovered Earth 2.0 ! Proud moment for them. Robert Vadra reportedly contacted NASA to get land rates Proud moment for Indians.
Mon Jul 20 23:09:03 PDT 2015 --  अगर इसी तरह लोग पिज्ज़ा बर्गर खाते रहे तो एक दिन ऐसा भी आयेगा जब बेलन सिर्फ पति पीटने के ही काम आया करेंगा..!!
Sun Jul 19 19:50:33 PDT 2015 --  बियर तो दोनों को ही पंसन्द थी.. फ़र्क़ सिर्फ इतना था.. उसे teady बियर.. मुझे strong बियर पसंद थी..
Wed Jul 15 22:46:39 PDT 2015 --  #If_Superheroes_Were_Indians Man: help me! I m in trouble! Superman: can't help you.. general quota khatm.. now helping only SCs nd STs
Wed Jul 15 22:43:34 PDT 2015 --  #CSK - Chennai Super Kicked #RR - Rajasthan Ruled-out #IPLVerdict
Tue Jul 14 05:31:57 PDT 2015 --  Yograj Singh was seen running naked in Chandigarh and jumped into Sukhna lake later. #IPLVerdict
Mon Jul 13 07:06:37 PDT 2015 --  Todays Analysis Sensex: 28208 Gold: 26500 Silver: 36300 USS: 63.40 Vyapam: 46
Sat Jul 11 06:01:23 PDT 2015 --  Dettol kills 99.9% Germs . . Still it loses to vyapam scam which kills 100%
Thu Jul 09 09:51:35 PDT 2015 --  बहुत तंग करने लगी हैं तेरी यादें आजकल, सोचता हूँ इनका भी नाम #व्यापम में लिखवा दूँ... #
Wed Jul 08 22:01:06 PDT 2015 --  सिर्फ घूमने आये हो तो सही सलामत अपने द्वार जाओगे और अगर व्यापम की बात की तो सीधे हरी द्वार जाओगे :- #मध्य प्रदेश टूरिज्म#
Wed Jul 08 05:17:44 PDT 2015 --  व्यापम की मारक क्षमता को देखते हुए भारत ने उसे भारतीय सेना में शामिल करने की घोषणा की है। # # चीन ,पाकिस्तान और अमेरिका में भारी घबराहट ।
Mon Jul 06 07:48:14 PDT 2015 --  शोनाक्षी सिन्हा और टाईगर श्रोफ को लेकर फिल्म बने तो यह बताना मुश्किल हो जायेगा की हिरो कौन है और हिरोईन कौन.. #IIFA2015
Mon Jul 06 00:21:04 PDT 2015 --  मैने आज तक किसी को ईट का जवाब पत्थर से नहीं दिया, बल्कि उनकी फेकी हुई ईंटों से.. . . . . . . . . शोचालय बनवा लिया #जहां_सोच_वहा_शोचालय
Sun Jul 05 04:36:49 PDT 2015 --  लालू ने कहा था कि वो सडको को हेमा मालिनी के गालो जैसा बनाऐगे वादा पूरा ना होने पर हेमा ने खुद अपने गालो को उनकी सडको जैसा बना लिया
