Tue Aug 04 21:15:01 PDT 2015 --  Ríete, ódiame, habla mal de mí… Que después de todo, yo se que te revienta verme feliz.
Tue Jul 14 20:25:02 PDT 2015 --  "Sé feliz porque las injusticias siempre se pagan, sé feliz porque el dolor siempre se supera y sé feliz porque los errores te enseñan."
Tue Jun 30 21:26:00 PDT 2015 --  En serio lo dijo ella? https://twitter.com/amigoperu76/status/616099826980229120 …
Mon May 18 08:32:26 PDT 2015 --  Un enemigo declarado es menos peligroso que un amigo ambiguo.
Sun May 17 18:54:09 PDT 2015 --  Cuando sientas que ya no puedes, inténtalo una vez más.
Wed Feb 25 18:21:40 PST 2015 --  Con el tiempo y la madurez... pic.twitter.com/JwDGqL8469
Fri May 15 19:35:45 PDT 2015 --  Ser un niño otra vez es lo mejor que nos puede pasar... Las rodillas raspadas sanan más rápido que los corazones rotos.
Sun May 10 06:05:30 PDT 2015 --  Si tuviera que regalarte algo te regalaria una espejo, porque despúes de Tí los mas lindo es tu reflejo... (Magali)
Sun May 10 03:06:05 PDT 2015 --  "Se que desde el cielo me cuidas pero aquí me haces mucha falta."
Sat May 09 23:26:04 PDT 2015 --  Amigos son los que te dicen las cosas de frente y te defienden a las espaldas.
