Thu Dec 11 11:22:10 PST 2014 --  Now it's to place a vote for @chrisbosh! Simply RT this to vote for CB! pic.twitter.com/4zLN0cJc9g
Thu Dec 11 11:16:38 PST 2014 --  Let's get this voting started with @DwyaneWade! Just RT this to cast your vote! #NBABallot pic.twitter.com/awRhHjEVyk
Sun Nov 30 10:50:06 PST 2014 --  Der BVB steht erstmals seit dem 2. Spieltag 2007/08 auf dem letzten Tabellenplatz. // Bottom of the table for the first time since 2007.
Tue Nov 25 06:47:34 PST 2014 --  Retweet to vote Bayern’s Jérôme Boateng into the @UEFAcom users’ #TeamOfTheYear pic.twitter.com/NHWQr8yNXg
Tue Nov 25 05:48:55 PST 2014 --  Retweet to vote Bayern’s Philipp Lahm into the @UEFAcom users’ #TeamOfTheYear pic.twitter.com/vcOqvk5jL5
Tue Nov 25 06:08:31 PST 2014 --  Retweet to vote Bayern’s David Alaba into the @UEFAcom users’ #TeamOfTheYear pic.twitter.com/JVOIkZvFqa
Tue Nov 25 03:05:30 PST 2014 --  Retweet to vote Bayern’s Manuel Neuer into the @UEFAcom users’ #TeamOfTheYear pic.twitter.com/PPlJWTkUSp
Sat Nov 22 05:41:46 PST 2014 --  Willkommen zurück im Kader, @BSchweinsteiger! #Fußballgott #FCBTSG #MiaSanMia pic.twitter.com/u2joc6vKm7
Tue Oct 28 14:46:00 PDT 2014 --  @Mariobasler Hahaha ... Balotelli hat in der 86.Minute den Ausgleich geschossen, da warst Du immer schon beim duschen.
Wed Oct 08 05:58:11 PDT 2014 --  Liebe Fans, DANKE für Eure Aufmunterungen nach meiner Verletzung! Das hilft mir sehr. Ich werde kämpfen und für Euch wieder kommen! Pepe
Sun Oct 05 11:11:32 PDT 2014 --  Difficult to sleep... #ForzaJules
Wed Oct 01 11:08:52 PDT 2014 --  NBA 2K15 PlayStation Exclusive: The Stage: http://youtu.be/Xmn1xVS7e6A?a  via @YouTube
Mon Sep 08 01:43:56 PDT 2014 --  Lastly I SCORED PAST MANUEL NEUER !!!! WOWWWW I CAN'T EVEN DO THAT ON FIFA #Godisgreat
Tue Aug 26 15:18:40 PDT 2014 --  Anybody got any cut and paste skills with changing my clippers jersey to a bucks one? Lol .. Time for a new avatar!
Tue Aug 26 07:10:13 PDT 2014 --  Happy #MaddenDay NFL fans! RT this tweet for your chance to win a copy of the game. pic.twitter.com/n6EWFm5kk3
Sun Jul 20 09:38:35 PDT 2014 --  In the next years it's definitely a goal of mine to become fluent and more confident in the German language. All help is welcome!
Fri Jul 18 08:40:21 PDT 2014 --  Philipp Lahms Klasse und Vielseitigkeit dürfte im DFB-Team schwer zu ersetzen sein. Wenigstens bleibt er dem @FCBayern erhalten.
Fri Jul 18 02:36:30 PDT 2014 --  Phillip Lahm has retired from international football. Thought he might have waited a while and attempted to go out on a high.
Wed Jul 16 03:36:19 PDT 2014 --  @BSchweinsteiger Basti world champion. So proud of you my friend Welcome in the club ! U play with passion and heart. Fantastic!
Tue Jul 15 10:59:48 PDT 2014 --  Home Is Where The Heart Is... My Home,My City,My House.. #HeatLifer http://instagram.com/p/qeyAwCFCDy/ 
Tue Jul 15 05:25:27 PDT 2014 --  Keine Typen? ;) Ein Empfang für Champions !!!!! Danke Berlin ! #weltmeister #poldi #aha #berlin #champions #bro #JB17 pic.twitter.com/4IQAX788m8
Mon Jul 14 11:04:59 PDT 2014 --  Congratulations !!!! #incredible #youdidit #DFBTeam #WorldCup2014 We are very happy! @David_Alaba pic.twitter.com/z8OOvMwQ1b
Sun Jul 13 16:34:39 PDT 2014 --  :)) pic.twitter.com/3TFbsiB5rC
Sun Jul 13 14:53:01 PDT 2014 --  SCHWEINSTEIGER !!!! He gave EVERYTHING today!!!!! Symbol of a German Hero tonight #GERARG
