Wed Feb 11 21:48:59 PST 2015 --  Sedih mendapat berita pemergian 'the voice of Malaysian sports' Datuk Hasbullah Awang sebentar tadi. Semoga rohnya dicucuri rahmat Allah SWT
Wed Feb 11 21:57:21 PST 2015 --  terimalah hakikat wahai sang pencinta
Wed Feb 11 20:03:36 PST 2015 --  berhabuk!!!!!!!!
Fri Sep 26 18:13:14 PDT 2014 --  wedding job for today..... with anasfx #asusphotogtaphy #zenfonecam #zenfone5 #CANON #50mm #panorama… http://instagram.com/p/tbhpFmD1Kv/ 
Tue Sep 23 03:51:57 PDT 2014 --  perbincangan untuk sponsorship dari farhasharifofficial_hijabista untuk photoshoot outing hijab… http://instagram.com/p/tSQsP2D1MW/ 
Mon Sep 22 21:28:46 PDT 2014 --  its true.....haaahahaha #photoshoot #photographer #CANON #NIKON http://instagram.com/p/tRk1yxD1JX/ 
Thu Sep 18 07:44:19 PDT 2014 --  dah sampaiiiiii..... #BSMM #REDCRESENT #IPK @ Kompleks Ibu Pejabat Bulan Sabit Merah Malaysia http://instagram.com/p/tFzT0bD1Mk/ 
Tue Sep 16 21:20:55 PDT 2014 --  Andai esok tiada lagi waktu buatku Andai esok tidak bersisa lagi sisa hidupku Andai saja esok mentari… http://instagram.com/p/tCHLDrD1JL/ 
Tue Sep 09 17:37:28 PDT 2014 --  good morning..... pic.twitter.com/e6iLOOpdk5
Tue Sep 09 09:24:09 PDT 2014 --  ko nk mkn kaki.. or ko nk mkn pkai tube?
Tue Sep 09 08:48:22 PDT 2014 --  amboiiiiiii... berhabuk n berbulu aku pnya twitter
Sun Apr 20 21:03:03 PDT 2014 --  There are 4 very important words in life. Love, Honesty, Truth and Respect. Without these in your life, you have nothing.
Tue Mar 18 08:59:28 PDT 2014 --  Penampaq jepon,penampaq ckgu dan penampaq boya mna pling pergh!!! Sapa. Mau cubatrytest???
Sun Mar 09 07:39:40 PDT 2014 --  Ramai bijak berkata-kata tapi bodoh untuk Berfikir
Sat Mar 08 23:00:21 PST 2014 --  "Single doesn't mean you don't know anything about love, it just means you know enough to wait for it."
Sun Mar 09 01:00:31 PST 2014 --  True love is like playing chess. A boy plays and always afraid of losing his queen and a girl risking everything just to protect her king.
Sun Mar 09 05:00:51 PDT 2014 --  Just promise me you'll think of me everytime you look up in the sky and see a star.
Sat Mar 08 01:07:26 PST 2014 --  #Singapore sends C130 aircraft to search for missing #MAS aircraft http://bit.ly/1ffawHJ  #MH370 #MalaysiaAirlines pic.twitter.com/HuAgu71n18
Sat Mar 08 01:50:44 PST 2014 --  The whole world is praying for u #mh370 Where r u? #MalaysiaBersedih pic.twitter.com/hQbGk6aaDE
Fri Mar 07 20:30:51 PST 2014 --  IF.... #PrayForMH370 pic.twitter.com/DINlfGZEXT
Sat Mar 08 01:55:53 PST 2014 --  Regardless of all speculation, be hopeful and keep praying for their safety and rescue. #MH370
Sat Mar 08 01:20:09 PST 2014 --  With the squad era sporting hbs.. Zillionthanx to #Skuadera pic.twitter.com/H7URSWa31a
