Wed Jun 17 11:24:25 PDT 2015 --  Meditate in Tropical Storms... Yeah we do that on the #southside pic.twitter.com/yzDA8ha80i
Fri Jun 12 23:21:44 PDT 2015 --  Unbelievable video of the shooting at Dallas PD HQ. Suspect is currently in standoff w/DPD in Hutchins. Shots fired. https://twitter.com/DoseOfJG/status/609601796516876288 …
Sun Jun 07 19:21:27 PDT 2015 --  Going to miss these boys. Best of luck at the next level! Show'em what Southside is all about. pic.twitter.com/RZ9WaG1rhh
Sat Jun 13 13:32:56 PDT 2015 --  Coming in clean at the nike festival 🏼 pic.twitter.com/SS5K0QX3Yn
Sat Jun 13 09:03:28 PDT 2015 --  #skyranch #cabin14 #allin #gotmilk https://instagram.com/p/34BZ_aHRkg/ 
Thu Jun 11 20:58:15 PDT 2015 --  #OKState QB J.W. Walsh big fan of Texas QB Jerrod Heard. Heard was a little freshman when Walsh was a senior. #txhsfb http://es.pn/1JMW2SG 
Thu Jun 04 17:41:57 PDT 2015 --  Congrats to our @NSCA All - Americans. http://www.dentonisd.org/Page/5678  @mike_khalifa32 @Dharius_Timmons @cameronwax11 pic.twitter.com/YbmJarPcFi
Thu Jun 04 15:00:23 PDT 2015 --  Spread the word: Denton Guyer football camp June 8th - 11th 8 am - 1 pm. http://www.guyerwildcatfootball.com 
Sat May 30 12:07:34 PDT 2015 --  #mooyah #currentsituation #jimmybuffet #parkinglot #security #parrotheadscantparkhere https://instagram.com/p/3UTWMInRs3/ 
Fri May 29 17:10:57 PDT 2015 --  #sneakypetes #swimmingpool #poolparty https://instagram.com/p/3SRRR0nRjW/ 
Fri May 29 17:08:15 PDT 2015 --  #southside #work #justanotherday #weightroomentry #thatshowweroll https://instagram.com/p/3SQ9g8nRi1/ 
Fri May 29 12:39:17 PDT 2015 --  #buckcreek #rayroberts #hwy377 #bridge #closed https://instagram.com/p/3RyLiDHRrr/ 
Fri May 29 10:40:15 PDT 2015 --  #casualwater #firewheel "Casual water" is a temporary accumulation of water on the golf course. In… https://instagram.com/p/3Rkir5HRg6/ 
Fri May 29 10:34:10 PDT 2015 --  #ttufishingteam #wreckem https://instagram.com/p/3Rj3L4HRvp/ 
Thu May 28 21:00:47 PDT 2015 --  #poolparty https://instagram.com/p/3QGx0znRq7/ 
Thu May 28 17:56:23 PDT 2015 --  Throwing it back I miss it pic.twitter.com/6g9eL5UAq8
Thu May 28 17:46:43 PDT 2015 --  #welcomeback #uraranger #lifestruggles #godlyman #stillaninspiration #stillarolemodel #txrangers https://instagram.com/p/3PwkeCnRgA/ 
Wed May 27 19:22:50 PDT 2015 --  #joyfulspirit #choristerchoir #fumcdenton # https://instagram.com/p/3NWxi3HRhC/ 
Thu May 21 16:52:07 PDT 2015 --  TD for Robinson's white team, and again, it's Mike Carrillo on a 5-yd run. Carrillo is probably best all-around player for Guyer. #txhsfb
Thu May 21 18:31:03 PDT 2015 --  Spring Ball 2015 is over but the chase is still on!! Keep the foot on the gas! #drawtheline
Thu May 21 19:50:45 PDT 2015 --  🏾 pic.twitter.com/Atw4k8Tx8z
Thu May 21 09:45:45 PDT 2015 --  Spring game tonight at 6. Come out and see what the 2015 Guyer Wildcats are about. pic.twitter.com/A2aHZux8DM
Thu May 21 10:54:44 PDT 2015 --  In 98 days, it's @DentonGuyerFB vs. @AllenEagles at Eagle Stadium. I think I'll clear my schedule. #txhsfb
Wed May 20 19:20:20 PDT 2015 --  Knew Guyer TE Brian Polendey was gonna be a special recruit. 2day he got offered by Michigan. http://recruiting.scout.com/player/8594441n-brian-polendey … pic.twitter.com/T8OCpIB1Ji
Wed May 20 18:57:29 PDT 2015 --  Spring Game Tomorrow. Preparation will determine who will be successful & who will struggle. Eat, Sleep, Compete!
Fri May 15 19:55:10 PDT 2015 --  Trought Twins catch a Jet after competing in State Track Meet trying to get back to Aledo for Prom. pic.twitter.com/tLeOjFqwOm
Sat May 16 12:20:58 PDT 2015 --  @smoothiekingdenton @dhariustimmons #highprotien #bannana #peanutbutter https://instagram.com/p/2wRwIMHRiY/ 
Sat May 16 11:58:52 PDT 2015 --  #beforethechop #betthehouse https://instagram.com/p/2wPOJsHRtH/ 
Sat May 16 11:06:50 PDT 2015 --  Waiting for Ryan's Avery Stuchell to compete in 6A pole vault at 1:30, and Guyer's Ethan Toy in 6A long jump at 2. #UILStateTrack
Fri May 15 11:18:22 PDT 2015 --  #betthehouse #foodporn #foodie https://instagram.com/p/2tlyq_HRg_/ 
Fri May 15 05:36:24 PDT 2015 --  #ripbbking https://instagram.com/p/2s-qHQnRq3/ 
Wed May 13 16:50:08 PDT 2015 --  #showtime https://instagram.com/p/2pCK5THRiv/ 
Sun May 10 18:47:38 PDT 2015 --  #closet https://instagram.com/p/2hhOyHnRix/ 
Sun May 10 16:28:58 PDT 2015 --  #brothers @lsaburger https://instagram.com/p/2hRXNZnRlO/ 
Fri May 08 10:06:52 PDT 2015 --  #$5friday #islandimpact https://instagram.com/p/2bcC1nnRkW/ 
Fri May 08 08:42:51 PDT 2015 --  #truth pic.twitter.com/Mj2r9UJvmF
Thu May 07 21:30:25 PDT 2015 --  jamiemahood #amazingartwork rachelandjonahsmom https://instagram.com/p/2aFednnRhU/ 
Thu May 07 20:52:25 PDT 2015 --  #gaswell #lightening #notchevron #oops https://instagram.com/p/2aBINNHRsl/ 
Thu May 07 20:18:15 PDT 2015 --  #flooding https://instagram.com/p/2Z9N3-nRng/ 
Thu May 07 20:09:30 PDT 2015 --  #chevron #35&380 https://instagram.com/p/2Z8N0YnRl8/ 
Thu May 07 18:04:52 PDT 2015 --  #10 https://instagram.com/p/2Zt8-gHRip/ 
Thu May 07 17:57:38 PDT 2015 --  https://instagram.com/p/2ZtIDHnRhU/ 
Wed May 06 11:07:42 PDT 2015 --  #southsidework https://instagram.com/p/2WZapMHRpn/ 
Wed May 06 08:58:38 PDT 2015 --  It takes a rare strength to hold your spirit intact and forge on w full effort even when the contest seems out of control #Parcellsisms
Mon May 04 10:04:12 PDT 2015 --  #maythe4thbwithu https://instagram.com/p/2RIj0kHRnA/ 
Thu Apr 30 17:10:27 PDT 2015 --  Guyer Spring Off Season 2015 #southsidework http://youtu.be/a2LIfiykzaU 
Sun Apr 26 13:23:50 PDT 2015 --  You get what you WORK for. Greatness is earned, not given! pic.twitter.com/vOmKirTRkZ
Thu Apr 23 05:20:12 PDT 2015 --  Having multiple offers and bad grades is like having a winning lottery ticket that you can't cash in. It looks good but has no value. #Ap2w
Thu Apr 23 04:44:25 PDT 2015 --  Can't stop, won't stop pic.twitter.com/56B7KY0Zcz
Wed Apr 22 10:02:59 PDT 2015 --  Freshman year to now pic.twitter.com/RLchAyM9Ms
Sun Apr 19 18:44:17 PDT 2015 --  # https://instagram.com/p/1rcJ9dHRkr/ 
Fri Apr 17 17:05:45 PDT 2015 --  Building Monsters @Dshawn_12era pic.twitter.com/ZHyn5ccLP8
Fri Apr 17 15:18:41 PDT 2015 --  Foundations-Trust-StuffThat Works-StuffThatHoldsUp-POWERLIFT has THE BEST Customers pic.twitter.com/KhchKAcTU2
Fri Apr 17 09:03:19 PDT 2015 --  Former Guyer and @OSUAthletics WR Josh Stewart came home to prepare for his return to the @TennesseeTitans. #txhsfb http://bit.ly/1On6iQz 
Thu Apr 16 15:20:47 PDT 2015 --  Another man added to the 300s. WR @jt_ashcraft2 overcame failure last time to dominate. pic.twitter.com/mCiB9EIClD
Wed Apr 15 19:19:13 PDT 2015 --  Wildcat Clean maxes: 5 over 300+ 15 over 275+ 31 over 250+ 48 over 225+ #drawtheline pic.twitter.com/m3hn4sPhlS
Tue Apr 14 11:34:48 PDT 2015 --  Shawn Robinson ( @Dshawn_12era) recently picked up offers from Ohio St. and Bama. Now he's top QB in nation. http://bit.ly/1yrDTHq  #txhsfb
Thu Apr 09 17:32:49 PDT 2015 --  Great talk from former @DentonGuyerFB & current @TennesseeTitans Josh Stewart today. "What's your why?" pic.twitter.com/fJfbj5N6Bs
Sun Apr 05 17:46:13 PDT 2015 --  UNT commit @kevindillman10 275 hang clean. Hard work pays off, but the chase never ends. pic.twitter.com/deWoLQ5lJt
Fri Apr 03 20:30:55 PDT 2015 --  “Pete Carroll's rugby-style tackling video last summer changed everything for Ohio State’s defense: http://bit.ly/1GqGxOs ” @kkloiber
Sat Apr 04 13:54:06 PDT 2015 --  Just posted a video https://instagram.com/p/1ETBc_HRqC/ 
Sat Apr 04 13:15:33 PDT 2015 --  pic.twitter.com/iZEQNrM4PV
Tue Mar 31 12:50:37 PDT 2015 --  I use @Uber to make money with my car & you can too. Use my link for $100 extra: http://partners.uber.com/drive/?invite_code=iuwsy …
Fri Mar 20 06:22:18 PDT 2015 --  Congrats to former Sandie standout @coach_lafavers as he becomes the new HC for @LamarConsHigh FB. Pre-season game? #sandies #txhsfb
Mon Mar 16 18:55:52 PDT 2015 --  #SpringBreakGrind pic.twitter.com/DsoDhFde2d
Mon Mar 16 18:52:30 PDT 2015 --  #springbreakin pic.twitter.com/lFnJTdKYA3
Tue Mar 10 10:41:23 PDT 2015 --  To the students angry our spring break is scheduled for next week instead of this week: Yup, we totally did that just to make you mad.
Fri Feb 27 12:21:12 PST 2015 --  Hey, Uber's offering new drivers up to $100 to get started. Sign up and learn more here: https://partners.uber.com/drive/?invite_code=iuwsy …
Wed Feb 25 11:49:47 PST 2015 --  #Snowday! I called school just 5 hours ago and I still say it was a good decision! Currently 51 degrees pic.twitter.com/65lph7b1kU
Fri Feb 20 18:58:57 PST 2015 --  UBER!!!
Fri Feb 13 18:04:35 PST 2015 --  Man, @Xavier_Brown34 reminds me of Dennis Rodman when he's grabbing a board. He does it with flair. Has 7 boards so far. #txhshoops
Fri Feb 13 07:49:59 PST 2015 --  pic.twitter.com/mWVKwwZpzV
Wed Feb 04 05:34:17 PST 2015 --  Congratulations @big_E305 Welcome to the NSU Family! Go Demons! #NSD2015 #demoNSUnite #Forkem pic.twitter.com/bSZKqi96pI
Wed Feb 04 05:47:13 PST 2015 --  Carl Thompson joins the growing list of outstanding young men who have joined the Rice Owls #RFND pic.twitter.com/rhGp9R6bid
Wed Feb 04 09:30:33 PST 2015 --  2nd-most starts in @DentonGuyerFB history (44) RT @TWoods3110: Dreams become reality if you work for it #blessed pic.twitter.com/zGnCCqC0l3
Wed Feb 04 09:37:17 PST 2015 --  Easy to see why @DentonGuyerFB fell in love with Dillman ( @kevindillman10) even though he never played varsity. #UNT getting a good one.
Wed Feb 04 09:37:58 PST 2015 --  On Dillman: He's just one of those guys you can't talk to without leaving in a good mood. Great, high-character kid. #UNT #GMG #NSD15
Sat Jan 31 09:30:13 PST 2015 --  Denton Guyer's Sean Choate ( @supamanseann_5) had 32 points last night in a win #txhshoops http://d-news.co/IfUOV  pic.twitter.com/SKhekvHclJ
Fri Jan 30 22:27:54 PST 2015 --  65# http://instagram.com/p/ygh0C5nRgj/ 
Tue Jan 27 17:15:57 PST 2015 --  Denton Guyer: LIVE Student Section!!! pic.twitter.com/dQgKBvRJkq
