Mon Jul 27 16:12:37 PDT 2015 --  Baby german shepherd pic.twitter.com/to2QYkiawv
Mon Jul 27 02:13:39 PDT 2015 --  La connerie humaine n'a donc aucune limite. pic.twitter.com/uIwrvHiLRB
Tue Jul 21 06:23:16 PDT 2015 --  La page Google n'as jamais été aussi belle pic.twitter.com/HiVNMJOqBb
Tue Jul 07 11:23:35 PDT 2015 --  Franchement pour mes 1.000.000 vous êtes vraiment pas cool à avoir dislike ma dernière vidéo parce que j'ai tué aypierre... Je boude putain
Tue Jul 07 11:31:05 PDT 2015 --  Bonjour,J'aime bien microsoft et je viens d'atteindre le Million d'abonnés. Puis je avoir une Xbox One avec écris mon blase dessus ? @XboxFR
Sat Jul 04 17:31:19 PDT 2015 --  Merci à vous tous. Un plaisir d'avoir vécu cette Copa América à vos côtés. Bon repos. Bonne nuit.
Thu Jun 25 09:09:12 PDT 2015 --  La question la plus facile de toute l'histoire des brevets Au début j'ai cru c'était une blague MDRR #Brevet2015 pic.twitter.com/RCgOC5tuD2
Mon Jun 22 14:48:41 PDT 2015 --  Garry's Mode c'est énorme sérieux ! pic.twitter.com/vETB7RF0pB
Thu Jun 18 12:30:52 PDT 2015 --  Nekfeu , NTM , 1995 la Base.
Wed Jun 10 12:08:27 PDT 2015 --  Nekfeu tempête lourd
Thu Jun 04 13:34:51 PDT 2015 --  Thib il est fou, mais vraiment
Thu Jun 04 15:21:12 PDT 2015 --  Très bon moment ce soir au Jamel Comedy Club avec l'équipe de France 🏼 pic.twitter.com/bKFzE0Le7v
Mon Jun 01 10:28:21 PDT 2015 --  Et merde.. pic.twitter.com/ksnbrB1YxT
Mon Jun 01 10:37:05 PDT 2015 --  [OFFICIEL] Oswaldo @Vizcarrondo4 retenu pour la Copa América 2015 ! #Felicidades #CA2015 @SeleVinotinto pic.twitter.com/9oXrZMZaU3
Mon May 18 15:02:41 PDT 2015 --  LET'S GOOOO! http://www.twitch.tv/aiekillu  pic.twitter.com/7t6MN8nweM
Mon May 18 14:27:17 PDT 2015 --  Mon mic déconne, j'règle ça vite f et on part en live TOUTE LA NIGHT!
Sun Mar 01 11:44:17 PST 2015 --  VOUS AVEZ VRAIMENT PENSÉ QUE C'ÉTAIT FINI GROS PORC CITY??? pic.twitter.com/Tm5AmYUDtW
Thu Feb 26 12:01:44 PST 2015 --  bravo l'EAG ..
Mon Feb 23 14:05:09 PST 2015 --  A MÉTHODE DIMITROV SERA DE RETOUR BIENTÔT!!!!!!!
Tue Feb 24 08:15:06 PST 2015 --  Le plus proche que j'ai pu être de cette rare espèce nommée un Sven... pic.twitter.com/BywnAdYf9H
Wed Feb 25 16:15:13 PST 2015 --  Une image vaut 1000 hashtags AWOUUUUUUUUUUUUUU pic.twitter.com/5MUJrBZEYb
Wed Feb 25 13:34:02 PST 2015 --  Beau résultat pour Arsenal qui jouera à domicile au match retour ! #arsasm
Sat Feb 14 09:25:25 PST 2015 --  Ce soir je sort en mode sérieux et tout, mais vous en faites pas, au fond je représente! pic.twitter.com/J8goOx520X
Sat Feb 07 05:57:35 PST 2015 --  Merguez ensoleillée pic.twitter.com/naaEWJVCWC
Sat Feb 07 07:07:34 PST 2015 --  Le belge dans topchef qui a du maquillage noir. C'est un défi à la base ? La perte du respect ? Non car j'ai pas suivi les épisodes d'avant
Sat Feb 07 07:11:20 PST 2015 --  Y'a un nouveau jeu de gestion qui te plairait trop @Tsukiyo_Power Cities XXL
Mon Jan 19 10:05:12 PST 2015 --  Bitch I'm fabulous pic.twitter.com/deRzThgrts
Thu Jan 15 11:09:06 PST 2015 --  #TuVasFaireQuoi
Wed Jan 14 13:27:00 PST 2015 --  Continuez à vous plaindre de vos contrats les gars, continuez...
Mon Jan 12 10:28:42 PST 2015 --  No SNCF ce soir, 20h30
Mon Jan 12 11:09:43 PST 2015 --  On arrive lel https://vine.co/v/ODiP59QDYqQ 
