Fri Aug 21 23:03:26 PDT 2015 --  Watching Dis!! #ALDUBAgainstALLODDS #rambutan #2:30matetegi pic.twitter.com/dKltAOobma
Fri Aug 21 22:52:18 PDT 2015 --  EveryBody HandsUp Para sa mga Tutol a YAKIE wedding! #ALDUBAgainstALLODDS #prayforlolanidora #dontDieLola #RambutanPaMore
Thu Aug 20 05:59:10 PDT 2015 --  Enebenemenyennnnn!!! Minsan na nga lng ako manuod ang lungkot pa ng eksena. Yna naman e! #PSYPagtatapat
Fri Aug 14 22:31:50 PDT 2015 --  Meet the Two MEE!!!!! ^^ #MeSoLikey #missingthem pic.twitter.com/KhUATHVjyR
Fri Aug 14 04:05:44 PDT 2015 --  #FridayFeeling Yab0w!!! pic.twitter.com/j8GQNujsFz
Fri Aug 14 03:52:06 PDT 2015 --  Plastik? Dati nang problema yan... Ngayun ko lng pinansin...
Thu Aug 13 16:34:15 PDT 2015 --  Dimple Daw oh... ^_^ Tanggap ko... Ako lng talaga ang meron. . #dimplefie #bestfie pic.twitter.com/3tkGjXzOVs
Thu Aug 13 06:49:19 PDT 2015 --  Hahahhaa! Ang kyoooot nito! #OTWOLPusongOFW pic.twitter.com/GnD5ZjS41j
Thu Aug 13 06:40:20 PDT 2015 --  Just Look on the brighter Side^^ #bestfie pic.twitter.com/CSZ0VtasS5
