Sat Aug 15 20:34:02 PDT 2015 --  Prior to tonight, @SportingKC had never won when down by two goals in 80th minute. @WhitecapsFC had never lost (or tied) when leading by two
Sun Aug 16 10:04:56 PDT 2015 --  Slight profit over all but still disappointed with Vancouver but that's football. Best bet has to be @MCFC thanks @bet365 11/10 nice
Sun Aug 16 08:57:52 PDT 2015 --  Well what a game, I think mourinho wants the ground to swallow him up. Disappointed with rapid Vienna but @MCFC are looking great
Sun Aug 16 08:04:14 PDT 2015 --  Should have done better Aguero! Come on @MCFC
Sun Aug 16 04:14:23 PDT 2015 --  Newcastle loanee Adam Armstrong scored a brilliant 35-yard lob for Coventry (Official Video) http://www.101greatgoals.com/gvideos/golazos/newcastle-loanee-adam-armstrong-scored-a-brilliant-35-yard-lob-for-coventry-official-video/ … pic.twitter.com/rBv6Etf0NQ
Sun Aug 16 03:36:03 PDT 2015 --  Bets on for today, lets finish the weekend in the green Rapid Vienna to win 11/10 with @bet365 and Man city 11/10 @bet365 #makemyweekend
Sun Aug 16 02:27:40 PDT 2015 --  Well that wasn't supposed to happen? Vancouver up 3-1 at 82 mins, they lost 4-3! #itsnotovertillitsover
Sat Aug 15 18:24:34 PDT 2015 --  Go on another 9min goal! Get in Vancouver! They are playing Kansas not salt lake as previously tweeted my bad. Let's have some more #MLS
Sat Aug 15 10:01:00 PDT 2015 --  If your awake at 2am back Vancouver white caps to beat salt lake 23/10 with sky bet. Top of the MLS league and unbeaten in five. #MLS
Sat Aug 15 08:59:53 PDT 2015 --  Well it looks like I picked the right prem game to bet on. Thanks bet 365 for the 1.91 on Swansea. Now onto tonight for some MLS #Swans
Sat Aug 15 08:32:27 PDT 2015 --  Standing ovation for Andre Ayew Two in two for #SWANS & fast becoming a fantasy favourite http://bbc.in/1J9TfmD  pic.twitter.com/4PI0ImPwVx
Sat Aug 15 05:36:49 PDT 2015 --  When you realise you've got Southampton on all your accas pic.twitter.com/m8rY75lYI4
Sat Aug 15 07:51:19 PDT 2015 --  Toon down to ten happy days
Sat Aug 15 07:17:16 PDT 2015 --  Gomis you beaut, 9min goal to get us off the mark, now go get another one lad! #comeontheswans
Sat Aug 15 06:27:53 PDT 2015 --  Right a Friday to forget, let's get back at it Swansea to beat the toon! Get on odds checker for best odds!
Fri Aug 14 10:44:18 PDT 2015 --  Not brave enough to be staking on Man U just yet? Get on Monaco Bayern double to ease yourself into the weekends football.
Fri Aug 14 10:18:35 PDT 2015 --  Cashybets up on twitter website coming soon, Villa v Man U get on Rooney/Man U win double at Coral 5/2 on the net.
