Fri Aug 14 09:32:23 PDT 2015 --  Will you ever leave brudget #AskPickleboy
Thu May 28 13:46:17 PDT 2015 --  CHARLIE CHARLIE CHALLENGE!!! https://youtu.be/iSDRLqo_sX0 
Mon May 25 17:49:06 PDT 2015 --  What do you guys wanna see us do in the vlog tomorrow? We're vlogging on our day off for ya!! Power's still out so we're outside.
Sun May 24 23:47:27 PDT 2015 --  Team Jesse
Sun May 24 16:57:48 PDT 2015 --  Haha thats funny She said (you dirty bitch )
Sun May 24 16:11:15 PDT 2015 --  PRANK WAR IS ON!!! I cheated on @PhillyChic5 https://www.youtube.com/watch?v=lD1VUSj8kpA … pic.twitter.com/lTIzYTu807
Sat May 23 15:16:51 PDT 2015 --  ‘Botched’ Season Two Will Include Farrah Abraham, ‘Teen Mom’ Star Confirms http://www.inquisitr.com/2114239/botched-season-two-will-include-farrah-abraham-teen-mom-star-confirms/#83jjwG1uc8dF38qW.99 … @F1abraham
Sat May 23 22:43:28 PDT 2015 --  You little bitches @Vitalyzdtv @DennisRoady!! Hahaha watching the set up to the prank now! WOW
Sun May 24 00:43:14 PDT 2015 --  My love pic.twitter.com/XVtVWwuWcQ
