Mon Aug 17 06:14:12 PDT 2015 --  So Beautiful <3 @taylorswift13 @taylornation13 pic.twitter.com/GxY9XhJvLt
Sat Aug 15 22:29:14 PDT 2015 --  The Liza Twitter Take Over has begun kasama pa si Enrique Gil! Send in your tweets #ASAPAskLiza http://fb.me/BWgiORb3 
Sat Aug 15 22:27:00 PDT 2015 --  #1989TourSantaClara
Sat Aug 15 22:10:34 PDT 2015 --  GOOOO TEAM PABEBE GIRL <3 Ang ganda talaga ni @hellobangsie @lizasoberano #ASAPGameOn
Sat Aug 15 21:24:05 PDT 2015 --  #ASAPGameOn is AWEEESOOOOOMMEEEEEE ^_^ #ASAPGameOn #PabebeGirls #mayforever
Sat Aug 15 02:09:51 PDT 2015 --  Good Afternoon :) #TaylorSwift
Fri Aug 14 02:58:36 PDT 2015 --  http://en.nametests.com/test/result/danielle/1399384234/index_new/ …
Mon Aug 10 08:27:49 PDT 2015 --  It looks like @taylorswift13 is on a quest to perform every major song of the summer on her #1989Tour http://on.mtv.com/1DFBHyd 
Fri Aug 14 00:48:38 PDT 2015 --  Hello Twitter! #myfirstTweet
