Thu Aug 20 06:19:15 PDT 2015 --  German parliament goes offline for 4 days in a row due to cyberattack....peaceful summer break.
Tue Aug 18 04:41:26 PDT 2015 --  In a war of ideas it's people who get killed - Polish poet Stanisław Jerzy Lec
Thu Jun 25 00:58:44 PDT 2015 --  #ICNR2015 shouldn’t be Nepal begging money, we should learn how to fish rather than fucking begging for fishes !
Wed Jun 24 01:57:28 PDT 2015 --  तथ्यांक भन्छ, एसएलसीमा सबैभन्दा धेरै विधार्थी गणितमा फेल भए । विडम्बना सत्ताको गणीतमा भने हाम्रा नेता जती पारंगत कोही छैनन ।
Wed Jun 24 02:27:02 PDT 2015 --  राजकीय सम्मानका साथ फूलमाला अविरले स्वागत गर्नी हाे याे पाला त https://twitter.com/Chhabi_Adhikari/status/613637756116463616 …
Tue May 12 01:34:03 PDT 2015 --  not again, everybody in Nepal stay safe and keep updating
Sat Jan 21 08:37:21 PST 2012 --  @Chhabi_Adhikari : seriously, when will be your first tweet.. it is not sth like virginity to be preserved and cherished upon.. #tweet
Sun Jul 27 13:07:16 PDT 2014 --  oopps, Monday again...noway ...I hate first first 4 days after weekend :D
Sat Jul 26 12:12:33 PDT 2014 --  its time to tweet :)
