Mon Jun 22 10:10:39 PDT 2015 --  Escuchando Digan la verdad... El mejor programa deportivo de las 14:00 horas!! Cc: @AldoRomuloS @RodEyzaguirre pic.twitter.com/sVwFOY8GzI
Mon Jun 22 04:19:47 PDT 2015 --  Este vehículo que circula ahora por Antonia López de bello pertenece a un canal k predica no contaminar @RadioZ_cl pic.twitter.com/ITRG0yV0ls
Sun Jun 21 07:46:52 PDT 2015 --  Hermoso!!!! #EstadioBécker #Temuco a las 12 se abren las puertas del estadio #COLOMBIAvsPERU #CopaAmérica pic.twitter.com/17v79wsj2Q
Sat Jun 20 07:37:07 PDT 2015 --  "hijo de puta" le habría dicho Neymar a Osses. No veo la gravedad del hecho, es como que a mi me digan pelado, una condición que tengo
Fri Jun 19 06:30:15 PDT 2015 --  Ministra Dobra Lusic: ¿Candidata a Fiscal Nacional? http://goo.gl/FXtWnm  pic.twitter.com/BwOw5nb0qI
Wed Jun 17 18:27:08 PDT 2015 --  Firmino #ParaQueTeTraje nivel Dios
Wed Jun 17 13:00:05 PDT 2015 --  La importancia de una tilde: —Su currículo está perfecto, señorita. Una pregunta más, ¿cómo está de ingles? —Totalmente depilada.
Wed Jun 17 10:30:11 PDT 2015 --  Hay que tener cojones para arrepentirse y pedir perdón.
Wed Jun 17 10:25:30 PDT 2015 --  En cuanto a lo de Vidal, a varios les recordaré una frase: " El que esté libre de pecado, que tire la primera piedra".
Sat Jun 13 10:32:51 PDT 2015 --  Según mi deco, TVN va a iniciar un programa llamado "Humor en Copa América"
Sat Jun 13 10:32:51 PDT 2015 --  Según mi deco, TVN va a iniciar un programa llamado "Humor en Copa América"
Thu Jun 11 15:37:20 PDT 2015 --  esta inauguración tiene menos lucidez que rutina de Enzo Corsi
Thu Jun 11 14:30:40 PDT 2015 --  Al via tra un paio d'ore la @CA2015 di @kingarturo23 con la @LaRoja! #VamosGuerrero! #Chile2015 #CopaAmérica pic.twitter.com/39XqKoBN8b
Mon Jun 08 04:11:20 PDT 2015 --  Para qué trabajan atendiendo gente, si atienden como las weas. Si no le tocó anoche, no es mi problema ...
Sat Jun 06 05:02:38 PDT 2015 --  Viajando a la VII Región por mientras que cae una lluvia de esas que hace rato no se ven en Santiago. Debería haber traído un bote.
Sat Jun 06 03:47:56 PDT 2015 --  Vecchia Signora
