Wed Aug 19 14:46:24 PDT 2015 --  GO WATCH @OFG_AtarAxy STREAM http://twitch.tv/ofl_ataraxy  giving away Black Ops 3 Beta Codes! @ShoutGamers @ShoutRTs @YT_Retweets
Sat Aug 15 06:41:52 PDT 2015 --  #OpTicDay pic.twitter.com/blMiheGWQP
Thu Aug 13 15:58:24 PDT 2015 --  https://www.youtube.com/channel/UCiy8RVC_pmKL57kcuPQ7shw/feed … GO SUB TO THIS CHANNEL!!!
Thu Aug 13 10:59:21 PDT 2015 --  Breaking news @OpTic_Crimsix Joins the illuminati #DramaAlert pic.twitter.com/hHegl6m6Mu
Thu Aug 13 03:32:58 PDT 2015 --  Was XBOX LIVE down for everybody yesterday?
Thu Aug 13 03:26:34 PDT 2015 --  We nearly at 100 in less than 24 hours wow guys!
Wed Aug 12 16:07:20 PDT 2015 --  Hit 41 followers fast FAV if active
Wed Aug 12 15:20:12 PDT 2015 --  Tweets coming in that XBOX LIVE is down #DramaAlert
Wed Aug 12 12:18:53 PDT 2015 --  Seth cannot be tamed LOL (http://instagram.com/p/6S3VpakPS-/ ) pic.twitter.com/AcYHF4JidW
Wed Aug 12 09:25:09 PDT 2015 --  Wtf lmao http://twitter.com/youngrichme_/status/629708211306799104/video/1 …
