Sun Aug 16 15:23:59 PDT 2015 --  Twitter is basically just you having a conversation with yourself hoping that someone else will join in.
Tue Aug 18 13:18:21 PDT 2015 --  Black Ops 3 looks pretty sweet.. I know it'll probably be good, but I'll be bored of it by December
Tue Aug 18 09:59:35 PDT 2015 --  BLACK OPS 3 BETA LIVE! RT'S APPRECIATED - http://www.mlg.tv/nadeshot 
Mon Aug 17 15:28:55 PDT 2015 --  Suddenly feeling really sleepy, I'm going in. Time to return to my dream world. I'm going sleep ppl see ya soon
Mon Aug 17 13:54:03 PDT 2015 --  @MattHDGamer this is for your FIFA myths video pic.twitter.com/QykfkVmlpr
Mon Aug 17 14:24:19 PDT 2015 --  #cantsleep #teamnosleep
Mon Aug 17 14:03:37 PDT 2015 --  #3am in #bangladesh so I'm going off to #bed. Missing everyone and everything in #england #london but I'm having fun @bangladesh
Mon Aug 17 12:59:21 PDT 2015 --  A group of London men are threatening legal action after being ejected from a Flybe flight http://bbc.in/1hjCKdF  pic.twitter.com/Ij7LWkZqZR
Mon Aug 17 12:50:13 PDT 2015 --  @MattHDGamer should do a vlog when you go to a game
Mon Aug 17 02:25:00 PDT 2015 --  Ending a chat in person: "See you soon." Ending a phone call: "G'bye then, buh-bye-bye-bye, OK, bye-bye, byeeee."
Sun Aug 16 08:58:29 PDT 2015 --  Oh god... pic.twitter.com/R3yAR4panB
Mon Aug 17 13:52:04 PDT 2015 --  #uncle #passedaway yesterday went to his #funeral
Fri Aug 14 07:55:00 PDT 2015 --  Hello weekend. Did we mention how much we love you? #heyyou
Sat Aug 15 03:46:48 PDT 2015 --  Going to be switching to @giffgaff on September but I'll continue to use my @EE sim. I'll put my new sim on my new phone lol #twophones
Fri Aug 14 02:45:19 PDT 2015 --  Something to make you smile for the weekend! @RoyalMail Granted the wish of 6 year old cancer patient Lewis - http://ow.ly/QNKSN 
Fri Aug 14 07:09:45 PDT 2015 --  Leaving work on Friday like... #JustCause3 pic.twitter.com/riz0T8wSjA
Fri Aug 14 09:03:53 PDT 2015 --  I am Bread comes to PS4 on 8/25. The dev team reveals 8 secrets from this atypical adventure: http://bit.ly/1NfTKNS  pic.twitter.com/vSpXDBrs91
Fri Aug 14 09:07:03 PDT 2015 --  Wear your heart on your antenna. You can now rep the official YouTube Gaming flag in Rocket League! pic.twitter.com/XQcauRWozx
Fri Aug 14 09:33:10 PDT 2015 --  If you #travel a lot you'd be mad not to be with @ThreeUK #feelathome free roaming in many countries.
Fri Aug 14 00:15:42 PDT 2015 --  Today marks 14 months since my Dad passed away. I miss you so much! RIP
Thu Aug 13 04:33:17 PDT 2015 --  Its just banter
Thu Aug 13 02:47:00 PDT 2015 --  Congratulations to all those who did well in their exams. For those who didn't, just remember that there is always McDonald's
Wed Aug 12 12:28:52 PDT 2015 --  It's 1:27am in Bangladesh. I normally sleep at 3am but my phone ain't charging so I'm going to go sleep as soon as my phone shuts off
Wed Aug 12 12:26:49 PDT 2015 --  Think my phones broken
Wed Aug 12 12:26:25 PDT 2015 --  Phone plugged in but aint charging
Wed Aug 12 12:25:56 PDT 2015 --  I'm cool with continuing bully & Minecraft. What else shall I continue and what shall I drop off?
