Fri May 08 13:20:06 PDT 2015 --  I'm not perfect, I make mistakes, I'm sometimes a bad friend, but I'm really thankful for all I have, I promise.
Sun May 10 00:46:04 PDT 2015 --  I don't want to get my hops wif u
Sun May 10 00:40:53 PDT 2015 --  Ade je orang tak puas hati kat twitter cuba jangan kacau life org. kau , kau. aku , aku tak suka block je, jangan nak buat org panas
Sun May 10 00:40:23 PDT 2015 --  Haishhh cm bodo ckp sorg... pic.twitter.com/vtJUfmiage
Fri May 08 08:35:05 PDT 2015 --  In my life, I've lived, I've loved, I've lost, I've missed, I've hurt, I've trusted, I've made mistakes. But most of all, I've learned.
Sat May 10 21:12:22 PDT 2014 --  ya Allah, grant my mom a happiness as she give me happiness when i am sad & please forgive her sins.
Thu May 07 01:15:08 PDT 2015 --  Pernah tak korang cakap "tak apa lah. Just go on with it. Tak kisah pun." Sambil senyum gelak2. Padahal dalam hati masyaAllah menusuk nusuk.
Sat May 09 23:56:45 PDT 2015 --  She is my Queen, She is my Teacher, She is my Lover, She is my Heroin, You are my everything. I Love You So Much Mom. #selamathariibu
Sun May 10 00:16:08 PDT 2015 --  X abis² ckp "nyalakn api!!!!" Haishh #kungfupanda
Sun May 10 00:13:41 PDT 2015 --  Baik x yh komen klau ko nk buad aq skit hati...bodo btl...huhh
Mon May 04 18:30:08 PDT 2015 --  Standard lah ada budak twitter copy tweet org lain . Kalau tak nak kena copy , pergi tulis dkt diary . Pergi mereput dgn diary tu sekali
Wed Apr 29 22:38:31 PDT 2015 --  "fb please" Ingatkan mintak nama facebook Rupanya mintak followback HAHAHAHAHA CELAKA PUNYA SHORTFORM
Sat May 09 23:42:59 PDT 2015 --  - Dear Iphone , I'm So Sorry We Cannot Be Together Because Your Price So Astaghfirullah , Innalillah , Allahuakbar  [ × ] haha
Sat May 09 22:28:11 PDT 2015 --  Kasih ibu sukar dicari ganti. Tanpamu tiadalah insan yang bergelar anak lahir didunia ini.
Sat May 09 23:20:41 PDT 2015 --  I need someone who will actually stay by my side, no matter what mood I'm in.
Sat May 09 23:32:23 PDT 2015 --  Bahangnyeeeerr
Sat May 09 23:08:01 PDT 2015 --  My luvly mom pic.twitter.com/BenxCCdHUg
Sat May 09 22:52:48 PDT 2015 --  Dy moody nn aq...hurmmmm
Wed Dec 24 22:14:35 PST 2014 --  "Saya suka awak" "kau sape aku nak sayang? pls blah" #AyatRejectKejam
Sat May 09 22:37:16 PDT 2015 --  Riuh ny lahai kt umh nnek aq nih...haishh serabut
Sat May 09 22:34:30 PDT 2015 --  Fr u. https://twitter.com/AkuAdaHad/status/597271549180125184 …
Sat May 09 19:25:35 PDT 2015 --  Dia sorok perasaan, untuk elak dikecewakan lagi. Tangisan dia, hanya dia yang tahu dan peduli.
Sat May 09 19:48:15 PDT 2015 --  “ @topislamictwit: Mother is the precious gift from Allah. No one can take your mothers place.”
Sat Oct 18 10:56:29 PDT 2014 --  iPhone iPhone 3G iPhone 4 iPhone 4S iPhone 5 iPhone 5S iPhone 5C iPhone 6 iPhone 6 Plus Satu pun aku tak penah pakai
Sat May 09 19:42:20 PDT 2015 --  I hate when people act a different way when they're around certain people.
Sat Dec 27 03:15:58 PST 2014 --  "aku ni bertahun dah guna phone guna bahasa inggeris . tapi bila paper bi , mesti macam haram"
Sat May 09 19:39:21 PDT 2015 --  Jom jolan² #Uluyam
Sat May 09 19:21:47 PDT 2015 --  AGREE. https://twitter.com/ShashaAbbas/status/597205328761991168 …
Sat May 09 19:06:19 PDT 2015 --  Happy Mother's Day #MyMomMakes Me always happy
Thu May 07 22:52:55 PDT 2015 --  Tsek
Thu May 07 22:51:29 PDT 2015 --  Ade
Thu May 07 22:41:46 PDT 2015 --  MISSED HIM
Thu May 07 05:34:30 PDT 2015 --  Perempuan jadi saiko sebab dia pernah dikecewakan oleh lelaki. Dia patah hati
Wed May 06 21:29:00 PDT 2015 --  Tak semua kawan yang kita ada akan faham apa kita rasa. Tanpa kita sangka, ada orang lain yang faham kita. Itulah adilnya Allah pada kita.
Tue Oct 15 04:56:38 PDT 2013 --  Dekat sekolah tempat duduk pelajar yang jadi fav dalam kelas : 1)Bawah kipas 2)Tepi tingkap 3)Belakang sekali 4)Dekat dengan crush
Wed Dec 17 05:07:03 PST 2014 --  "Rindu sekolah" eh kau time sekolah bukan main lagi kau serong ,time cuti reti pulak nak rindu .
Thu May 07 08:33:53 PDT 2015 --  Wakakaka pnuh kn tweet
Thu May 07 08:33:27 PDT 2015 --  Hujan sudah
Thu May 07 08:32:57 PDT 2015 --  Alahaii kenyang aq mkn Maggie mlm ni wakakaka
Thu May 07 08:32:31 PDT 2015 --  Going to sleep hallohaa
Thu May 07 08:31:43 PDT 2015 --  Hmmm malam yg sunyi...krik²
Thu May 07 08:31:13 PDT 2015 --  Dy on aq off,,ble aq on dy off plk haishhh...
Wed Apr 29 21:04:39 PDT 2015 --  Jangan mengharap lebih. Doa yang harus lebih.
Thu May 07 07:12:13 PDT 2015 --  Apa yg aq buad..smue slh aq...redha je la
Thu May 07 07:04:06 PDT 2015 --  Hmmm dy mara kt aq
Thu May 07 00:23:25 PDT 2015 --  Yang indah itu pertemuan Yang manis itu kemesraan Yang pahit itu perpisahan Yang tinggal hanyalah kenangan
Thu Apr 09 02:20:34 PDT 2015 --  Jenis aku senang je, kau buat taik dgn org lain. Aku masih boleh berkawan dgn kau tapi bila kau start buat taik dgn aku. Selamat jalan bro
Fri Apr 24 00:43:37 PDT 2015 --  Sentap dengan kawan tapi still nak lepak . itulah rasa sayang seorang kawan
Wed May 06 07:43:52 PDT 2015 --  Benda paling sakit hati bila orang kacau life kau sedangkan kau tak pandang sikit pun life dia. Fuhh
