Thu Aug 06 13:50:38 PDT 2015 --  اللهم اجعل القرآن مؤنسا لها فى قبرها ربنا يرحمك يارورو #رجاء_البزاوي
Thu Jul 30 15:05:19 PDT 2015 --  إذا احببت شخص في الله فأنتما معا مهما بعدت المسافة بينكما لأنكما في معية الله، ومعيته سبحانه لاتعرف الأزمنة المتعددة ولا الأمكنة المتشتتة
Sun Apr 26 08:38:40 PDT 2015 --  السنن الرواتب: 4 قبل الظهر و2 بعد الظهر 2 بعد المغرب 2 بعد العشاء 2 قبل الفجر الجزاء: “بنى الله له بيتاً في الجنة” . pic.twitter.com/KEwikrsyui
Sun Apr 26 09:02:25 PDT 2015 --  التدين الشكلي أو الظاهري؛ لا يُقرِّب إلى الله، بل يحجب عنه بالادَّعاء الأجوف..
Wed Mar 25 00:22:34 PDT 2015 --  لا تحتقر عاصياً ضعف أمام شهواته، فقد تنام مغتراً بطاعتك بينما ينام ودمعه على خده ندماً على ما فرط في جنب الله فيقبله الله ولا يقبلك.
Sun Mar 15 09:41:00 PDT 2015 --  قيل لأحد العباد ماهو الصّبر الجميل ، قال اإنّ تُبتلى وقلبك يقول : الحمدلله #رسائل_الهمم
Thu Feb 26 17:51:23 PST 2015 --  مع كثرة مانكتبه اليوم عن الحكمة.. من الحكمة ؛ ممارسة بعض ما نكتبه .
Thu Feb 19 09:40:43 PST 2015 --  “ مع القرآن تجد البركة ” قال اللهﷻ { كتاب أنزلناه إليك مبارك } كان بعض المفسرين يقول: اشتغلنا بالقرآن فغمرتنا البركات والخيرات في الدنيا“ .
Sat Feb 07 14:17:43 PST 2015 --  #السيسي_يحتقر_الخليج
Wed Jan 14 02:22:00 PST 2015 --  #ضد_الاساءة_للرسول
