Sun Aug 16 09:56:27 PDT 2015 --  I am student,, in Bangladesh
Sat Aug 15 20:39:55 PDT 2015 --  Don't love too soon. Don't trust too fast. Don't quit too early. Don't expect too high. Don't talk too much.
Sat Aug 15 01:36:11 PDT 2015 --  Now trending: #نورے_کو_15_اگست_مبارک
Sat Aug 15 02:19:47 PDT 2015 --  Pakistan is a great country and inshallah it will remain great #نورے_کو_15_اگست_مبارک #نورے_کو_15_اگست_مبارک pic.twitter.com/LQDuHE4E8w
Sat Aug 15 02:44:35 PDT 2015 --  http://www.biographybd.com/bappy-chowdhury/ … pic.twitter.com/2dOvS8lrOM
Sat Aug 15 02:15:42 PDT 2015 --  Kashmiris Youth #KashmirBlackDay #15AugustBlackDay #FreedomForKhalistan #India #Kashmir #نورے_کو_15_اگست_مبارک #UN . pic.twitter.com/6y1s6nkH7X
Sat Aug 15 02:12:52 PDT 2015 --  #نورے_کو_15_اگست_مبارک Now this is what i call >>>> CLASSIC BISTI pic.twitter.com/4fBhOzM8Ea
Fri Aug 14 23:27:53 PDT 2015 --  Agreee krty ho ap sb pic.twitter.com/tcnP0KWmr2
Fri Aug 14 23:29:16 PDT 2015 --  Nice https://twitter.com/hiras031/status/632438541570600961 …
