Sun Aug 02 10:48:22 PDT 2015 --  I miss all of y'all being in my broadcast, it's really fun when we just do DM's/snapchats/parlor
Sat Aug 01 20:24:43 PDT 2015 --  That moment your hype asf when @damnitsriley followed you thank you I love you so much
Fri Jul 31 21:08:34 PDT 2015 --  @kyleescott40 @jillianidowu Please read this pic.twitter.com/tGQxY9qn7t
Fri Jul 31 18:13:48 PDT 2015 --  "I am Martha Hunt, better known as Home Slice." @iammarthahunt http://www.mtv.com/ontv/vma/2015/video-of-the-year/ … pic.twitter.com/RqneKDxf8i
Fri Jul 31 11:52:26 PDT 2015 --  You weren't expecting that! One direction have surprise released their new single #dragmedown http://itun.es/gb/s-Ic9 
Fri Jul 31 10:04:56 PDT 2015 --  Wowwww ! The reaction to drag me down worldwide has been insane , didn't expect this ! Thank you all so much
Fri Jul 31 09:58:11 PDT 2015 --  That moment when your trying to get free @GMA tickets to see @onedirection but there SOLD OUT
Thu Jul 30 22:33:02 PDT 2015 --  Finally we get to say this ! have waited a long time but our new single Drag Me Down is out !!! http://open.spotify.com/album/7LnU0hAOYe9aq91PCKMI7A …
Thu Jul 30 22:30:22 PDT 2015 --  :)
Thu Jul 30 22:16:46 PDT 2015 --  https://itunes.apple.com/gb/album/drag-me-down-single/id1024077714?app=itunes&ls=1 …
Thu Jul 30 09:08:03 PDT 2015 --  "I'm playing Domino, the motorcycle expert." @jessicaalba http://www.mtv.com/ontv/vma/2015/video-of-the-year/ … pic.twitter.com/beIkccHTIs
Thu Jul 30 09:05:53 PDT 2015 --  Dilemma. @SerayahLove pic.twitter.com/53F1A8bU5s
Thu Jul 30 09:05:13 PDT 2015 --  Fun fact: I didn't know how to post videos directly to Twitter a few days ago. Let's review: Frostbyte @LilyAldridge pic.twitter.com/3XWh0nmrnD
Mon Jul 27 11:14:04 PDT 2015 --  Harry singing his solo in Little Things to a little girl who was at the barrier pic.twitter.com/16UkHGOU3y
Sun Jul 26 12:14:14 PDT 2015 --  Nipping at my heels but I'm young so I outrun 'em.
Thu Jul 23 17:52:42 PDT 2015 --  LIVE on #YouNow - http://www.younow.com/adrianastyles32/59572169/11214731/1021/b …
Thu Jul 23 17:40:11 PDT 2015 --  LIVE on #YouNow - http://www.younow.com/adrianastyles32/59570267/11214731/1021/b …
Thu Jul 23 12:19:15 PDT 2015 --  Wowwwww 5 years 5 boys what an amazing journey I couldn't thank you all ever enough and thank you Louis Niall Harry and zayn for everything
Thu Jul 23 11:13:38 PDT 2015 --  Thank you Jesus for these 5 Wonderful years of @onedirection . All these boys are my hero and I Love Them with my whole life .
Tue Jul 14 06:50:36 PDT 2015 --  u can get laugh at that I sent an email to MetLife but I care about the boys&the fandoms safety no matter if it was a joke #HarryBeCareful
Tue Jul 14 06:47:04 PDT 2015 --  please RT this and spread the word, #CHECKTHEBAGSATEVERY1DCONCERT #HarryBeCareful pic.twitter.com/zSURzy3wqC
Tue Jul 14 06:48:58 PDT 2015 --  #HarryBeCareful when your scared for his life I actually had to email them pic.twitter.com/zZ1mgCP2K8
Tue Jul 14 03:24:16 PDT 2015 --  okay I sent an email to MetLife Stadium #HarryBeCareful pic.twitter.com/Iljwt5nAGx
Thu Jun 25 16:30:28 PDT 2015 --  fav if you got this notification
Sun Jun 07 12:03:09 PDT 2015 --  Over 40 views congrats @damnitsriley pic.twitter.com/hWpkdd2itp
Wed May 27 13:41:32 PDT 2015 --  The @taylorswift13 Trick Shot! https://vine.co/v/eb1vv6w5XZm 
Tue May 26 09:06:41 PDT 2015 --  IT'S BEEN A YEAR SINCE NIALL'S CHARITY MATCH WHERE HARRY SCORED & RAN TO NIALL SHOUTING THAT WAS FOR YOU & HUGGED HIM pic.twitter.com/x4nvoBlEFL
Thu May 21 12:35:30 PDT 2015 --  Heyy @Harry_Styles today's my birthday how's your day going ?
