Mon Jul 20 15:54:29 PDT 2015 --  Fuck yeah VMAs!!!!! #VMAs on @MTV Aug 30 at 9pm pic.twitter.com/iiBzMm0l3C
Thu Jul 30 09:05:28 PDT 2015 --  Help to end AIDS with my new @MACcosmetics #VIVAGLAM lipstick available online in North America on 9/8 pic.twitter.com/CD6blBQcO0
Fri Jul 31 23:41:52 PDT 2015 --  Barbz, do u want me to start blogging again?
Fri Jul 31 23:45:37 PDT 2015 --  I'm just on a high from the D... Detroit that is...
Sat Aug 01 19:28:50 PDT 2015 --  U be yellin boom boom when ya really pum pum
Sat Aug 01 19:49:40 PDT 2015 --  #SaveMe https://instagram.com/p/53WTbqL8Wi/ 
Sat Aug 01 20:32:49 PDT 2015 --  Mixtapes that will never get old. pic.twitter.com/W6ZTPLK3sX
Fri Jun 26 10:32:12 PDT 2015 --  Really encouraged to be an American today... Love should live beyond labels & intolerance! #LoveWins #EqualityForAll
Wed Jul 22 14:38:06 PDT 2015 --  The real travesty is where is the shine for #BBHMMVideo when VMA eligibility period was 7/7/14-7/1/15 & that gem dropped 7/1... @MTV
Wed Jul 22 14:17:34 PDT 2015 --  Finding it ironic to parade the pit women against other women argument about as one unmeasurably capitalizes on the take down of a woman...
