Fri May 23 06:57:12 PDT 2014 --  I won the 2nd Star in my Ford GT in #CSRRacing #RaceYourFriends. Download FREE! http://nmgam.es/crgt 
Fri May 23 06:20:49 PDT 2014 --  I just moved up to level 29 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Tue May 20 17:05:08 PDT 2014 --  I just moved up to level 27 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Mon May 19 16:37:21 PDT 2014 --  I just moved up to level 26 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Thu May 15 19:42:28 PDT 2014 --  I won the first Star in my Ford GT in #CSRRacing #RaceYourFriends. Download FREE! http://nmgam.es/crgt 
Wed May 14 04:45:37 PDT 2014 --  I just moved up to tier 4 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Tue May 13 16:52:32 PDT 2014 --  I won the 2nd Star in my BMW M3 Coupe in #CSRRacing #RaceYourFriends. Download FREE! http://nmgam.es/crgt 
Mon May 05 18:42:34 PDT 2014 --  I won the first Star in my BMW M3 Coupe in #CSRRacing #RaceYourFriends. Download FREE! http://nmgam.es/crgt 
Mon May 05 12:28:09 PDT 2014 --  I just moved up to tier 3 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Sun May 04 16:48:58 PDT 2014 --  I won the 2nd Star in my BMW Z4 sDrive35i in #CSRRacing #RaceYourFriends. Download FREE! http://nmgam.es/crgt 
Sun May 04 16:47:21 PDT 2014 --  Having fun playing #CSRRacing for Android, why not join me for FREE? http://nmgam.es/crgt 
Sat May 03 16:33:37 PDT 2014 --  I won the first Star in my BMW Z4 sDrive35i in #CSRRacing #RaceYourFriends. Download FREE! http://nmgam.es/crgt 
Thu May 01 16:46:09 PDT 2014 --  Having fun playing #CSRRacing for Android, why not join me for FREE? http://nmgam.es/crgt 
Tue Apr 22 04:28:44 PDT 2014 --  Hey I just won a race in #CSRRacing for Android #winning! You should check it out for FREE! http://nmgam.es/crgt 
Mon Apr 21 05:21:33 PDT 2014 --  Having fun playing #CSRRacing for Android, why not join me for FREE? http://nmgam.es/crgt 
Fri Apr 18 14:50:43 PDT 2014 --  I just won a BMW M3 Coupe in #CSRRacing! Try it for FREE! http://nmgam.es/crgt 
Wed Apr 16 18:55:10 PDT 2014 --  Having fun playing #CSRRacing for Android, why not join me for FREE? http://nmgam.es/crgt 
Tue Mar 25 19:14:31 PDT 2014 --  Having fun playing #CSRRacing for Android, why not join me for FREE? http://nmgam.es/crgt 
Thu Feb 13 18:49:18 PST 2014 --  Done http://twitter.com/jagg_the_jaguar/status/399986160753446912/photo/1pic.twitter.com/ZIoRxytMZd 
Tue Jul 30 17:51:19 PDT 2013 --  Having fun playing CSR Racing for Android, why not join me for FREE? http://nmgam.es/csrandroid_invite_twitter …
Sun Jul 28 12:00:56 PDT 2013 --  Having fun playing CSR Racing for Android, why not join me for FREE? http://nmgam.es/csrandroid_invite_twitter …
Wed Jul 24 18:59:29 PDT 2013 --  I just got a Arrow Tangle decal in #CSRRacing for Android #paintjob. Get it FREE! http://nmgam.es/csrandroid_invite_twitter … pic.twitter.com/TmwiVIUJO7
Sun Jul 21 17:34:22 PDT 2013 --  I just moved up to level 13 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/csrandroid_invite_twitter …
Sat Jul 28 07:09:12 PDT 2012 --  What's good today everyone
