Sun Aug 09 13:26:43 PDT 2015 --  Hey @LaTrioli maybe do your homework before bagging sports reporters. Issues covered before, one example: http://m.smh.com.au/sport/cricket/michael-clarke-on-a-collision-course-with-cricket-australia-as-his-teammates-move-on-20150126-12y7wd.html?stb=twt … via @smh
Sat Aug 08 17:06:52 PDT 2015 --  Bartel says big round of applause for Cats fans for their treatment of Goodes
Sat Aug 08 17:30:10 PDT 2015 --  Why do animal eye shapes vary? It may depend in part on whether you're predator or prey http://nyti.ms/1W9rYX9  pic.twitter.com/krZeuswjkL
Sat Aug 08 14:30:01 PDT 2015 --  The cause of death for Apprentice star Stuart 'The Brand' Baggs revealed: http://thetim.es/1MYZPxX  pic.twitter.com/DbVOdLkPgm
Sat Aug 08 05:06:05 PDT 2015 --  What an atmosphere after the siren! Phenomenal scenes at The Cattery tonight celebrating #Sel200 pic.twitter.com/5OmZLcbUXu
Sat Aug 08 05:05:20 PDT 2015 --  Huge performance https://twitter.com/rohanwelsh/status/629986272182833152 …
Sat Aug 08 05:04:35 PDT 2015 --  They were all great '! https://twitter.com/benkimber/status/629985582597300224 …
Sat Aug 08 04:58:36 PDT 2015 --  Great win @Wallabies - @pocockdavid @SekopeKepu @DeanMumm enormous.
Sat Aug 08 04:23:00 PDT 2015 --  Great to see @SekopeKepu stepping and Wycliff Palu earlier today sprinting for tries - the big men can dance #wallabies and #shuteshield
Sat Aug 08 04:14:31 PDT 2015 --  Glen Innes' own Sekope Kepu! (Glen Innes Auckland) @DjuroSen
Sat Aug 08 01:56:13 PDT 2015 --  Checking out the live steam from Luna Park - the lads are going off at #LeagueOfLegends Oceanic Final pic.twitter.com/rvoWucZfIX
Fri Aug 07 16:17:46 PDT 2015 --  I've worked with pro sports teams and I see no difference with esports. Happy to bring it to a mainstream audience. https://twitter.com/bigdigabbdog/status/629786072713531392 …
Fri Aug 07 16:14:29 PDT 2015 --  Our pleasure - it's a great story to tell https://twitter.com/diverg3nce/status/629783642235998208 …
Fri Aug 07 04:58:52 PDT 2015 --  1'25 to be exact https://twitter.com/dooraven/status/629622237851586562 …
Fri Aug 07 01:46:45 PDT 2015 --  League Of Legends Oceanic finals in Sydney. @DjuroSen reports. #LeagueOfLegends #7News http://snpy.tv/1MeyBV8 
Fri Aug 07 01:33:56 PDT 2015 --  Loved working with the teams - hope it's an epic night https://twitter.com/sunset_sc2/status/629570748923838464 …
Thu Aug 06 04:33:49 PDT 2015 --  Tech editor @DjuroSen explains how fans are hiring cinemas to see niche movies of their choice via @tugginc. #7News http://snpy.tv/1McALod 
Wed Aug 05 00:15:02 PDT 2015 --  Richard Dawkins ridicules trophy hunter for claiming her giraffe kill was 'ethical' http://ind.pn/1DpDl7c  pic.twitter.com/AmIxelYwpG
Tue Aug 04 11:52:25 PDT 2015 --  7 News tech editor @DjuroSen reports on how technology is helping busy mums. #7News http://snpy.tv/1M9BFlj 
Tue Aug 04 03:59:02 PDT 2015 --  Apps making life for mums and dads much easier. @DjuroSen WATCH: http://yhoo.it/1Uks2kR  #7News
Tue Aug 04 02:19:27 PDT 2015 --  New Zealand loses a 'remarkable man' with death of Dambuster Les Munro; John Key says http://www.stuff.co.nz/national/70818274/new-zealand-loses-a-remarkable-man-with-death-of-les-munro-john-key-says …
Tue Aug 04 01:46:12 PDT 2015 --  Next on 7 News....handy apps that help mums. @DjuroSen's story on 7 News. Live stream: http://bit.ly/7NewsLiveStream  pic.twitter.com/ToYguX8zMz
Sun Aug 02 17:35:28 PDT 2015 --  Give this man a follow! https://twitter.com/toddymac20/status/628000775084441600 …
Sun Aug 02 02:14:59 PDT 2015 --  Final team photo for the wknd sports on @7NewsSydney with @MattCarmichael and @MarkFerguson_7 All tech from here. pic.twitter.com/1MyBveFGLV
Sat Aug 01 20:14:42 PDT 2015 --  That's awesome @PeterDoherty7 - more Pat Welsh please https://twitter.com/peterdoherty7/status/627678476024176640 …
Sat Aug 01 19:02:50 PDT 2015 --  A story really worth watching. @DjuroSen with @Anthony_Mundine https://www.facebook.com/7newssydney/videos/1072399436117522/?fref=nf …
Sat Aug 01 05:27:22 PDT 2015 --  "We've got to change the flag. We've got to change the anthem" - Anthony Mundine speaking to @DjuroSen on 7 News http://snpy.tv/1VT4Fk9 
Fri Jul 31 22:44:36 PDT 2015 --  Super stars of @intrustrugby on and off the field - looks like they've had a few MANSHAKES https://twitter.com/MattCarmichael/status/627353730854203392 …
Fri Jul 31 22:03:54 PDT 2015 --  Great story on @7NewsSydney tonight, @DjuroSen 1-1 with @Anthony_Mundine . I agree with everything the Man says
