Wed Aug 12 04:30:17 PDT 2015 --  excuse me what did u say i cant hear u i have an ear disease called i dont fucking care
Sun Aug 16 06:00:18 PDT 2015 --  excuse me what did u say i cant hear u i have an ear disease called i dont fucking care
Wed Aug 19 08:00:13 PDT 2015 --  Don't play games with a girl who can play better.
Wed Aug 19 04:46:18 PDT 2015 --  You don't like me? Well, the feeling is mutual. 🏻
Thu Jul 23 18:43:26 PDT 2015 --  And it's as though you feel you've died because you've been killed inside, But yet you're still alive, which means you will survive...
Mon Jul 27 18:30:42 PDT 2015 --  I guess it was never meant to be, But it's just something we have no control over and that's what destiny is...
Wed Jul 29 18:05:50 PDT 2015 --  It's like an explosion every time I hold you, I wasn't joking when I told you, You take my breath away, You're a supernova...
Fri Jul 31 19:48:39 PDT 2015 --  "The best part about me is I am not you, I’m me.” - Eminem
Wed Aug 12 20:13:35 PDT 2015 --  I can't tell you what it really is I can only tell you what it feels like, And right now it's a steel knife in my windpipe...
Sat Aug 15 18:12:50 PDT 2015 --  I thank you cause you made me a better person than I was, But I hate you cause you drained me, I gave you all, you gave me none...
Fri Aug 21 19:03:54 PDT 2015 --  Kung gusto mo ng lovelife, maghintay ka. Wag kang mangagaw!
Fri Aug 21 18:20:10 PDT 2015 --  Kaibigan ka lang kaya wala kang karapatan magalit kung may kasama syang iba.
Sun Aug 23 17:56:40 PDT 2015 --  Sometimes the eyes can say more than the mouth.
Sun Aug 23 17:58:27 PDT 2015 --  Sometimes you have to forget whats gone, appreciate what still remains and look forward to what's coming next.
Sun Aug 23 18:25:54 PDT 2015 --  The lesser you care, the happier you will be.
Sun Aug 23 19:49:36 PDT 2015 --  When someone shows you their true colors, don't try to paint a different picture.
Sat Aug 22 00:19:47 PDT 2015 --  "Hindi lang ako umiimik, pero alam ko ang mga nangyayare."
Sat Aug 22 19:00:35 PDT 2015 --  "Most of the time, the heart sees what the eyes can't."
Sun Aug 23 01:38:29 PDT 2015 --  "Nobody said life was easy. Just keep going."
Thu Aug 13 04:08:58 PDT 2015 --  Parents notice your fake friends before you do.
Thu Aug 13 03:56:02 PDT 2015 --  You remind me of the best things in life.
Tue Aug 11 23:29:58 PDT 2015 --  AdVICE for the day: Bakit ka maiirita kung pwede ka namang dumedma!
Tue Aug 11 03:53:17 PDT 2015 --  May tamang panahon sa lahat ng bagay. Kalma lang.
Tue Aug 11 03:53:29 PDT 2015 --  Once I start caring about you, I'll probably never stop.
Tue Aug 11 03:53:43 PDT 2015 --  Most painful words for girls: "UY TUMABA KA".
Sat Jun 13 03:00:07 PDT 2015 --  "Yes, terrible things happen, but sometimes those terrible things - they save you." -- Chuck Palahniuk, Haunted
Sat Jun 13 03:03:24 PDT 2015 --  "Fear doesn't shut you down; it wakes you up.” ― Veronica Roth, Divergent
Sat Jun 13 03:06:22 PDT 2015 --  Hakuna Matata pic.twitter.com/HRWzkIZjlI
Sat Jun 13 03:11:37 PDT 2015 --  Make the rest of your life, the best of your life.
Sun Jun 14 04:00:10 PDT 2015 --  Those heartless once cared too much
Sun Jun 14 03:30:07 PDT 2015 --  Don't ever play with someone's feelings. You could win the game, but you could lose that person forever.
Thu Jul 02 04:15:07 PDT 2015 --  Imagine your country's fate hangs on a yes-or-no question. This is what it's like for Greeks http://nyti.ms/1NyHoif  pic.twitter.com/jlM3Y01paW
Wed Aug 12 23:22:27 PDT 2015 --  ““We cannot embrace God’s forgiveness if we are so busy clinging to past wounds and nursing old grudges.”” - T. D. Jakes
Thu Aug 13 01:23:04 PDT 2015 --  ““Your aim will be knowledge and wisdom, not the reflected glamour of fame.”” - Abbott L. Lowell
Thu Aug 13 03:37:54 PDT 2015 --  ““I’d rather be a failure at something I love than a success at something I hate.”” - George Burns
Thu Jul 02 04:27:03 PDT 2015 --  ““To be good is noble but to show others how to be good is nobler and no trouble.”” - Mark Twain.
Thu Jul 02 04:37:08 PDT 2015 --  Dear Heart, please stop falling in love with people I can't get.
Tue Jul 07 23:11:12 PDT 2015 --  I feel like I'm waiting for something that is not going to happen.
