Fri Aug 28 03:40:48 PDT 2015 --  [CONFERENCE 2015] Infomation numerique / Papier je jette ? je supprime ?... https://youtu.be/cvBTwitoGnA  via @YouTube
Fri Aug 28 03:39:48 PDT 2015 --  [ARCHIMAG] Itw : Sophie Nerbonne https://youtu.be/DR0k7Cb3eGQ?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:39:27 PDT 2015 --  [ARCHIMAG] Itw : Philippe Lemoine https://youtu.be/pDAbDhGvXKk?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:39:06 PDT 2015 --  [ARCHIMAG] Itw : Christian Langevin https://youtu.be/3V_CmNz9Q3E?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:38:48 PDT 2015 --  Itw : Patrick Larcheveque, GouvInfo IAI // Ambassadeur Documation-MISGou... https://youtu.be/RgxLuFIhtFg?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:38:30 PDT 2015 --  Itw : Charles Huot, APROGED, Président. Ambassadeur Documation-MIS // Co... https://youtu.be/aLD0SflFt3A?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:37:53 PDT 2015 --  Itw : Arnaud Rayrole, Fondateur LECKO, CEO. Ambassadeur Documation-MIS /... https://youtu.be/SqabR9yHJHU?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:37:40 PDT 2015 --  Itw : Alain Bensoussan, Avocat. Ambassadeur Documation-MIS // Gestion do... https://youtu.be/h8cyrvrAHtQ?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:37:26 PDT 2015 --  Teaser Documation-MIS 2015 https://youtu.be/tzIArKIS4eg?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Fri Aug 28 03:36:31 PDT 2015 --  DOCUMATION-MIS 2015 - BILAN DE LA 21e EDITION https://youtu.be/jh_yEiedeVM?list=PLICwDhRxG0XBz_M_H6v98cf-tuU80xQBv … via @YouTube
Mon Aug 17 08:05:04 PDT 2015 --  Impromptu all hands at Amazon this morning... pic.twitter.com/M7EvuaT4Gy
