Tue Jan 06 10:35:19 PST 2015 --  Duale saying that he is not a jubilee sycophant is akin to accusing day that it's night, yet it's day. SMH @KTNKenya
Tue Jan 06 04:28:07 PST 2015 --  Traffic is a mathematical problem. If the County Govt can't hack it, they should talk to mathematicians in Chiromo. @Ma3Route
Tue Jan 06 04:00:54 PST 2015 --  Land Registration (Forms) Regulations, 2014 http://ow.ly/GRqRw  (L.N. 156 of 2014)
Mon Jan 05 21:50:15 PST 2015 --  As an entrepreneur, don't do everything. Stick to what you are good at, get others to do the rest.
Mon Jan 05 21:23:36 PST 2015 --  Security ni mimi, Building assessment and approval ni mimi... Looks like I have 3 jobs but get paid for one ~ @murimij #YourSay
Mon Jan 05 10:00:02 PST 2015 --  A caged canary is safe but not free. - Walter Williams
Mon Jan 05 07:19:11 PST 2015 --  As you fight and abuse each other because of political differences just know ur the damn foo!!! pic.twitter.com/Xgbkgh9tt6
Mon Jan 05 02:11:40 PST 2015 --  We are advising parents to keep their children at home as we are on strike; we will not be held responsible for anything ~ KNUT Thika branch
Sun Jan 04 04:06:49 PST 2015 --  It is only a stupid cow that rejoices at the prospect of being taken to a beautiful abattoir.
Thu Jan 01 10:41:28 PST 2015 --  "If Kenya does not transform under Uhuru, it will never transform." - Duale. What crap is this? A country pegged on one person?
Wed Dec 31 02:21:51 PST 2014 --  Two sides of psvs; when there is no human traffic they beg u to board; when there is human t(contd) http://www.ma3route.com/view/#!/update/150697 … via @Joyoh_Kesh
Tue Dec 30 00:16:51 PST 2014 --  Consider that a man with the ability and desire to accomplish something can do anything http://on.fb.me/1HYKYh3 . Be that man or woman in 2015
Tue Dec 30 00:42:32 PST 2014 --  Cops arresting those making a right turn into Mucai rd from Ngong rd. Beware! @Ma3Route
Thu Dec 25 19:49:46 PST 2014 --  He was 43yrs " @mohammedhersi: #WhyILoveKenya: One oldest Rhino in MasaiMara found dead due to old age & not poaching pic.twitter.com/bjsk4nMkik”
Mon Dec 22 09:34:10 PST 2014 --  No right turn sign has again been installed on Mucai rd as you join Ngong rd. @Ma3Route
Fri Dec 19 04:54:51 PST 2014 --  Anyone thinking of using Mbagathi, either side, should banish the thoughts and seek forgiveness for such thoughts @Ma3Route
Sun Nov 23 10:27:45 PST 2014 --  Mandera masacre has its owners. They also own Kapedo and Mpeketoni. Read the patterns.
Sun Nov 23 03:19:32 PST 2014 --  Kenyans: We want security. Kenyan leaders: Security starts with you. (Followed by cool selfies)
Sun Nov 23 08:17:56 PST 2014 --  One White House intruder, head of secret service resigns. In the Banana Republic, hundreds die and we issue strongly worded statements
Wed Nov 05 22:43:57 PST 2014 --  Kimaiyo to investigate Ole Lenku over Narok land row. There is something wrong here, anyone with an idea?
Thu Nov 06 19:20:26 PST 2014 --  Now;thika rd clear, drive in building,pangani interchange clear,kiambu rd slow at c.i.d ｍɑҙ✓ pic.twitter.com/kY2ezFo1pO via @roadsvolunteer
Wed Nov 05 11:32:52 PST 2014 --  “We do not inherit the earth from our fathers. We borrow it from our children.” #Fact
Tue Nov 04 07:08:39 PST 2014 --  Processional Way is a no go zone. Avoid! @Ma3Route
Mon Nov 03 21:41:26 PST 2014 --  Matt 7:16-20. You shall know them by their fruit. #AsHatersHate
Wed Oct 29 06:25:22 PDT 2014 --  KBS bus overlapping on Argwings Kodhek KAT 414C fleet no. 735 #NairobiTraffic @Ma3Route pic.twitter.com/1cZW6VhB6q
Sat Oct 25 23:31:10 PDT 2014 --  How is traffic on Ngong rd.? @Ma3Route
Tue Oct 21 22:22:49 PDT 2014 --  MCAs are like a herd of animals. Eat everything green around them with dung as the only output.
Wed Sep 10 00:07:01 PDT 2014 --  Cops tracked the alleged financier of Uhuru heckling in 48hrs. The financiers of North Eastern violence that has claimed over 400 are free.
Wed Sep 10 00:08:31 PDT 2014 --  Presidential car stolen,suspects arrested within days. Uhuru heckled,suspects arrested within hours.Kenyans demand presidential treatment.
Mon Sep 01 23:53:52 PDT 2014 --  If Moi destroyed everything, why haven't we built it back up? He's been gone for a decade.
Thu Mar 13 04:39:16 PDT 2014 --  " @coldtusker: Now that TSC has started interfering in #Starehe ... Let's just say, it was a great school..." @ktepeny
Tue Feb 04 20:01:03 PST 2014 --  Success in business is more than just profit at the end of the financial year.
Thu Jan 23 02:00:38 PST 2014 --  Isn't there a law against this? How would I explain to my daughter if she asked me about it? pic.twitter.com/R42GMCwGsi
Tue Jan 21 00:48:57 PST 2014 --  Truck KAD 701Y cuts elec cables and almost pulls down the pole on Kilimani Rd. Driver drives away smiling.
Tue Dec 24 11:49:30 PST 2013 --  Night travel banned, 50% solved. Now ban daytime travel to sort the other 50%. An accident free nation! Brilliant move by our govt!
Mon Dec 23 10:00:18 PST 2013 --  Choices have consequences #DigitalMigration
Mon Dec 16 20:59:05 PST 2013 --  Don't be like Scrooge: It's not OK that your employees can't afford to eat http://s.hbr.org/1jcxveB 
Mon Dec 16 20:41:29 PST 2013 --  #LetsEducateWesterners #Kenya is not a small town in Nigeria.
Mon Dec 16 20:38:03 PST 2013 --  #LetsEducateWesterners #Africa is not a jungle.
Sun Oct 27 02:27:54 PDT 2013 --  Stolen car #KAT967D Toyota 110 metallic grey. Help find it. @Ma3Route
Thu Oct 24 23:01:24 PDT 2013 --  My girlfriend, @Zuku_WeCare introduced me to her mother; Billing Dept.Let's see if I will be sorted @sunnysunwords #twitterbigstick
Wed Oct 23 02:21:31 PDT 2013 --  I have a new girlfriend, @ZukuOfficial @Zuku_WeCare, I call them daily! Internet always down. No compensation for downtime! @sunnysunwords
Tue Oct 08 10:14:04 PDT 2013 --  Look out for our #insidestory on the #westgatesiege. Here's the promo: http://bit.ly/19doQ2n  cc: @Kmohamed @MohaJichoPevu
Fri Oct 04 14:20:09 PDT 2013 --  The military lost the plot in Westgate siege, says retired general - News - http://nation.co.ke  http://www.nation.co.ke/news/The-military-lost-the-plot-in-Westgate-siege/-/1056/2019306/-/9jqryi/-/index.html …
Mon Sep 30 22:31:25 PDT 2013 --  Final quarter of the year...
Mon Sep 30 12:44:10 PDT 2013 --  Kenyans who love this country,must urgently engage in faith inspired prayer against more attacks on our soil. #AriseKenya
Fri Sep 27 09:25:10 PDT 2013 --  Seems like #WeAreOne refers to me, myself and I for some corporates and individuals.
Fri Sep 27 07:51:14 PDT 2013 --  It's unfortunate that corporates are using the #Westgate tragedy to push their brands.
Mon Sep 23 14:10:51 PDT 2013 --  RT @InteriorKE: "Our forces are combing the mall floor by floor looking for anyone left behind. We believe all hostages have been released"
Mon Sep 23 13:36:45 PDT 2013 --  If it's truly over, and there are no hostages, I have but one question. Did Ali find his wife and child? #Westgate #WeAreone @DennisOkari
Tue Apr 09 02:29:33 PDT 2013 --  All the best President #Kibaki. Thank you and God bless you.
Sat Mar 23 00:31:36 PDT 2013 --  Multiple car accident on Langata rd, both ways just outside Langata. Traffic building up. @sunnysunwords #OverlapKE
Sat Mar 09 00:38:59 PST 2013 --  Tunaomba serikali ya Obama ianzishe vita US ndio CNN wapate story. #SomeoneTellCNN.
Thu Mar 07 06:32:34 PST 2013 --  Free and fair elections? NEVER! Fair, yes but not free. How much did it cost the taxpayer again? #KenyaDecides
Tue Feb 19 01:55:11 PST 2013 --  How exactly is a bank employee supposed to advice me on business matters yet he is employed? Theory vs the practical.
Mon Feb 18 02:50:25 PST 2013 --  If these politicians care for you as much as they say they do, why do we still have IDP camps? Not worth it fighting for them. THINK!
Mon Dec 03 04:01:32 PST 2012 --  The biggest challenge in the #ServiceIndustry is managing client expectations.
Mon Nov 19 05:40:26 PST 2012 --  Why does the #CCN charge Ksh4500 for a Fire Clearance Cert @ year! What exactly are we paying for? The Fee is exorbitant! #TwitterBigStick
Fri Oct 12 04:12:57 PDT 2012 --  LOL Shebesh nobody elected you. You're nominated remember? You're as irrelevant as 'ay' in Okay.
Thu Oct 04 09:21:08 PDT 2012 --  Doctors going back to work. I thought they were fired. Vitisho baridi by govt. #PeremendeMovement
Thu Sep 27 22:28:52 PDT 2012 --  Kama #Kismayu ni Kenya. How can #Pwani not be Kenya?
Wed Sep 26 03:43:19 PDT 2012 --  #Waititu quote the Bible, 'love doesn't keep a record of wrongs.' Then proceed to jail!
Mon Jul 02 02:24:42 PDT 2012 --  "I had a great view of the red waves from the first minute to the last" G Buffon, Italy's great goalie.
Fri Jun 22 04:56:30 PDT 2012 --  Golf is becoming an addiction.
