Sat May 23 14:39:15 PDT 2015 --  DEGALE!!!!!!!! #AndTheNew
Wed May 13 14:30:34 PDT 2015 --  pic.twitter.com/CyRrCELux9
Tue May 12 12:14:21 PDT 2015 --  Since when did #Messi have a sleeve?! Disappointed.
Tue May 12 11:46:17 PDT 2015 --  #BayernMunich v #Barca let's do this. #Boom
Sun May 03 01:38:11 PDT 2015 --  #Mayweather on points? Standard. #NotAPatchOnMMA
Sat May 02 12:00:15 PDT 2015 --  Mayweather vs. Pacquiao live stream online live at 8 p.m. ET http://sbnation.com/e/8294148?utm_campaign=mmafighting&utm_content=chorus&utm_medium=social&utm_source=twitter … pic.twitter.com/RfNVBQ7fcq
Sat Apr 04 11:00:15 PDT 2015 --  Retweet if you loved this game! pic.twitter.com/yI5LxVO8HG
Tue Mar 31 11:23:35 PDT 2015 --  Video: McGregor, Aldo Have Confrontation (via http://ble.ac/teamstream- ) http://bleacherreport.com/tb/dgkmZ?utm_source=twitter.com&utm_medium=referral&utm_campaign=tsandroid … @TheNotoriousMMA absolutely awesome!
Thu Mar 26 15:29:16 PDT 2015 --  #Miliband was better than I anticipated. #Cameron? Meh. #Paxman? Bit of an idiot. #StillUndecided
Thu Mar 26 15:14:56 PDT 2015 --  #Paxman. Brutal. #BattleForNumber10
Thu Mar 26 14:05:56 PDT 2015 --  Here we go. Time to start making some decisions. #BattleForNumber10 #LesserOfTwoEvils
Tue Mar 24 17:37:19 PDT 2015 --  Brand spankin' new #EntourageMovie trailer out today!! https://amp.twimg.com/v/f7a852bc-bddc-4544-821a-e3a30cb4c30b …
Sun Mar 22 07:37:27 PDT 2015 --  Gerrard's heat map pic.twitter.com/67azVCEBV4
Fri Mar 20 15:03:41 PDT 2015 --  I am going to crush him. pic.twitter.com/Uh3qjVpEse
Fri Mar 13 12:05:38 PDT 2015 --  #ComicRelief . Or as @Whiskybob77 and I like to call it, the bi-annual #LennyHenry comedy appreciation event.
Sun Feb 22 05:55:09 PST 2015 --  Gutted.
Sun Feb 22 05:20:17 PST 2015 --  Sweet.... #whufc
Sat Feb 21 15:38:30 PST 2015 --  #RobbieSavage needs to get off my TV. Awful. #motd
Sat Feb 14 04:36:24 PST 2015 --  Happy with that line up. Let's do this @whufc_official #whufc
Wed Feb 11 23:37:25 PST 2015 --  " @BBCSport: http://bbc.in/16WsCBU  pic.twitter.com/uUoxK7XOd5" @chanus77 is there a bigger, more dramatic fall from grace than this?
Sun Feb 08 10:15:29 PST 2015 --  Gutted. Think that performance proves though that we're better without Andy Carroll. #whufc
Mon Feb 02 13:42:35 PST 2015 --  Literally have no interest in #DeadlineDay
Sat Jan 31 08:36:08 PST 2015 --  Bring back this West Ham pic.twitter.com/BKrVlTc3dR
