Fri Aug 28 14:05:33 PDT 2015 --  "Ese miedo a que te vuelvan a fallar."
Fri Aug 28 14:10:02 PDT 2015 --  La diferencia entre "gustar", "querer" y "amar" es la misma diferencia entre "por ahora", “por un tiempo" y "por siempre".
Tue Aug 18 08:51:49 PDT 2015 --  Cada vez que abres un libro y te dispones a leerlo, un árbol sonríe al ver que sí hay vida después de la muerte.
Tue Aug 18 08:52:48 PDT 2015 --  Muchas veces creemos que la vida nos dice “no”, cuando en realidad solo nos dice “espera”.
Tue Aug 18 08:54:01 PDT 2015 --  Los pequeños detalles, hacen grandes momentos.
Tue Aug 18 08:58:37 PDT 2015 --  Los amigos también rompen corazones.
Thu Aug 20 08:15:53 PDT 2015 --  Lo inesperado, es lo mejor que te puede pasar.
Sun Aug 23 06:24:11 PDT 2015 --  Si el camino es difícil es porque vas en la dirección correcta.
Sun Aug 23 15:18:15 PDT 2015 --  Extrano de mi infancia cuando mis unicas preocupaciones eran: caminar sin pisar las rayas y colorear sin salirme de las lineas.
Tue Aug 25 08:00:29 PDT 2015 --  Acuérdate que todo lo que va, vuelve.
Tue Aug 25 17:13:27 PDT 2015 --  Un "te amo" son palabras fuertes. Debes sentirlo, debes suspirarlo, debes valorarlo y nunca traicionarlo.
Tue Aug 18 08:58:22 PDT 2015 --  Te quiero: La palabra más dicha por muchos y demostrada por pocos.
Thu Aug 20 19:28:55 PDT 2015 --  Cuando realmente quiero algo, soy capaz de llegar a la segunda página de Google.
Sat Aug 22 18:08:22 PDT 2015 --  A nadie le deseo lo que tu me hiciste a mi.
Tue Aug 18 08:57:08 PDT 2015 --  Hay personas que valen la pena y otras que simplemente dan pena.
Tue Aug 25 17:31:02 PDT 2015 --  Cuando una mujer dice que no, es no, salvo que sea que sí, pero dirá que no por no decir sí.
Fri Aug 14 06:39:10 PDT 2015 --  Haremos un para siempre lleno de presente.
Mon Aug 17 18:31:02 PDT 2015 --  No hay peor silencio que callar cuando se ama, y no hay peor grito que expresarlo cuando es tarde.
Fri Aug 14 03:45:15 PDT 2015 --  Todo se vuelve más gracioso cuando estás en un sitio en el que no te puedes reír.
Thu Aug 13 09:10:02 PDT 2015 --  "Esos días en los cuales no estás ni bien ni mal, sólo respirando."
Mon Aug 10 20:21:53 PDT 2015 --  Tenemos miedo de ser felices porque cada vez que lo somos, algo malo pasa.
Tue Aug 11 08:03:56 PDT 2015 --  Hay parejas que quedan mejor como amigos y amigos que quedan mejor como pareja.
Wed Aug 12 21:59:21 PDT 2015 --  ¿La vida es solo eso? ¿Reír un rato y sufrir el otro?
Wed Aug 12 05:24:04 PDT 2015 --  " @CausandoRisas: Besos en el cuello = Adios autocontrol."
Wed Aug 12 00:23:32 PDT 2015 --  El ejemplo es una lección que todos los hombres pueden leer
Wed Aug 12 00:25:20 PDT 2015 --  Soy celosa, lo sé. Tengo mil defectos, lo sé. Pero tengo una gran virtud: cuando digo "te quiero", lo digo en serio.
Wed Aug 12 00:26:00 PDT 2015 --  De esas veces que no confías por miedo a que te pase lo mismo otra vez.
Wed Aug 12 01:28:01 PDT 2015 --  Tu edad no define tu madurez, Tus notas no definen tu inteligencia, Los rumores no definen quien eres.
Wed Aug 12 01:31:01 PDT 2015 --  No pagues con la misma moneda, demuestra que eres mejor.
Wed Aug 12 01:34:31 PDT 2015 --   ¡Idiota!  ¡Histérica!  Que tarado...  Tarada tu  Te odio  Yo también  JODETE!  No me hables  ¡OK!  ¡OK!  Te amo  Yo más. :$
Wed Aug 12 01:36:25 PDT 2015 --  Esa persona por la que te quedas un ratito más, aunque te estés muriendo de sueño.
Wed Aug 12 02:05:14 PDT 2015 --  "Perdonar" no es sinónimo de "seguir aguantando estupideces"
Wed Aug 12 02:37:16 PDT 2015 --  Las oportunidades no se pierden nunca, si no las aprovechas tú, las aprovechan otros. Así de simple.
Wed Aug 12 02:37:50 PDT 2015 --  Una cosa es perdonar y otra recuperar la confianza que había antes.
Wed Aug 12 02:40:24 PDT 2015 --  Hay una historia detrás de cada persona. Hay una razón por qué son como son. Piensa en eso antes de juzgar.
Wed Aug 12 04:35:20 PDT 2015 --  "Las relaciones más fuertes y duraderas son las que se toman el tiempo necesario para conocerse."
Wed Aug 12 05:05:15 PDT 2015 --  "Qué feo es acostumbrarse a hablar con una persona por muchas horas, porque cuando dejas de hacerlo sientes que te falta algo."
Sun Aug 09 15:05:27 PDT 2015 --  -No tengo todo lo que amo, Pero amo todo lo que tengo
