Wed Aug 12 11:24:26 PDT 2015 --  Important personnel updates to be aware of heading into tonight's rematch with New York Red Bulls II #NYvCLT http://fb.me/3CPZ90bhw 
Wed Aug 12 12:18:45 PDT 2015 --  No chance that this will get mocked regularly for the next couple seasons. None. http://youtu.be/1NCAQEDDdKk 
Wed Aug 12 00:50:06 PDT 2015 --  Big night Wednesday for @PghRiverhounds ( @SteelArmy) without a match. Louisville at Harrisburg & Charlotte at New York.
Wed Aug 12 07:18:38 PDT 2015 --  RIVERHOUNDS WEEKLY TAKEAWAYS – Moloto Coming Into His Own, Another New Keeper & Sights On… http://pittsburghsoccerreport.com/2015/08/12/riverhounds-weekly-takeaways-moloto-coming-into-his-own-another-new-keeper-sights-on-4th-place/ … pic.twitter.com/YXKUpX6zLR
Tue Aug 11 14:39:12 PDT 2015 --  FC Cincinnati is being announced tomorrow. Over/under 17 minutes into press conference for the first insinuation of looking to go to MLS?
Tue Aug 11 10:35:14 PDT 2015 --  Weekend Recap: Can we play Toronto every week? http://steelarmy.com/2015/08/weekend-recap-can-we-play-toronto-every-week/ … pic.twitter.com/OoUxmvxw5l
Tue Aug 11 08:14:28 PDT 2015 --  Another possible "short" 4.5 hour road trip next year for the SA #UNLEASH https://twitter.com/TotalMLS/status/631106432197263361 …
Mon Aug 10 11:03:18 PDT 2015 --  @SteelArmy recent loanee Conor Donovan was injured this past weekend in Orlando. Probably not heading back to Highmark any time soon.
Sun Aug 09 16:06:30 PDT 2015 --  The Hounds have a game in hand on the two teams ahead of them. Those possible three points would push the Hounds past them both. #UNLEASH
Sun Aug 09 16:04:47 PDT 2015 --  Richmond and Rochester drew tonight, keeping Richmond 2 points in front of the Hounds. #UNLEASH
Sun Aug 09 06:41:35 PDT 2015 --  Stretch run for USL playoffs continues next Sat 8/15 at Highmark Stadium with Charlotte up next! pic.twitter.com/g9v269hPtF
Sun Aug 09 06:23:30 PDT 2015 --  Feel the momentum building with a very impressive win in Toronto last night. Can't wait to welcome Charlotte next Sat.
Sun Aug 09 05:55:36 PDT 2015 --  Morning after and all is well. Couldn't have asked for much more. Next two games, both against Charlotte, are HUGE! #UNLEASH
Sat Aug 08 19:04:14 PDT 2015 --  3 points! Hounds back to sole possession of 6th place. 3 points in front of Harrisburg. 1 point behind NYRBII and Richmond #UNLEASH
Sat Aug 08 19:02:55 PDT 2015 --  Damn, so close to a clean sheet. Hell of a strike though #UNLEASH
Sat Aug 08 18:48:41 PDT 2015 --  MIRO BURIES IT! #UNLEASH
