Sun Aug 23 09:24:18 PDT 2015 --  Qui l'emportera ?! Regardez ce superbe replay pour le savoir ! #CloudRaiders http://cloudraiders.com/pvp/1550566614/?pid=1383433174&aid=121196510&did=1383433174&ci=56 …
Sun Aug 23 07:07:49 PDT 2015 --  pic.twitter.com/xXkcjDo294
Sat Aug 22 18:05:07 PDT 2015 --  Qui l'emportera ?! Regardez ce superbe replay pour le savoir ! #CloudRaiders http://cloudraiders.com/pvp/1561875574/?pid=1383433174&aid=1383433174&did=125754204&ci=73 …
Wed Aug 19 12:31:39 PDT 2015 --  Qui l'emportera ?! Regardez ce superbe replay pour le savoir ! #CloudRaiders http://cloudraiders.com/pvp/410407510/?pid=1383433174&aid=391797238&did=1383433174&ci=42 …
Mon Aug 17 16:26:14 PDT 2015 --  C'est pas génial, ça ? Jouez à #CloudRaiders et partons ensemble à la conquête des cieux ! http://cloudraiders.com/p/1383433174/?implicit=1&ci=9 … pic.twitter.com/9i20OkBSkN
Sat Aug 15 05:16:29 PDT 2015 --  loooooooooo;l #CloudRaiders http://cloudraiders.com/p/1383433174/?implicit=1&ci=3 …
Sat Aug 15 05:02:46 PDT 2015 --  Rejoignez-moi dans Cloud Raiders, le meilleur jeu de stratégie et d'action au monde ! #CloudRaiders http://cloudraiders.com/p/1383433174/?k=0&ci=0 …
Sat Aug 15 04:19:10 PDT 2015 --  pic.twitter.com/7rtBf1G6UU
Fri Aug 14 17:08:41 PDT 2015 --  trop beau pic.twitter.com/t95BZ6232o
