Mon Aug 24 17:33:24 PDT 2015 --  Cita Citata Curhat Soal Merindukan Kasih Sayang di Lagu Baru
Wed Aug 19 01:58:51 PDT 2015 --  pic.twitter.com/2A2pf8A04y
Tue Aug 18 21:23:43 PDT 2015 --  Kantor jamkesms kbuptn tsikmlya tidak ada wc..parah sekali..
Tue Aug 18 21:22:40 PDT 2015 --  pic.twitter.com/TbUp1SV1dl
Tue Aug 18 19:51:21 PDT 2015 --  #lalinBDG 09.50 : Pasteur arah Bandung kota ramai lancar, arah Tol dan Gunung Batu padat merayap pic.twitter.com/4AW1cIJrq4
Sat Aug 15 04:33:24 PDT 2015 --  Tema 16 Agustus 2015: Pilihlah Aku Jadi Istrimu.Bagaimana cara memilih pasangan yg baik?Mau tau mau tau mau tau?Harus nonton besok!
Fri Aug 14 23:29:38 PDT 2015 --  Jabar harus bikin..jalan tol..bandung tasik..
Fri Aug 14 23:26:47 PDT 2015 --  pic.twitter.com/rvh4FFU825
Fri Aug 14 23:24:01 PDT 2015 --  Jika alloh....berkehndak....semua tak ada yg bisa..di d pungkiri..
