Sun Jul 05 15:00:53 PDT 2015 --  “Barangsiapa yang tidak menyayangi, maka (dia) tidak akan disayangi.” [Bukhari no 5997)
Sun Jul 05 15:00:48 PDT 2015 --  Kita hidup bukan untuk melampaui orang lain, tetapi untuk melampaui diri sendiri dan menang melawan ego kita sendiri.
Sun Jul 05 15:00:07 PDT 2015 --  dimaafkan bukan berarti tanpa tanggungan. dimaafkan adalah ujian seberapa besar kita mampu menjaga kepercayaan (lagi).
Sun Jul 05 15:00:07 PDT 2015 --  Kehidupan ini baik. Setiap hal yang terjadi, termasuk yang buruk - dimaksudkan untuk membuat kehidupan lebih baik.
Sun Jul 05 13:40:12 PDT 2015 --  Mulailah dari satu langkah yang bisa Anda lakukan. Jangan mengeluhkan yang tidak bisa dilakukan.
Sun Jul 05 13:52:01 PDT 2015 --  Satu kisah cinta yang buruk, sanggup mematahkan hati hingga tak mau mencinta lagi… berhentilah, jangan menyakiti
Tue Feb 24 23:00:17 PST 2015 --  Hidup ini tak akan pernah lepas dari cinta, karna kita lahir dan di besarkan karena cinta
Thu Jun 18 18:29:44 PDT 2015 --  Don't shout! People may get angry. = Jangan ngotot! Ntar bikin orang marah.
Thu Jun 18 22:09:42 PDT 2015 --  You are like dentures, because I could not smile without you. = Bagiku, kau seperti gigi palsu, karena aku tak mampu tersenyum tanpamu.
Fri Jun 19 03:12:31 PDT 2015 --  Pejamkan matamu, dan rasakan cinta ini menusuk kalbu mu = close your eyes, and feel this love touch your heart
Fri Jun 19 03:12:43 PDT 2015 --  Let's greet them. = Ayo kita sambut mereka
Fri Jun 19 03:12:54 PDT 2015 --  Don't get carried away. = Jangan gampang terpancing.
Fri Jun 19 03:12:57 PDT 2015 --  He's my buddy. = Dia teman baikku.
Fri Jun 19 18:33:25 PDT 2015 --  A man becomes learned by asking questions. = Semakin banyak bertanya seseorang akan menjadi lebih pintar.
Sat Jun 20 20:14:30 PDT 2015 --  Love Is Like The Wind, You Can't See It But You Can Feel It || Cinta itu seperti angin, kau tidak bisa melihatnya tapi kau bisa merasakannya
Sat Jun 20 20:16:42 PDT 2015 --  Speak politely, then people will respect you. || Bicaralah dengan sopan, maka orang lain akan menghormati anda.
Sun Jun 21 02:34:28 PDT 2015 --  No one in love is free, or wants to be || Tidak ada seoarangpun orang yang jatuh cinta merasa bebas, atau ingin bebas
Fri Jun 05 23:56:23 PDT 2015 --  Check out my photo of #ClumsyNinja for Android! Try it for FREE! http://nmgam.es/cn-tpht  pic.twitter.com/pzXWToiGKQ
Fri Jun 05 23:53:21 PDT 2015 --  Check out my photo of #ClumsyNinja for Android! Try it for FREE! http://nmgam.es/cn-tpht  pic.twitter.com/VhKvSAB5pK
Fri Jun 05 23:51:48 PDT 2015 --  Check out my photo of #ClumsyNinja for Android! Try it for FREE! http://nmgam.es/cn-tpht  pic.twitter.com/2j8y8PRYKA
Thu Jun 04 01:18:37 PDT 2015 --  #SomethingHOT: http://youtu.be/0xc1EyCgLjE 
Tue Jun 02 06:50:52 PDT 2015 --  Pertama kali buka twitter di tahun 2015. Ampe dah lupa cara pakek-nya :'(
Sat Jan 10 05:54:43 PST 2015 --  pic.twitter.com/m82q1OAp3I
Tue Dec 23 02:26:40 PST 2014 --  Sob, bandingin Xiaomi Redmi Note sama Advan Barca 5 S5Q dong..... Please, penasaran nih bagus mana.soalnya harganya sama @SobatHAPE
Sat Nov 15 04:15:48 PST 2014 --  Pin dipasang dekat Klaten Utara Klaten, Jawa Tengah http://maps.google.com/?q=-7.685904,110.621770&hl=in&gl=id …
Tue Oct 21 09:34:15 PDT 2014 --  " @PEPATAHKU: kelebihan tak akan ada artinya kalau tidak dimanfaatkan dan tidak bermanfaat bagi orang lain"
Tue Oct 21 09:24:16 PDT 2014 --  Malam :-)
Tue Oct 21 09:21:53 PDT 2014 --  Huh pic.twitter.com/8I6twAmT8k
Tue Oct 21 09:20:58 PDT 2014 --  ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å ╠╣å pic.twitter.com/GYk89EoprK
Tue Oct 21 09:19:30 PDT 2014 --  pic.twitter.com/C3V6H8igJQ
Sat Sep 13 19:46:04 PDT 2014 --  Inilah yang kusebut seorang manajer yang baik! Kunjungi @topeleven: http://norde.us/andtwinvite 
Sat Sep 13 05:12:30 PDT 2014 --  Halo??????
Wed Aug 27 19:14:18 PDT 2014 --  Auouoooo
Fri Aug 01 05:49:25 PDT 2014 --  Tampilan menu di hp-ku (with Ayah) [pic] — https://path.com/p/36PAHl 
Fri Jul 25 15:03:51 PDT 2014 --  Hahahahahahahahahahahahahahahahahaha
Fri Jul 25 15:03:17 PDT 2014 --  Apa yang sedang terjadi?
Mon Jul 21 07:14:08 PDT 2014 --  Apa yang sedang terjadi?
Tue Jun 10 16:09:06 PDT 2014 --  love is not thought by the intellect but love is what is perceived by the liver
Tue Jun 10 15:01:18 PDT 2014 --  Raffi dukung pak @Prabowo08. Kalau kamu setuju, RT ya... Indonesia Bangkit!
Mon May 12 07:26:31 PDT 2014 --  " @FansClubAbabil: RETWEET Yang Lagi Nungguin @Bangbily di @YukeepSmile_TTV :* !!!" @latfiansya01 ok
Mon May 12 07:07:16 PDT 2014 --  I love Indonesian
Mon May 12 01:30:22 PDT 2014 --  Jangan terlalu mudah curiga jika tak ingin hidup dalam kegalauan.
Mon May 12 01:52:35 PDT 2014 --  Wooowwww
Sun May 11 22:49:22 PDT 2014 --  Ini aplikasi super keren: Senter. Dapatkan di sini: http://i.smte.ch/aledflashmail 
Sat May 10 21:05:01 PDT 2014 --  Sunday was a great day for me
Sat May 10 21:00:24 PDT 2014 --  a beautiful day
Fri May 09 06:55:14 PDT 2014 --  @latfiansya01 thanks to follme
Fri May 09 21:47:09 PDT 2014 --  " @macaroni_kecap: @latfiansya01 thanks to follme" thanks
Tue Apr 29 03:32:38 PDT 2014 --  10987654321
Tue Apr 29 03:32:12 PDT 2014 --  12345678910
Tue Apr 29 03:30:33 PDT 2014 --  Indonesian Independent!!!!
Mon Apr 28 04:25:28 PDT 2014 --  " Cewek lebih suka cowok baik dibandingkan cowok ganteng... ...kata cowok baik."
Mon Apr 28 04:23:20 PDT 2014 --  " Ciri2 orang lagi jatuh cinta: lagi makan inget pacar, minum inget pacar, baru pas buang air besar inget mantan."
Wed Mar 26 07:15:56 PDT 2014 --  Buat kamu yang masih belum tau jawabannya, bisa lihat disini Ofans. Yuk RT! #OPPOsmartphone #GuestMode http://ow.ly/i/51Fwi 
Sat Mar 22 06:34:56 PDT 2014 --  Siapa band yg kalian suka?
