Thu May 14 12:56:07 PDT 2015 --  Enfin ! ! ! ! #MajLollipop #iletaittemps #alleluia
Thu May 14 12:55:03 PDT 2015 --  Je l 'avait dit que la Juve reussirait et ils l'on fait bien joue ! #Juventus #lajuveenfinal
Fri Apr 17 08:07:42 PDT 2015 --  Je fais partie de la #TeamCaptainAmerica pour gagner la manette #XboxAvengers pic.twitter.com/D7TuPON9YI http://bit.ly/XboxAvengers  @XboxFR
Mon Apr 06 13:24:42 PDT 2015 --  Vias sans @Emilio2699 c'est plus vias !!
Mon Mar 09 11:34:16 PDT 2015 --  @EA_FIFA_France Et la fourchette on se la prend dans le cul ou comment ca se passe ?
Fri Mar 06 02:13:13 PST 2015 --  Envie de gagner un super kit #olloclip pour ton Samsung Galaxy S5 ou S4 ? RT et follow #freshbox17 ! pic.twitter.com/TzLYJuzHQ1
Sun Mar 01 11:55:46 PST 2015 --  ils ont les boules parceque ils savent que Samsung est supérieur a Apple en tout point #MWC15 #Samsungisthebest #TheNextGalaxy #Samsung
Sun Mar 01 11:52:27 PST 2015 --  c'est parti maintenant tout le monde va dire que le S6 est une copie de l'iphone 6 plus pfff #ilssontjaloux #MWC15 #nextgalaxy #SamsungS6
Sun Mar 01 10:49:15 PST 2015 --  Samsung a vraiment mis le paquet pour cet MWC ! #MWC15 #Samsung #nextgalaxy #SamsungGalaxyS6
Sun Mar 01 10:26:28 PST 2015 --  Comment Samsung a trollé Apple c'est juste énorme ! #MWC15 #SamsungGalaxyS6 #nextgalaxy #samsungacomprislavie
Sun Mar 01 10:23:22 PST 2015 --  putain il est vachement classe le galaxy S6 ! #MWC15 #Samsung #nextgalaxy
Sat Feb 28 08:22:00 PST 2015 --  Ce match est train de virer au cauchemar ! #LOSCOL #TeamOL
Fri Feb 27 23:49:00 PST 2015 --  quoi de mieux pour commencer le week-end qu'un rendez-vous chez l'ostéopathe a 7h45 ! #youpi #leweekendcommencebien #pourquoimoi
Sun Nov 16 10:17:48 PST 2014 --  "Le téléchargement illégal tue les artistes" Bah oui bien sur pic.twitter.com/01pmnrwX9m
Wed Feb 04 08:21:08 PST 2015 --  Hardcore cette après-midi je viens de découvrir que Arnold Muvemba habite a 2 rues de chez moi ! #unbelievable
Sat Jan 31 02:28:41 PST 2015 --  Enfin après des jours de recherche j'ai enfin trouver un stage en entreprise ! #Happyman #yeahhhhhh
Sat Jan 17 13:48:40 PST 2015 --  - TOC TOC! - QUI EST LÀ?! - AMINE.. - AMINE QUI? - AMINE LOVE WITH THE COCO
Sat Jan 24 10:27:56 PST 2015 --  "Trouver x" #BlagueDeStmg pic.twitter.com/Li9xl5nLea
Thu Jan 01 11:01:08 PST 2015 --  -Ta copine elle a quel âge? -42 ans -Ah ouai chaud ça pourrait être ta mère -Sauf que c'est la tienne
Sat Jan 10 09:27:10 PST 2015 --  Lego Man! pic.twitter.com/jzDaB019rj
Thu Jan 08 09:33:37 PST 2015 --  Pink Slips ROONEY IN FORM sur Xbox One ! pour participez Follow+ #RT Mets un numéro entre 1 et 500. Tirage à 300 #RT pic.twitter.com/FFzqtgX1EB
Sun Jan 11 09:53:54 PST 2015 --  Superbe victoire de @OL 3-0 face au @ToulouseFC bien joué les gones maintenant on est premier de ligue 1 # #OLTFC #TeamOL #lyonnais
Sun Jan 11 09:06:55 PST 2015 --  et 1 et 2 et 3-0 ! #OLTFC #TeamOL
Fri Jan 09 09:10:23 PST 2015 --  Le gars qui s'est planqué et qui a transmis les infos nécessaires au GIGN pour abattre ces deux enfoirés un est un putain de héro ! #respect
Thu Jan 08 06:06:05 PST 2015 --  Je suis fière de mon lycée, on est libre, on est Charlie. #JeSuisCharlie #Lycée #PrayForParis pic.twitter.com/DO8giIaqSl
Fri Dec 05 11:41:02 PST 2014 --  "Pour découper un arabe dans mon jardin" pic.twitter.com/ydGQFzL22u
