Fri Aug 28 09:04:50 PDT 2015 --  " @About_YourLife_: Life is a gift. Never take it for granted."
Fri Aug 28 09:04:41 PDT 2015 --  " @About_YourLife_: When you want something you've never had, you have to do something you've never done."
Fri Aug 28 09:04:34 PDT 2015 --  " @About_YourLife_: Being hurt doesn't give you the right to hurt anyone."
Fri Aug 28 09:04:26 PDT 2015 --  " @About_YourLife_: No matter how strong of a person you are, there's always someone who can make you weak."
Fri Aug 28 09:04:19 PDT 2015 --  " @About_YourLife_: Every day may not be good, but there’s something good in every day."
Fri Aug 28 09:04:09 PDT 2015 --  " @About_YourLife_: In relationships: 1) Don't lie. 2) Don't cheat. 3) Don't make promises you can't keep."
Fri Aug 28 09:04:01 PDT 2015 --  " @About_YourLife_: It is the greatest shot of adrenaline to be doing what you've wanted to do so badly."
Fri Aug 28 09:03:51 PDT 2015 --  " @About_YourLife_: Nothing is too difficult -- you only need to know how."
Fri Aug 28 09:03:44 PDT 2015 --  " @About_YourLife_: Rejection doesn’t hurt, expectation does. Lies don’t kill, denial does. Forgetting doesn’t heal, forgiving does."
Fri Aug 28 09:03:30 PDT 2015 --  " @About_YourLife_: When the wrong people leave your life, the wrong things stop happening."
Fri Aug 28 09:03:17 PDT 2015 --  " @About_YourLife_: Give thanks for what you are now, and keep fighting for what you want to be tomorrow."
Fri Aug 28 09:03:08 PDT 2015 --  " @About_YourLife_: What you put up with you end up with, you can only expect what you accept."
Fri Aug 28 09:02:57 PDT 2015 --  " @About_YourLife_: Learn to accept everybody. You don't have to like people, but at least give them your respect."
Fri Aug 28 09:02:45 PDT 2015 --  " @About_YourLife_: Never judge someone on their past, they don't live there anymore."
Fri Aug 28 09:02:38 PDT 2015 --  " @About_YourLife_: If you miss someone, that means you're lucky. It means you had someone special in your life, someone worth missing."
Fri Aug 28 09:02:28 PDT 2015 --  " @About_YourLife_: No matter where life takes you, always pack a positive attitude."
Fri Aug 28 09:02:19 PDT 2015 --  " @About_YourLife_: All good things need time, care and patience to come into reality."
Fri Aug 28 09:02:12 PDT 2015 --  " @About_YourLife_: It is not wanting to win that makes you a winner; it is refusing to fail."
Fri Aug 28 09:02:04 PDT 2015 --  " @About_YourLife_: Often in life we forget the things we should remember and remember the things we should forget."
Fri Aug 28 09:01:54 PDT 2015 --  " @About_YourLife_: The answer to your problem lies within you, beneath the surface of frustration lies the answer to all of your problems."
Fri Aug 28 09:01:38 PDT 2015 --  " @About_YourLife_: We never lose friends. We just discover who our real friends are."
Fri Aug 28 09:01:28 PDT 2015 --  " @About_YourLife_: People bring up your past when they're intimidated by your present."
Fri Aug 28 09:01:20 PDT 2015 --  " @About_YourLife_: When we can't get what we love, we must love what is within our reach."
Fri Aug 28 08:59:55 PDT 2015 --  " @About_YourLife_: People will judge you by your actions, not your intentions."
Fri Aug 28 08:59:47 PDT 2015 --  " @About_YourLife_: Remember the past, plan for the future, but live for today, because yesterday is gone and tomorrow may never come."
Fri Aug 28 08:59:40 PDT 2015 --  " @About_YourLife_: No matter how many people try to criticize you, the best revenge is to prove them wrong."
Fri Aug 28 08:59:30 PDT 2015 --  " @About_YourLife_: Rumors are carried by haters, spread by fools and accepted by ignorant people."
Fri Aug 28 08:59:21 PDT 2015 --  " @About_YourLife_: You can't have a better tomorrow if you're always thinking about yesterday."
Fri Aug 28 08:59:14 PDT 2015 --  " @About_YourLife_: Pretty words are not always true. True words are not always pretty."
Fri Aug 28 08:58:46 PDT 2015 --  " @About_YourLife_: The great thing about the past is that it is in the past."
Fri Aug 28 08:58:36 PDT 2015 --  " @About_YourLife_: Don't let circumstances that you can't control, control your happiness."
Fri Aug 28 08:58:20 PDT 2015 --  " @About_YourLife_: The less you care, the happier you will be."
Fri Aug 28 08:58:11 PDT 2015 --  " @About_YourLife_: Be crazy, stupid, weird, strange, whatever. Life is too short to be anything but happy."
Fri Aug 28 08:58:02 PDT 2015 --  " @About_YourLife_: Some people are like clouds. When they disappear, it's a beautiful day."
Fri Aug 28 08:57:53 PDT 2015 --  " @About_YourLife_: Never live in the past but always learn from it."
Fri Aug 28 08:57:43 PDT 2015 --  " @About_YourLife_: The truth is hard to swallow when you're choking on your pride."
Fri Aug 28 08:57:30 PDT 2015 --  " @About_YourLife_: Don't say things you don't mean."
Fri Aug 28 08:57:24 PDT 2015 --  " @About_YourLife_: Don't respect someone for making a promise. Respect them for keeping it."
Fri Aug 28 08:57:15 PDT 2015 --  " @About_YourLife_: Charm is the ability to make someone else think that both of you are pretty wonderful."
Fri Aug 28 08:57:07 PDT 2015 --  " @About_YourLife_: We are who we choose to be."
Fri Aug 28 08:56:55 PDT 2015 --  " @About_YourLife_: The future depends on what we do in the present."
Fri Aug 28 08:54:54 PDT 2015 --  " @About_YourLife_: You can never aim too high. You can never fight too hard."
Fri Aug 28 08:54:48 PDT 2015 --  " @About_YourLife_: You must breathe life into your dreams if you wish them to come alive, you must act to turn imagination into reality."
Fri Aug 28 08:54:39 PDT 2015 --  " @About_YourLife_: Success has nothing to do with what you gain in life or accomplish for yourself. It's what you do for others."
Fri Aug 28 08:52:53 PDT 2015 --  " @Remember_011235: RT “ @rdcrisp: #astrophotography #nebula #space #astronomy M8 S2HaO3 http://bit.ly/1U9CUAf  pic.twitter.com/5gC9dfkeS0”"
Fri Aug 28 08:52:32 PDT 2015 --  " @cruise_experts: Escape to the Greek Isles aboard @RoyalCaribbean 's Rhapsody of the Seas http://cruises.advaia.com/details/?OfferID=1144779&CID=72 … #cruise
Fri Aug 28 08:52:19 PDT 2015 --  " @wordpowerz: Wisdom is the daughter of experience."
Fri Aug 28 08:52:05 PDT 2015 --  " @wordpowerz: Life is a succession of lessons, which must be lived to be understood."
Fri Aug 28 08:50:17 PDT 2015 --  " @Remember_011235: QT “ @UniversesWays: The Iris #Nebula is a bright reflection nebula and #Caldwell object in the #constellation http
Fri Aug 28 08:49:57 PDT 2015 --  " @thatdaocar: For you my lovely friends pic.twitter.com/bpL1GTMF5Z"
Fri Aug 28 08:49:26 PDT 2015 --  " @Fact: According to an Oxford study, falling in love costs you on average 2 friends."
Fri Aug 28 08:49:14 PDT 2015 --  " @OMGFacts: Two-thirds of UK teenagers don't believe in God."
Fri Aug 28 08:48:56 PDT 2015 --  " @247razz: 8 American Eagles with 1 Golden Eagle. Rarely together. #wildlifeWednesday Keep it wild. pic.twitter.com/PfwqFQTXlu"
Fri Aug 28 08:47:57 PDT 2015 --  " @FactSoup: You learn to trust by daring to try."
Fri Aug 28 08:47:44 PDT 2015 --  " @UberFacts: Students with standing desks are more attentive than their seated counterparts, according to a study."
Fri Aug 28 08:39:10 PDT 2015 --  " @engrossingfacts: Computer & human evolution pic.twitter.com/ZNqshKdNlB"
Fri Aug 28 08:38:49 PDT 2015 --  " @engrossingfacts: Rules for Life pic.twitter.com/0bWzms1XIY"
Fri Aug 28 08:38:31 PDT 2015 --  " @Fact: Forgive others. Not because they deserve forgiveness, but because you deserve peace."
Fri Aug 28 08:38:19 PDT 2015 --  " @engrossingfacts: A Day Without Laughter Is A Day Wasted."
Fri Aug 28 08:37:58 PDT 2015 --  " @engrossingfacts: Love is rare, Life is strange, Nothing last, people change."
Fri Aug 28 08:37:49 PDT 2015 --  " @Truelovesfacts: She makes me love Star Wars sooo much http://bit.ly/1WI52hP  pic.twitter.com/dsX5JOUBsB"
Fri Aug 28 08:37:21 PDT 2015 --  " @engrossingfacts: Spend life with who makes you happy, not who you have to impress"
Fri Aug 28 08:36:57 PDT 2015 --  " @TheKnowledge: If you expect something in return for being a nice person, you aren't a nice person."
Fri Aug 28 07:28:31 PDT 2015 --  " @wordpowerz: Be not afraid of life. Believe that life is worth living, and your belief will help create the fact."
Fri Aug 28 07:27:51 PDT 2015 --  " @MAureliusQuote: Affect not to set out thy thoughts with curious neat language. Be neither a great talker, nor a great undertaker."
Fri Aug 28 07:27:40 PDT 2015 --  " @FactSoup: It doesn't matter what you've done, what matters is what you choose to do from here."
Thu Aug 27 09:39:47 PDT 2015 --  " @WordsTexts: ugh pic.twitter.com/L7MY5bl4Nb"
Thu Aug 27 09:39:27 PDT 2015 --  " @WordsTexts: I swear.. pic.twitter.com/v973I7ykrz"
Thu Aug 27 09:39:04 PDT 2015 --  " @AccurateText: All I want is someone who will stay, no matter how hard it is to be with me."
Thu Aug 27 09:38:45 PDT 2015 --  " @WordsTexts: Do you ? pic.twitter.com/V7SNJjKaZx"
Thu Aug 27 09:38:31 PDT 2015 --  " @AccurateText: She'll cry, and get over it, She'll hate you, and then love you again, But one day she'll leave.. and she won't come back."
Thu Aug 27 09:38:16 PDT 2015 --  One smile, can start a friendship. One word, can end a fight. One look, can save a relationship. One person can change your life."
Thu Aug 27 08:23:36 PDT 2015 --  " @MonjoyR: pic.twitter.com/tOOWkihHYt"
Thu Aug 27 08:22:20 PDT 2015 --  " @usefuuull: One of the most sincere forms of respect is actually listening to what someone has to say."
Thu Aug 27 08:20:58 PDT 2015 --  " @SarcasticPix: me: ur ugly me, to myself: okay but did i ask?"
Thu Aug 27 08:16:41 PDT 2015 --  " @ReaIstagram: What's meant to be will always find a way.ㅤ"
Thu Aug 27 08:16:35 PDT 2015 --  " @ReaIstagram: You live, you learn, you move on.ㅤ"
