Sun Aug 23 08:10:56 PDT 2015 --  yo to everybody else showing love thank u...im hungry and i go hard...i leave my heart on every beat and i do for yall...
Sun Aug 23 08:05:12 PDT 2015 --  its alot of weak ass hatin ass niggas on here...thats ok i do this shit for the real ones memphis i got you
Sun Aug 23 05:49:13 PDT 2015 --  See thats why memphis hip hop is not as big as it should be...dudes make it from here and never look back...all... http://fb.me/4Embub1pJ 
Sun Aug 23 05:01:11 PDT 2015 --  its crazy how everybody keep saying they dont like drake...but he keep selling out concerts and everytime i go to... http://fb.me/2s216Z0hE 
Sat Aug 22 19:46:48 PDT 2015 --  #unklerikoe #billboard Wiz Khalifa Arrested at Airport: Report: According to a series of Instagram and Twitter... http://j.mp/1JFe37O 
Sat Aug 22 20:33:27 PDT 2015 --  What are Record Pools? Here's the scoop https://youtu.be/XzVs1BFcij8  http://Tamboramusic.com 
Sat Aug 22 22:13:42 PDT 2015 --  #unklerikoe #billboard Billboard Hot 100 Fest Breaks Single Day Attendance Record at Nikon at Jones Beach Thea... http://j.mp/1JFO3t5 
Sat Aug 22 23:30:12 PDT 2015 --  #unklerikoe #billboard Top 5 Biggest Sing-Alongs at Hot 100 Fest Saturday: Jason Derulo, The Weeknd, Halsey & ... http://j.mp/1I4bbKk 
Sun Aug 23 03:52:09 PDT 2015 --  thankful for the rainy days...without them i wouldnt appreciate the sunny ones
Sun Aug 23 03:51:18 PDT 2015 --  q: has my last relationship damged me...hmm...a: i wouldnt say that but it has taught me to guard my... http://fb.me/7mMfIn5rg 
Sun Aug 23 02:57:45 PDT 2015 --  http://fb.me/5a1lgx8Ag 
Sun Aug 23 02:54:53 PDT 2015 --  GO GMEN...but eli and obj gotta get on the same page this week http://fb.me/354ZLGCxq 
Sun Aug 23 02:50:18 PDT 2015 --  http://fb.me/43qk0FtSw 
Sun Aug 23 02:42:33 PDT 2015 --  http://fb.me/4pwYTxCJv 
Sun Aug 23 00:23:57 PDT 2015 --  Just outta curiosity....am i the only one who likes to sit down in the shower with the water running on me....thats so everything
