Fri Aug 28 18:34:53 PDT 2015 --  RELATE MUCH!! https://twitter.com/ImEricLucero/status/637227439282786305 …
Wed Aug 26 09:18:41 PDT 2015 --  SWERTE! SHINY LEGENDARY :D Gabriel C Calma J-Niel B. Laylo http://fb.me/1VeNPbepO 
Tue Aug 25 06:31:42 PDT 2015 --  NCAE Tommorow :D Lorenss Indico
Mon Aug 24 07:29:29 PDT 2015 --  IDOL http://jannamasajo.weebly.com/photos.html 
Sat Aug 22 00:03:50 PDT 2015 --  Aldub make me happy because it shows to us that long distance relationship still works and Forever <3 #ALDUBAgainstALLODDS
Fri Aug 21 23:39:16 PDT 2015 --  Aldub make me happy because it shows to us that long distance relationship still works and Forever <3
Tue Aug 18 01:29:36 PDT 2015 --  pic.twitter.com/6Tqu0YlpLV
Sat Aug 15 21:07:12 PDT 2015 --  Favorite shot from my favorite shoot. megastyleph https://instagram.com/p/6biT7ct1Nj/ 
Fri Aug 14 19:24:34 PDT 2015 --  Got her head in the clouds but she sees darkness when she looks deep down https://instagram.com/p/6YxxZmN1Pr/ 
