Mon Aug 17 12:15:33 PDT 2015 --  Does it look Green to you? https://instagram.com/p/6fu88lGsNd/ 
Sun Aug 16 15:54:26 PDT 2015 --  Enjoy the road and hotel. https://instagram.com/p/6dinjQmsFy/ 
Sat Aug 15 15:55:02 PDT 2015 --  Haunted_house_of_Carterton_by_LilFairie https://instagram.com/p/6a89gmGsAY/ 
Thu Aug 13 16:27:00 PDT 2015 --  Haunted prison. Eastern State Penetentiary in Philadelphia, Pennsylvania is considered to be the… https://instagram.com/p/6VwR8DmsNw/ 
Thu Aug 13 11:59:54 PDT 2015 --  Bird vs haunted moon in middle of nowhere https://instagram.com/p/6Si1OCGsIg/ 
Thu Aug 13 11:57:04 PDT 2015 --  Does this house look scrary to u? https://instagram.com/p/6VRPwnGsAW/ 
Tue Aug 11 17:15:47 PDT 2015 --  You try. You fail. You try. You fail. But the only true failure is when you stop trying. –Madame Leota (Haunted Mansion)
Wed Aug 12 09:19:39 PDT 2015 --  Just posted a photo https://instagram.com/p/6SiJZoGsHV/ 
Wed Aug 05 14:38:16 PDT 2015 --  @GhostEpisodes the freakiest place ever - no way would I ever set foot on that island. I still can't believe @Zak_Bagans & GAC did.
Wed Aug 05 15:51:43 PDT 2015 --  This room looks too messy to me. Does it look haunted to you? Tell me your thoughts. pic.twitter.com/tZqCs8Vjvg
Wed Aug 05 15:49:11 PDT 2015 --  Just posted a picture https://instagram.com/p/6BNrifGsNx/  Thank all of you
Wed Aug 05 14:09:44 PDT 2015 --  https://www.youtube.com/watch?v=BmWdcgFtVCE … GAC came to Isla de las Munecas and investigated pic.twitter.com/5xeJBY9IRG
Wed Aug 05 14:03:52 PDT 2015 --  Isla de las Munecas - The Island of the Dolls. Just south of Mexico City pic.twitter.com/4nJOwqebsG
Sun Aug 02 12:26:03 PDT 2015 --  Credit to hallowhorror pic.twitter.com/pyG1nEebOY
Fri Jul 31 22:44:38 PDT 2015 --  Just posted another picture tonite https://instagram.com/p/504VKcGsBx/  Have a good nite to all of u
Fri Jul 31 20:38:07 PDT 2015 --  Just posted picture https://instagram.com/p/50UUjMmsBe/ 
Thu Jul 30 12:37:11 PDT 2015 --  Just posted a photo https://instagram.com/p/5xZor6GsIA/ . Have a great Thursday.
Sun Jul 26 23:46:11 PDT 2015 --  Everyone search Ransom Newton Warlock in New Philadelpia Ohio. Just got back from his grave!!! This legend is crazy! pic.twitter.com/8JIxp4R251
Wed Jul 29 16:20:54 PDT 2015 --  Just Posted a picture https://instagram.com/p/5vNmC4GsMe/  Life after dead.
Mon Jul 27 12:22:35 PDT 2015 --  Just posted a picture https://instagram.com/p/5plfobmsNL/ 
Thu Jul 09 17:29:21 PDT 2015 --  August 8 & 15th there will be 2 brand-new episodes of Aftershocks THEN Season 11 of GA premieres Aug 22nd!! https://twitter.com/the_real_brett/status/619298935350427649 …
Sun Jul 19 23:43:34 PDT 2015 --  @Zak_Bagans @GhostAdventures I always have the most fun doing #GhostAdventures on #dubsmash. #YouWantedUs #YouGotUs pic.twitter.com/kC7eix1y4r
Mon Jul 27 02:05:24 PDT 2015 --  Just posted a photo https://instagram.com/p/5ojQAyGsC5/  Have a good week. Thank you
Sun Jul 26 23:23:50 PDT 2015 --  Here's another ghost I caught camera. On the middle right by the gravestone!!! @GhostEpisodes pic.twitter.com/kNUyKASrrE
Sat Jul 25 05:57:57 PDT 2015 --  Just posted a photo https://instagram.com/p/5j1TGPGsML/  Have a good Saturday to all of you
