Thu Aug 13 01:53:30 PDT 2015 --  أعشق من الطفولة الوفاء للأصدقاء والحب البريء والمشاكسات والرغبة الجارفة في التعلم والفهم والحفظ، والسؤال الذي يبحث عن المجهول.
Wed Aug 12 14:52:40 PDT 2015 --  المدح المفرط عملية تخدير فعّالة يمارسها الأتباع مع متبوعهم، تجعله في غيبوبة عن واقعه وأخطائه وتقتل روح التطوير والإصلاح.
Tue Aug 11 17:19:42 PDT 2015 --  قال الأكفاني وعبد الكريم: أصل #العبادة مكابدة اللَّيل، وأقصر طرق الجنَّة #سلامة_الصدر . #سلامة_القلب ،،نقوا #قلوبكم . pic.twitter.com/ROFStdrkiV
Mon Aug 10 20:29:45 PDT 2015 --  الذي يحسن إلى الناس ينشرح صدره، ويشعر بالراحة، وقد ذكر ابن القيِّم في زاد المعاد أن #الإحسان من أسباب انشراح الصَّدر. pic.twitter.com/AFmpUUDbrn
Sun Aug 09 22:08:50 PDT 2015 --  #قالوا_قديما : إذا لم تستطع أن تعمل ما تحب، فأحب ما تعمل، فإن #السعادة تتحقق حين يسعد #الإنسان بما لديه حين يعجز عن الحصول على ما يتمنى.
Sun Aug 09 13:16:50 PDT 2015 --  قال الرسول صلى الله عليه وسلم : من أُعْطِيَ حظَّهُ من #الرفق فقد أُعْطي حَظَّهُ من #الخير ومن حُرِمَ حظه من الرِّفْق فقد حُرِم حظه من الخير.
Thu Aug 06 11:37:02 PDT 2015 --  #اللهم صلِّ وسلم وبارك وأنعم وأكرم على نبينا محمد وعلى آله وصحبه ومن إتبعهم بإحسان إلى يوم الدين عدد خلقك ورضا نفسك وزنة عرشك ومداد كلماتك.
Wed Aug 05 19:38:43 PDT 2015 --  بالرضا ؛ تحلو #الحياة . وبالابتسامة ؛ تهون #المشكلات. وبالاستغفار ؛ تنقضي #الحاجات . وبالدُعاء ؛ تتحققْ #الـمستحيلات .
Tue Aug 04 15:54:44 PDT 2015 --  #كنوز_ثمينة : قال رسول الله ﷺ : كلمتان خفيفتان على اللسان ، ثقيلتان في الميزان ، حبيبتان إلى الرحمن : سبحان الله وبحمده ، سبحان الله العظيم.
Sun Aug 02 15:22:18 PDT 2015 --  pic.twitter.com/0ovow7Jdxe
Sun Aug 02 08:00:21 PDT 2015 --  نستغفرك ربنا عدد ما أكرمتنا ، عدد تياسيرك , وعدد رحمتك التي وسعت كل شيء ، استغفر الله الذي لا إله إلا هو الحي القيوم وأتوب إليه.
Sat Aug 01 12:16:44 PDT 2015 --  pic.twitter.com/wXvjm8r9UQ
