Fri Aug 28 08:19:33 PDT 2015 --  Veel plezier vanavond ik kom morgenmiddag ik heb er erg veel zin in
Tue Aug 25 03:17:04 PDT 2015 --  Kan het nog gekker blijkbaar wel
Sun Aug 23 01:06:05 PDT 2015 --  http://nl.nametests.com/test/result/claar/1580037748/index_new/ …
Sun Aug 23 01:04:47 PDT 2015 --  Omdat de buurman knettergek is hij is bij mij binnen gedrongen en gaf arnold een harde stp op zijn gezicht vlakbij zijn oog
Sun Aug 23 01:02:51 PDT 2015 --  Lekker buiten zitten nu kan het nog
Sun Aug 16 02:39:16 PDT 2015 --  Eye of the Tiger per @Survivor ~ Ik ben #SongPop aan het spelen! http://www.songpop.net/play?ytSongId=711265 … Het is een hele goede song
Sun Aug 16 02:38:34 PDT 2015 --  Eye of the Tiger per @Survivor ~ Ik ben #SongPop aan het spelen! http://www.songpop.net/play?ytSongId=711265107hjhety …
Sat Aug 15 09:16:24 PDT 2015 --  Moves Like Jagger per @Maroon5 ~ Ik ben #SongPop aan het spelen! http://www.songpop.net/play?ytSongId=62208 …
Fri Apr 10 03:50:08 PDT 2015 --  Ik zit lekker in het zonnetje met mijn honden heerlijk dit weer
