Wed Aug 12 22:28:42 PDT 2015 --  In case you didn't know, @maddieziegler is basically a beauty savant. http://www.instyle.com/news/beauty-lessons-tips-maddie-ziegler-tutorial …
Thu Aug 13 11:01:50 PDT 2015 --  So I learnt today that apparently my tweets can bring back chicken fries... Whatever will I ask for next? ;)
Sat Aug 08 09:24:36 PDT 2015 --  LETS DO THIS FOR THE BOYS RT TO SPREAD #DragMeDownMusicVideo #MTVHottest One Direction pic.twitter.com/nG5Y7o0i0K
Thu Aug 13 00:20:19 PDT 2015 --  Good luck to anyone getting A level results !!
Wed Aug 12 12:01:02 PDT 2015 --  NEW VIDEO: "Getting Tattoos With My Mom" ft. @MamaJacquelyn: http://bit.ly/1Momip5  (RT this for a DM full of love! thanks y'all!)
Tue Aug 11 03:20:35 PDT 2015 --  Lion is courtesy of @kp_est78, who puts up with me complaining about the pain
Mon Aug 10 11:28:06 PDT 2015 --  Thanks @MTV 🏼️ http://www.mtv.co.uk/mtv-style-0/news/danielle-peazer-shares-her-diet-exercise-regime-and-how-to-handle-youtube-trolls … @iconnetworkuk
Mon Aug 10 12:44:51 PDT 2015 --  Next stop AUSTRALIA
Mon Aug 10 04:06:23 PDT 2015 --  Last nights details...... @alicemccall @theyachtweek #theyachtweek #yachtweek2015 #idlelaneloves… https://instagram.com/p/6M1g15oEIm/ 
Fri Aug 07 04:01:26 PDT 2015 --  Dre day
Fri Aug 07 03:27:22 PDT 2015 --  . @Expressen TV: @IconaPop på turné med @OneDirection http://www.expressen.se/tv/noje/icona-pop-pa-turne/ … pic.twitter.com/TupB53Ocgb
Wed Aug 05 18:39:34 PDT 2015 --  #OneDirection gave us more feels than we knew to be possible tonight. #OTRAMETLIFE #Directioners pic.twitter.com/zT5LZHMURS
Thu Aug 06 12:46:03 PDT 2015 --  I'm giving away a trip to London to meet us + VIP tix to our show for @believeinmagicx charity! http://Prizeo.com/1DFamily 
Wed Aug 05 14:35:35 PDT 2015 --  Hey @RalphLauren and #RLKids supporting #literacy tonight at a children's fashion show in NYC. I'm sorry to miss it !!
Tue Aug 04 04:04:24 PDT 2015 --  Great to see all the fans in Central Park for @GMA !
Tue Aug 04 02:29:58 PDT 2015 --  I've been awake for 4 hours due to jetlag and already done everything I had planned for the day. What now
Tue Aug 04 02:11:52 PDT 2015 --  Hope that anyone who is already at Central Park is ok ? coz that was one hell of a storm ! @GMA
Tue Aug 04 02:07:34 PDT 2015 --  Spoke way to soon! was expecting warm weather this morning . Woke up to the loudest clap of thunder ever
Tue Aug 04 01:20:38 PDT 2015 --  Not long gma :D exciteddd
Mon Aug 03 04:29:25 PDT 2015 --  When the light is so good that you have to take a selfie in the street the lashes I'm wearing are… https://instagram.com/p/562lT-IENb/ 
Sun Aug 02 11:52:58 PDT 2015 --  New video on my YouTube channel in 10 minutes #ADayWithDanielle
Sun Aug 02 12:06:05 PDT 2015 --  A new video on my @YouTube channel - https://www.youtube.com/watch?v=nnh8kijdL7o … #ADayWithDanielle please like and comment :) xxx
Sun Aug 02 05:10:17 PDT 2015 --  Peace Out Australia 🏼️ you've been everything I wanted and more #idlelanelovesAustralia… https://instagram.com/p/54WdzwIEI8/ 
Sun Aug 02 01:31:58 PDT 2015 --  pic.twitter.com/TNTvlPbrgo
Sat Aug 01 22:33:18 PDT 2015 --  Holy fuck ! @ufc @RondaRousey , this woman is the complete athlete / person! Pleasure to watch ! For all of 34 seconds hahaha
Sat Aug 01 21:56:07 PDT 2015 --  pic.twitter.com/dAqJrRDHgE
Sat Aug 01 17:14:49 PDT 2015 --  pic.twitter.com/YNCTUMAnZ3
Sat Aug 01 06:28:19 PDT 2015 --  Hey Icons did you get our letter??? For news, gifts and love head over to http://Iconapop.com  to subscribe pic.twitter.com/uDyy3004aS
Sat Aug 01 01:08:58 PDT 2015 --  Can't believe I got poweraded again thanks tommo I smell like a fruit pastel
Thu Jul 30 13:53:49 PDT 2015 --  Welcome to the #RCAFamily @ZaynMalik! pic.twitter.com/VbA9OOq9Rg
Wed Jul 29 13:26:10 PDT 2015 --  You are stupid. Real music meaning real to him. Real because he has written and recorded it solely to what he likes.Real to himself like lol
Wed Jul 29 13:20:41 PDT 2015 --  is this zayn's moment he's taking off his hannah montana wig and now he's miley cyrus
Wed Jul 29 13:41:25 PDT 2015 --  that's so funny !!
Wed Jul 29 13:42:10 PDT 2015 --  Thank you for all the donations so far x http://Prizeo.com/1DFamily  #hangwithonedirection
Wed Jul 29 06:52:39 PDT 2015 --  ...I really wish I could text my dog
Wed Jul 29 06:52:05 PDT 2015 --  2 happy sweaty spaghettis Wow Kansas City we love you guys! #ontheroadagaintour2015 pic.twitter.com/xyh8en7zAn
Tue Jul 14 17:10:09 PDT 2015 --  20 minutes into "Netflix & chill" http://vine.co/v/enllJ1YizKT 
Mon Jul 20 11:14:39 PDT 2015 --  Don't pretend to be someone's friend and use them instead https://twitter.com/naughtyboymusic/status/621785997857193984 …
Tue Jul 28 05:09:21 PDT 2015 --  You should read "You wouldn't mess with a Child's Mind?" on #Wattpad http://w.tt/1h2mwVW  pic.twitter.com/6CH27kuOso
Sun Jul 26 14:13:55 PDT 2015 --  @NiallOfficial thank you! It was a pleasure meeting you last night.
Sun Jul 26 14:10:41 PDT 2015 --  Rocking our @monicavinader alphabet pendants / willmorgn @maxhurd #THETRENDPEAR https://instagram.com/p/5nKAKzIPQ2/ 
