Fri Aug 21 15:05:14 PDT 2015 --  Tetap semangat.... Selalu ada kata " SABAR"
Fri Aug 21 15:04:26 PDT 2015 --  Memaleskan,kalau jadwal tidak sesuai rencana... Zzzz
Fri Aug 21 15:03:54 PDT 2015 --  Lazzy.....rn
Fri Aug 21 14:47:48 PDT 2015 --  Windmill in beautiful morning light @ Kinderdijk by LeonMak #photo pic.twitter.com/oDOI8zFQNt
Fri Aug 21 14:50:33 PDT 2015 --  Sebelum Relokasi Kp Pulo, Ahok Gelar Rapat Bahas Pentingnya Ciliwung http://detik.id/6A6drB  pic.twitter.com/OpU5zo5oWZ
Fri Aug 21 15:03:18 PDT 2015 --  https://twitter.com/nxrcan/status/634848100117553152 …
Fri Aug 21 14:47:24 PDT 2015 --  . @TheEllenShow @onedirection, how about a robot dance-off? Check out our moves: https://youtu.be/vwFrCpYavt4  #DragMeDownMusicVideoIsOut
Fri Aug 21 14:47:21 PDT 2015 --  The two hardest things to say in life are, "hello" for the first time, and "goodbye" for the last time.
Fri Aug 21 14:45:00 PDT 2015 --  Me as a parent pic.twitter.com/rDWnQLzcpU
Fri Aug 21 14:44:45 PDT 2015 --  You can't change the the situation, only how you deal with it.
Fri Aug 21 14:18:06 PDT 2015 --  Thisss pic.twitter.com/ePgHtcdt9q
Fri Aug 21 14:33:46 PDT 2015 --  pic.twitter.com/ha0QafpJ8p
Fri Aug 21 14:14:54 PDT 2015 --  I hope she's okay #PrayForKorea
Fri Aug 21 13:09:35 PDT 2015 --  Children are crying Soldiers are dying Some people don't have a home #PrayForKorea
Fri Aug 21 14:09:46 PDT 2015 --  #prayforkorea No human being should be considered less valuable than the other.
Fri Aug 21 14:10:04 PDT 2015 --  To #PrayForKorea is to #PrayforHumanity. A Korean war now will involve major world powers changing the present peace equation
Fri Aug 21 13:14:02 PDT 2015 --  PRAY FOR KOREA #PrayForKorea pic.twitter.com/dv6SPRk6Sh
Fri Aug 21 11:38:05 PDT 2015 --  Stop the war #PrayForKorea 🏻️🏻 pic.twitter.com/KMupSOFcLr
Fri Aug 21 14:08:44 PDT 2015 --  #PrayForKorea
Fri Aug 21 13:22:40 PDT 2015 --  *** Waterfall*** by georghaaser #photo pic.twitter.com/jNDkvinCFP
Fri Aug 21 13:30:05 PDT 2015 --  "CL is definitely one of my favorite clients to work with." http://rebekaw.com/  pic.twitter.com/ASjkaK5AWm
Fri Aug 21 13:35:34 PDT 2015 --  One bad relationship could make you never want to fall in love again.
Fri Aug 21 13:48:01 PDT 2015 --  What did @OneDirection see in their new video? Take a Tumblr tour: http://go.nasa.gov/1fwya9X  #DragMeDownMusicVideoIsOut pic.twitter.com/2LDg54GmwD
Fri Aug 21 13:58:01 PDT 2015 --  his mustache sexy.. https://twitter.com/nxrcan/status/634826753089904640 …
