Fri Aug 21 10:12:02 PDT 2015 --  Time Indians know their country & heritage. Follow my tweets and educate others.Spread nationalism & postivity pic.twitter.com/p3XIOPHQoo
Thu Aug 20 18:19:09 PDT 2015 --  Health and Happiness the Indian way. Great simple ideas pic.twitter.com/V0FXR9OjVW
Thu Aug 20 02:50:58 PDT 2015 --  Beautiful carvings on the Sharneshwar Mahadev Temple at Abhapur. Vijaynagar Gujarat pic.twitter.com/5pJwIKtFjL
Thu Aug 20 02:48:48 PDT 2015 --  Live and Let Live. Learn to Co-Exist pic.twitter.com/E4iivEoU3E
Wed Aug 19 02:55:32 PDT 2015 --  GSLV-D6 / GSAT-6 Launch on Aug 27, 2015 at 16:52 Hrs IST pic.twitter.com/mfNBaxRRRT
Tue Aug 18 21:55:18 PDT 2015 --  #Delhi #Urgent Need O-ve #blood @ west Delhi. Very critical situation. Call 9810747049 #Bloodaid via @poetbelly cc @tajinderbagga @upma23
Tue Aug 18 05:10:30 PDT 2015 --  Know more about India. Follow my tweets. Be proud. Spread postivity pic.twitter.com/0tpt5gRLTc
Tue Aug 18 02:41:04 PDT 2015 --  Why is @ndtv showing India map with a divided #Kashmir? I mean is this/should this be allowed? HM @BJPRajnathSingh https://twitter.com/ndtv/status/633571290469666816 …
Sun Aug 16 16:21:15 PDT 2015 --  #WorldSkills São Paulo 2015 - Best of Nations! pic.twitter.com/wKfG6Adl0o
Mon Aug 17 00:19:43 PDT 2015 --  A salute to #TEAMINDIA for giving the best & making the country proud at @WorldSkills competition in Brazil. pic.twitter.com/X002CtITUr
Mon Aug 17 00:44:53 PDT 2015 --  Thank you everyone for showing your support & contributing in #RaiseTheTricolour #INDIAboleYES Winners will be declared shortly. Stay Tuned!
Sun Aug 16 08:51:43 PDT 2015 --  Brave army soldier Vedmitr Chowdhary who was killed saving a girl from being molested told his daughter to be an IAS officer to improve soc
Sun Aug 16 07:06:58 PDT 2015 --  @smritiirani thanks for appreciating hard work of teachers 4m remote villages.my sister delighted after dis gesture pic.twitter.com/agzXDt1haY
Sun Aug 16 09:24:29 PDT 2015 --  First, @digvijaya_28 should tweet abt his marriage with that news reader. Was it real or just a "Dirty Picture"? https://twitter.com/ibnlive/status/632947376655699968 …
Sun Aug 16 10:33:32 PDT 2015 --  Shri Pashupati Nath ji pic.twitter.com/Ol9LTsotA9
Sun Aug 16 00:12:50 PDT 2015 --  #HYDERABAD Need 3 B+ve #blood @ Rainbow Hosp, BanjaraHills. Call 7396923539 #BloodAid via @Aakanksha_NGO cc @warasigudasai @WeAreHyderabad
Sun Aug 16 00:25:57 PDT 2015 --  Some goals are so worthy, it's glorious even to fail Captain Manoj Kumar Pandey Param Vir Chakra pic.twitter.com/EbymmEnNYb
Sat Aug 15 10:03:45 PDT 2015 --  Man who designed the national flag died in penury > http://bit.ly/1fd8O0U  pic.twitter.com/zHrUEWmneL
Sat Aug 15 10:12:40 PDT 2015 --  Time Indians know their country & heritage. Follow my tweets and educate others. pic.twitter.com/1KDxz6L6mX
Sat Aug 15 09:35:09 PDT 2015 --  आज का सबसे सुन्दर तिरंगा वंदन pic.twitter.com/xvX4S4wq8X
Fri Aug 14 22:31:00 PDT 2015 --  #JaiHind pic.twitter.com/N7kIP0Xpwn
Fri Aug 14 22:38:23 PDT 2015 --  @GautamGambhir Happy Independence Day... A great salute to our real heroes. #IndianArmy #JaiHind pic.twitter.com/WJ5tzrvtJQ
Fri Aug 14 14:22:05 PDT 2015 --  Happy Independence Day pic.twitter.com/eFZWPtjyjh
Fri Aug 14 09:51:48 PDT 2015 --  Soldiers, like flags and anthems, are emblematic of a nation’s pride and honor. Hope nation understands the meaning pic.twitter.com/M8PHDvC6e0
Thu Aug 13 10:52:40 PDT 2015 --  Retweet to #RaiseTheTricolour & take a resolution with @yesbank to keep it flying high. Jai Hind! #INDIAboleYES pic.twitter.com/hq06JtEllI
Thu Aug 13 10:16:18 PDT 2015 --  Time Indians know their country & heritage. Follow my tweets and educate others. Be proud & positive pic.twitter.com/dGmjOKfHzc
Thu Aug 13 10:17:29 PDT 2015 --  Time Indians know their country & heritage. Follow my tweets and educate others. Be proud & positive pic.twitter.com/UhyEGdaUNz
Wed Aug 12 23:07:43 PDT 2015 --  Shikhar - the only left-hander in this team - scores a century on International Left-handers' Day. Way to celebrate! pic.twitter.com/xVQwgg3WJz
Wed Aug 12 10:41:24 PDT 2015 --  'Aghast' LS Speaker says frequent disruptions 'damaging' for democracy. Disruptions deserve national level criticism http://timesofindia.indiatimes.com/india/Aghast-LS-Speaker-says-frequent-disruptions-damaging-for-democracy/articleshow/48457899.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=TOIIndiaNews …
Wed Aug 12 04:46:39 PDT 2015 --  Fake Godmen/Godwomen should be exposed. They exploit people but interestingly media can't find a single fake person in any other religion.:)
Wed Aug 12 03:04:34 PDT 2015 --  Time Indians know their country & heritage. Follow my tweets and educate others. Be proud & positive pic.twitter.com/be3Ea0A0BK
Wed Aug 12 03:23:10 PDT 2015 --  This was too good #VikasVirodhiCongress #RahulKiMausi pic.twitter.com/zkrABL6EiX
Mon Aug 10 13:27:44 PDT 2015 --  Salute 2 r Armed Forces, who selflessly risk their lives 2 protect our beloved country & our families. #SaluteSelfie pic.twitter.com/0jvUGPeMDB
Mon Aug 10 02:16:52 PDT 2015 --  India has 160 researchers in R&D per one million people compared to 710 in Brazil and 1,020 in China #PresidentMukherjee
