Thu Aug 27 20:30:17 PDT 2015 --  Als je dit retweet ben je vet vroeg wakker
Wed Aug 26 04:52:26 PDT 2015 --  Bij 500 retweets vertellen we je zondag waar we starten! Roadtrippers2015 @Gieleke @kraantjepappie @Tessmilne @StefanJurriens @Thoootje
Tue Aug 18 11:20:40 PDT 2015 --  *10525
Tue Aug 18 11:19:49 PDT 2015 --  9 september wordt de iPhone 6S gepresenteerd, ben benieuwd...
Tue Aug 18 11:19:18 PDT 2015 --  Nieuwe preview van Windows 10 beschikbaar! Build 1025!
Fri Aug 14 15:09:29 PDT 2015 --  School........
Fri Aug 14 13:24:17 PDT 2015 --  Weltrusten! @Thoootje
Thu Jul 16 08:36:31 PDT 2015 --  
Tue Jun 30 07:54:16 PDT 2015 --  Vandaag om 17.00 uur de release van iOS 8.4, om 19.00 uur de release van  MUSIC #update #AppleMusic pic.twitter.com/fwPYrnWrhb
Wed Jun 24 02:29:55 PDT 2015 --  Zin@in het StukTV Event!! @Gieleke @Thoootje @StefanJurriens zie jullie daar!!
