Sun Jul 12 08:40:01 PDT 2015 --  #SoyTeamBatman @TheTopComics
Fri May 08 17:23:36 PDT 2015 --  Vibrando y disfrutando con vosotros. Guadalajara #México. Gracias pic.twitter.com/J8LQmtOQA4
Fri May 08 17:21:09 PDT 2015 --  Gracias Guadalajara #Mexico Otra noche fantástica. #ÁcidoTourMx pic.twitter.com/w8BaNYttbH
Sun Apr 19 18:29:31 PDT 2015 --  @@,9211@@aoq@oq, pic.twitter.com/kF59YyGT0B
Fri Apr 03 00:22:24 PDT 2015 --  #TeLoDigoConUnaFraseDeRock "Puedes ser mañana, cada atardecer, puedes ser balada, desaparecer" #Neomenia #BuenosDías #FelizViernes
Thu Apr 02 20:33:26 PDT 2015 --  Te deseo buenas noches. pic.twitter.com/DUduJK7k6K
Fri Feb 20 13:34:05 PST 2015 --  —Abuelo ¿En qué creen los Testigos de Jehová? —En que algún día alguien les abrirá la puerta, hijo.
Sat Feb 21 07:19:44 PST 2015 --  @PenaltiBar @Micros_Abiertos @escribircancion @ErickRoberto6 @DiFellatio1 @ShowJorgeLuengo bienvenidos y #FelizSábado.
Sun Feb 15 02:00:23 PST 2015 --  Muchos besos para todos vosotros por ser tan valientes #diacancerinfantil #BesoPelon @juegaterapia pic.twitter.com/vQLrmGmHM4
