Thu Aug 27 06:54:48 PDT 2015 --  Patton aja nolak UPH.. katanya mahal. Iya banget, yg di sby aja bikin garuk2 aspal apalagi disana
Thu Aug 27 06:25:11 PDT 2015 --  Lumeer RT @yuly_setiawati: *mulaimembayangkan" @stywdya09: @riostevadit sedang membayangkan kamu memakai almamater..."
Thu Aug 27 06:04:33 PDT 2015 --  Bishaa jadhii huha(?) RT @Fitratun281: Rio lagi ospek ya?.............
Thu Aug 27 05:45:17 PDT 2015 --  yah keliat deh avanya ._. RT @.ifyalyssa: @Fitratun281 hahaha iyaa berapa lama sih hilangnya? :(
Thu Aug 27 04:51:10 PDT 2015 --  Yg putih @riostevadit pic.twitter.com/MPLRJRsxjz
Thu Aug 27 04:39:24 PDT 2015 --  =))))) RT @DennyTanos: @Fitratun281 @ainuuun_ waahh.. Pasti ada U di balik B tuh!! Hahahaha
Thu Aug 27 04:14:35 PDT 2015 --  Gitar nteng aned yow yow
Thu Aug 27 03:38:47 PDT 2015 --  "You are next Yo!" Asek(?)
Thu Aug 27 03:27:36 PDT 2015 --  *sedang membayangkan rio pake almamater*
Thu Aug 27 03:12:17 PDT 2015 --  Tujuan utama facebook itu buat nemuin temen lama, tp kayaknya skrg jd tempat munculnya orang2 fiksi yg seharusnya gakperlu ada
Thu Aug 27 03:05:08 PDT 2015 --  Iyasih.. RT @Anggita_Gita24: ya bener kan kak RT @stywdya09: Tolong.. RT Anggita_Gita24: ada rio tuh di rumpi ttv(??)
Thu Aug 27 02:57:08 PDT 2015 --  Yujinmusik like foto ify-via di IG via Ng.........
Thu Aug 27 03:02:01 PDT 2015 --  Tolong.. RT @Anggita_Gita24: ada rio tuh di rumpi ttv(??)
Thu Aug 27 03:01:33 PDT 2015 --  Sukanya bilang asek ngingetin sama..rionya aku
Thu Aug 27 02:46:46 PDT 2015 --  Sensitip ah sebut2 rio
Wed Aug 26 06:29:43 PDT 2015 --  musisi yg terkenal belum tentu bisa bertahan lama... dan musisi yg percaya akan proses, pasti tidak akan pernah hilang di telan zaman..
Wed Aug 26 07:58:36 PDT 2015 --  Skut, endless love, buku harian nayla1, kisah dnr-ncl, udah banjir kalo menyangkut hal2 itu mah
Wed Aug 26 07:54:08 PDT 2015 --  Dimana._. RT @LinAuliya: Kenapa sih ripy nya gak dibuat jadian kawid??? https://twitter.com/stywdya09/status/636548451849793536 …
Wed Aug 26 07:39:12 PDT 2015 --  Runaways never dies lhaa pokoknya
Wed Aug 26 06:56:00 PDT 2015 --  Njirr lokernya Mario https://twitter.com/LinAuliya/status/636507780002611200 …
Wed Aug 26 07:03:03 PDT 2015 --  Knp tepat bgt pas di nama mario, padahal loker disana gak cuma satu, njirrrrr, sengaja nih, bikin baper karlota -_- https://twitter.com/LinAuliya/status/636507780002611200 …
Wed Aug 26 07:33:54 PDT 2015 --  Liat kok kak, makanya di ritwit .-. RT @Fitratun281: Demi apapun lah ipy retwit twit ku ah akhirnya nama teteh ada di notip ku. Yg jadi per
Wed Aug 26 07:16:17 PDT 2015 --  Cuma bisa bantu doa sama mention2 doang yo :') belum bisa lebih, misalnya ngelive karena jauh but someday i promise u
Wed Aug 26 07:13:20 PDT 2015 --  RT @RiSE_OFC: Ayo ada siapa ajh nih yg msh dengan #MengenalmuYUJIN breng kamin??? ;;)
Wed Aug 26 06:49:51 PDT 2015 --  Yg bikin baper itu sebenernya suaranya, disitu lembuuuuut bgt. Liriknya sih gatau, gabegitu jelas tp yg pasti suaranya nyeess dihati
Wed Aug 26 06:43:13 PDT 2015 --  Malam mimin @TonightShow_NET undang @YujinMusik dong. Mereka duo kece dan berbakat. Mereka juga udah punya single lagu loh #MengenalmuYUJIN
Wed Aug 26 06:35:19 PDT 2015 --  Malam kamin @TonightShow_NET undang @YujinMusik masih fresh nih pendatang baru ;) dengan single pertamanya #MengenalmuYUJIN
Wed Aug 26 06:31:38 PDT 2015 --  Malam @TonightShow_NET undang @YujinMusik yuk duo remaja kece dr pencarian bkt nih dan udh ada singlenya lho #MengenalmuYUJIN
Wed Aug 26 06:26:36 PDT 2015 --  Dari percakapan dengan kak set saya terlihat apa banget ya cowok yg di sebutin lebih dari 1 (?)
Wed Aug 26 06:23:12 PDT 2015 --  W belum ngerjain statistika dong.. padahal buat tabel doang
Wed Aug 26 06:18:04 PDT 2015 --  Wokwokwok kesayangan mas ditoo deeh RT @ilmaimeel: @stywdya09 hush lah ada temen owe ((kalo online)) wokokok
Wed Aug 26 06:02:35 PDT 2015 --  W yg liat dari kmr langsung lari keluar wkwk RT @LinAuliya: @stywdya09 walaupun disitu terpampang nyata(?) Si gitar tpi teteepp fokus ke lok
Wed Aug 26 06:01:58 PDT 2015 --  Duh kesayngn mas d...aniel RT @ilmaimeel: Terong mana yg cantik kayak gini? " @stywdya09: Kek terong RT ilmaimeel: Btw ava owe keliatan ungu-
Wed Aug 26 05:57:43 PDT 2015 --  Gemeresek aja enak, bikin baper, ga abis fikir
Wed Aug 26 05:57:03 PDT 2015 --  Lagi galau aja nyiptain lagu, gagal move on nyiptain lagu, jatuh cinta nyiptain lagu..yoo
Wed Aug 26 05:49:55 PDT 2015 --  Kek terong RT @ilmaimeel: Btw ava owe keliatan ungu-ungu pink menggemaskan gitu ya
