Mon Aug 17 03:42:34 PDT 2015 --  Kapag pagod kana, bitawan mo na. Wag kang magtyaga sa taong ayaw naman sayo.
Mon Aug 17 03:42:13 PDT 2015 --  Kapag sobrang sakit na, di masamang umiyak. Dahil sa pag iyak mo na nga lang naiilabas lahat ng nararamdaman mo. Kaya wag ka matakot umiyak
Mon Aug 17 03:41:09 PDT 2015 --  Ngitian lang natin ang problema.
Mon Aug 17 03:40:55 PDT 2015 --  Yung feeling na nakakapagod ang araw na ito.
Mon Aug 17 03:40:32 PDT 2015 --  Yung feeling na nagkatitigan kayo ni crush
Mon Aug 17 03:39:41 PDT 2015 --  Good Evening People!
Sun Aug 16 05:52:28 PDT 2015 --  Yung kapag kasama mo mga kabarkada mo, nakakalimutan mo problema mo.
Sun Aug 16 05:51:44 PDT 2015 --  Focus ka lang sa kung anong meron ka ngayon at makaka move on ka :)
Sun Aug 16 05:51:08 PDT 2015 --  Lahat ng nang-iwan, nagsisisi. At lahat ng naiwan, nagbabago.
Sun Aug 16 05:49:52 PDT 2015 --  Lahat ng problema, may solusyon. Ngitian mo lang.
Sun Aug 16 05:49:18 PDT 2015 --  Nandiyan lang si GOD, hindi ka niya pababayaan. :)
Sun Aug 16 05:48:52 PDT 2015 --  Madami mang problema ang dumating sayo, isipin mo lang lahat ang masasayang nangyari sa buhay mo at gagaan ang pakiramdam mo.
Sun Aug 16 05:48:00 PDT 2015 --  Sa buhay kailangan mo talagang maging matatag.
Sun Aug 16 03:29:54 PDT 2015 --  Nag aantay ka lang sa wala.
Sun Aug 16 00:35:16 PDT 2015 --  Kung nasasaktan kana, bumitiw kana. Madami pa diyang taong kaya kang mahalin sa paraang gusto mo.
Sun Aug 16 00:28:58 PDT 2015 --  Para sa mga babae, hindi dapat lalaki lagi nage-effort. Minsan, kailangan niyo din mag-effort para ramdam nilang mahal niyo sila.
Sun Aug 16 00:27:34 PDT 2015 --  Hindi natin maii-please lahat ng bagay.
Sun Aug 16 00:26:28 PDT 2015 --  Ang relasyon sa una lang masaya.
Sun Aug 16 00:25:20 PDT 2015 --  May mga tao talagang kaya tayong pasayahin pero di tayo kayang mahalin.
Sun Aug 16 00:19:51 PDT 2015 --  Dahil sa huli pag nagsawa na siyang intindihin ka masakit makita na pinapahalagahan na siya ng iba sa paraang hindi mo kaya.
Sun Aug 16 00:19:14 PDT 2015 --  Pahalagahan mo kung anong meron ka.
Sun Aug 16 00:17:23 PDT 2015 --  Wag mong hintayin na dumating yung oras na iwan ka na niya dahil nagsawa na siya
Sun Aug 16 00:16:36 PDT 2015 --  Isipin mong hindi lang ikaw ang nagmamahal sa kanya. May mga tao diyan na naka antabay at hinihintay na bitawan mo siya.
Sun Aug 16 00:15:43 PDT 2015 --  Madalas mong balewalain yung nararamdaman niya kasi iniisip mo isang sorry mo lang tanga nanaman siya.
Sun Aug 16 00:14:47 PDT 2015 --  Hindi lang ikaw ang tao sa mundo pero minamahal niya lahat ng ups and downs mo.
Sun Aug 16 00:13:17 PDT 2015 --  Ni minsan ba naisip mo na madami ding hihigit sayo pero eto siya't patuloy na nagpapakatanga sayo?
Sun Aug 16 00:10:42 PDT 2015 --  Naisip mo na bang bawat ngiti niya may taong nag aasam na sana pag aari niya siya pero ikaw maswerte ka na't hawak mo na binabalewala mo pa.
Sun Aug 16 00:09:08 PDT 2015 --  Minsan ba naisip mo kung gaano mo siya nasasaktan kapag nag aaway kayo?
Sun Aug 16 00:07:54 PDT 2015 --  Minsan ba naitanong mo na sa sarili mo kung gaano mo kadeserve yang taong nagmamahal sayo?
Sun Aug 16 00:06:21 PDT 2015 --  Pahalagahan mo yung taong nagmamahal sayo habang nandiyan pa.
Sun Aug 16 00:04:40 PDT 2015 --  Kapag alam mong wala nang pag-asa, wag ka nang magpakatanga.
Sun Aug 16 00:04:08 PDT 2015 --  Ansakit lang makita na masaya siya habang kasama yung bago niya habang ikaw nagpapakatanga pa rin sa kanya.
Sun Aug 16 00:02:19 PDT 2015 --  Yung feeling na pinatigil mo siyang manligaw kasi walang effort. Pero ikaw padin nagsisi sa huli.
Sun Aug 16 00:01:39 PDT 2015 --  Nasa huli talaga ang pagsisisi.
Sun Aug 16 00:01:24 PDT 2015 --  Akala mo talaga siya na, pero pinaasa ka lang niya.
Sat Aug 15 23:59:44 PDT 2015 --  Ginawa mo naman ang lahat, pero di parin sapat.
Sat Aug 15 23:59:06 PDT 2015 --  Kaya ka iniiwan kasi di mo siya pinahahalagahan.
Sat Aug 15 23:56:32 PDT 2015 --  Sa pagkain lang may forever.
Sat Aug 15 23:47:32 PDT 2015 --  Hindi mo maiiwasang masaktan, nagmamahal ka nang tunay e.
Sat Aug 15 23:47:03 PDT 2015 --  Wag mong bigyan ng kahulugan lahat ng ginagawa niya.
Sat Aug 15 23:46:18 PDT 2015 --  Hindi ka mahal. Mahalaga ka lang sa kanya.
Sat Aug 15 23:45:45 PDT 2015 --  Sa barkada, hindi natin maiiwasang hindi tayo pagtripan.
Sat Aug 15 23:44:31 PDT 2015 --  Wag mo nang antayan, wala kang inaantayan. Pinapaasa ka lang niya.
Sat Aug 15 21:30:49 PDT 2015 --  Tanggapin natin na may mga bagay o tao na hindi para sa atin.
Sat Aug 15 16:44:33 PDT 2015 --  Lahat ng problemang dumadating sa atin may dahilan kung bakit ito ibinigay sayo.
Sat Aug 15 16:16:59 PDT 2015 --  Everyday is a blessing.
Sat Aug 15 16:12:05 PDT 2015 --  Sa nakakabasa ng tweets ko, mamaya ko i-unprivate ang account ko. Thank you :)
Sat Aug 15 16:10:51 PDT 2015 --  Thank You Lord for giving me another day to live.
Sat Aug 15 16:09:38 PDT 2015 --  Good Morning World!
Sat Aug 15 06:03:25 PDT 2015 --  Let us give thanks to the Lord for this awesome day! :)
Sat Aug 15 06:02:53 PDT 2015 --  Sa mga nakakabasa ng tweets ko, sorry naka private pala. Bukas ko aayusin. Good Night!
Sat Aug 15 06:01:17 PDT 2015 --  Bago ka mag salita nang kung anu ano, isipin mo muna kung may masasaktan kang tao.
Sat Aug 15 05:52:25 PDT 2015 --  Konti lang sinabi mo pero andami niya agad naireply.
Fri Aug 14 23:52:33 PDT 2015 --  May mga taong nilalahat nalang kunin yung mahal ng kaibigan nila.
Fri Aug 14 23:52:12 PDT 2015 --  Kayo, wag kayong lalandi ng hindi naman sa inyo.
Fri Aug 14 23:51:55 PDT 2015 --  Mahal mo siya. May mahal siyang iba. Tanga! Maghanap ka nang iba.
Fri Aug 14 23:51:11 PDT 2015 --  Hi gago! Akin yata yang nilalandi mo.
Fri Aug 14 23:50:07 PDT 2015 --  Ang hirap maging pangalawa sa taong lagi mong inuuna.
Fri Aug 14 23:49:08 PDT 2015 --  Umayaw ako hindi dahil ayoko na. Pero dahil para sumaya kana.
Fri Aug 14 23:48:02 PDT 2015 --  Sa isang relasyon, dapat kinakaya mo lahat ng pagsubok.
Fri Aug 14 23:47:15 PDT 2015 --  Masakit yung taong minamahal mo ang gusto ay yung bestfriend mo.
Fri Aug 14 23:46:59 PDT 2015 --  Ang hirap nung sitwasyon na mahal mo yung isang tao at yung kaibigan niya mahal ka.
Fri Aug 14 23:45:47 PDT 2015 --  Ang hirap sukuan nung taong alam mong hindi kayo pero napapasaya ka niya.
Fri Aug 14 23:42:46 PDT 2015 --  Piliin mo yung taong alam mong pinahahalagahan ka.
Fri Aug 14 23:37:32 PDT 2015 --  Pag alam mong nasa tama ka wag kang papaapekto.
Fri Aug 14 23:37:27 PDT 2015 --  Sino ang pipiliin mo? Yung mahal mo na may mahal na iba o yung nagmamahal sayo na hindi parin sumusuko.
Fri Aug 14 23:33:00 PDT 2015 --  Lahat tayo ay anak ng Diyos. Lahat tayo magkakapatid. :)
Fri Aug 14 23:32:43 PDT 2015 --  Walang taong pangit sa mundo, tandaan mo yan.
Fri Aug 14 23:27:56 PDT 2015 --  Sa mata ng diyos, walang mahirap at mayaman. Hindi niya tinitingnan ang lamang ng wallet, ang tinitingnan niya laman ng PUSO.
Fri Aug 14 23:25:29 PDT 2015 --  Huwag magpadala sa emosyon, baka lumagpas ka sa limitasyon.
Fri Aug 14 23:21:52 PDT 2015 --  Pag ikaw pinagkatiwalaan ka ng babae, alagaan mo yung tiwala niya. Kase nasasaktan na siya pero gusto niya irisk ulit para sayo.
Fri Aug 14 23:18:21 PDT 2015 --  Pag nagmamahal ka, hindi mo maiiwasang hindi masaktan.
Fri Aug 14 23:16:21 PDT 2015 --  Good Afternoon :)
