Tue Aug 18 17:39:50 PDT 2015 --  dozens of people followed me and dozens of people unfollowed me // automatically checked by http://fllwrs.com 
Sat Aug 15 07:04:05 PDT 2015 --  "The #Dua of your #Parents is that invisible hand that saves the day!" :) pic.twitter.com/MknWuYeuvM
Mon Aug 17 03:22:52 PDT 2015 --  دُنیا میں آپ کسی بھی شخص کو کُرید لیں ھر شخص ہی مُحبت کا مُتلاشی ھے ھر کسی کو مُحبت چاھئیے. یہ سمجھ نہیں آتا کہ پھر نفرتیں کون بانٹ رہاہے؟؟
Sun Aug 16 20:09:14 PDT 2015 --  Islamic rules regarding war. ISIS have violated most of these. pic.twitter.com/b3SViZ0wIL
Mon Aug 17 10:48:18 PDT 2015 --  نہ مرد ﻣﯿﮟ ﺭﮨﯽ ﺷﺮﻡ، ﻧﮧ ﻋﻮﺭﺕ ﻣﯿﮟ رہی حیا ﺧﻮﺍﮨﺶ ﻧﻔﺲ ﻧﮯ ﺍﻧﺴﺎﻥ ﮐﻮ، ﺣﯿﻮﺍﻥ ﺑﻨﺎ دیا
Mon Aug 17 13:07:27 PDT 2015 --  pic.twitter.com/uw8e34f5ID
Sun Aug 16 10:23:24 PDT 2015 --  pic.twitter.com/iCHyfVc6br
Sat Aug 15 19:14:38 PDT 2015 --  ایک جگہ پڑھا تھا کہ اکثر اوقات سچ کڑوا نہیں ہوتا لیکن سچ بولنے کا انداز کڑوا ہوتا ہے...!!
Sat Aug 15 19:16:24 PDT 2015 --  @SumoRizvi بانو قدسیہ نے ایک جگہ لکھا تھا کہ اکثر ہمارا مقصد سچ بولنے سے زیادہ دوسرے کی تذلیل کرنا ہوتا ہے
Sun Aug 16 04:53:53 PDT 2015 --  #ShujaKhanzada was attacked in retaliation for the killing of Lashkar-e-Jhangvi (LeJ) chief Malik Ishaq said #Punjab IG MushtAq Sukhera
Sun Aug 16 06:17:01 PDT 2015 --  #ShujaKhanzada , the spearhead of #Punjab’s anti-terror movement http://tribune.com.pk/story/939113/shuja-khanzada-the-spearhead-of-punjabs-anti-terror-movement/ … pic.twitter.com/hzdwOQBEHC His fault was his bravery:(
Sun Aug 16 04:14:45 PDT 2015 --  Shuja Khanzada's Shahadat should not be in vain; it must be found how the hit was planned and executed and who were its masterminds?
Sat Aug 15 06:13:21 PDT 2015 --  Haters will broadcast your failures, but whisper your success.
Thu Aug 13 09:37:10 PDT 2015 --  "sunsets are proof that endings can be beautiful too" pic.twitter.com/Tqy0BllMZX
Sun Aug 16 04:26:40 PDT 2015 --  Last year on August... u were unknown...but on this August all r unknown except you
Sat Aug 15 21:16:54 PDT 2015 --  If you're having a bad day, just watch this Pikachu squad dance for you. pic.twitter.com/rGpEI6qp9x
Thu Aug 13 02:02:40 PDT 2015 --  pic.twitter.com/xMbz4ORFSL
Sat Aug 15 09:49:25 PDT 2015 --  @cactus_um ﻋﺸﻖ ﺍُﻭﻧﭻ ﺗﮯ ﻧﯿﭻ ﻭﯾﮑﮭﺪﺍ ﻧﺌﯿﮟ ﺫﺍﺗﺎﮞ ﭘﺎﺗﺎﮞ ﺩﮮ ﻓﺮﻕ ﻣﭩﺎ دیندا !!
Sat Aug 15 10:18:09 PDT 2015 --  Nature gives to every time and season some beauties of its own; and from morning to night. - Kashmir. pic.twitter.com/ZVp5mzdV1r
Sat Aug 15 10:18:33 PDT 2015 --  ہم کسی اور کے دروازے پے جائیں کیونکر آسرا ہم کو اگر ہے خــــــــــــدایا تیرا
Sun Aug 16 00:43:48 PDT 2015 --  As usual, there is a great woman behind every idiot!
Sat Aug 15 01:11:45 PDT 2015 --  بھارتی ٹیم کا جشن آزادی پرقوم کو تحفہ۔۔سری لنکا نے بھارت کو شکست دے دی۔۔۔۔۔۔ pic.twitter.com/Jq8QqMymWW
