Thu Aug 20 08:59:25 PDT 2015 --  Twitterの力 pic.twitter.com/uxuepum9Sl
Thu Aug 20 08:41:31 PDT 2015 --  すぎうらせんぱいLINE荒らしてすいません
Thu Aug 20 07:40:52 PDT 2015 --  ええことないかなー 楽しいことないかなー はあああ ためいき
Sun Aug 02 07:30:11 PDT 2015 --  バケモノの子を見た人にしか伝わらないアングル pic.twitter.com/yqndocUzi5
Thu Aug 20 06:02:47 PDT 2015 --  @kashita_lv わかったから すっとファボリツしとき
Thu Aug 20 06:01:14 PDT 2015 --  @kashita_lv 呼び方:杉浦orカス 呼ばれ方:大村様 第一印象:忘れた 今の印象:忘れた 好きな所:弟がわやかわいい。弟が 最後に一言:やあ #ファボした人にやります
Thu Aug 20 05:17:50 PDT 2015 --  おい杉浦 詩音のフォロワーの数みてみーや pic.twitter.com/75OcrzEAhg
Thu Aug 20 02:52:28 PDT 2015 --  さっきこれのっけたらＧコースのどっかの誰かさんに「 なんでお前理大に旅行しとん。」っていわれた 理大じゃないし。爆笑じゃろ。爆笑 pic.twitter.com/JzquyukilE
Thu Aug 20 02:40:04 PDT 2015 --  いつか九州いってみたい そんで温泉に入りまくりたい おんせんんんんん
Wed Aug 19 07:31:43 PDT 2015 --  【話題の画像】改めて見てもやっぱすごいとしか言いようがなかった pic.twitter.com/MwqyyH8cL0
Wed Aug 19 19:47:32 PDT 2015 --  毎年 課題で国語だけははよ終わるんよなあ
Wed Aug 19 19:40:28 PDT 2015 --  俺だって誕生日登録して 風船でてきてほしい アプデしたら登録できるよとか 大嘘やんか
Wed Aug 19 18:29:02 PDT 2015 --  大村にフォロワー勝っとる もう俺のことばかにできんな
Wed Aug 19 17:37:09 PDT 2015 --  課題して 昼飯くって 課題して 晩飯くって 家事して 課題して 寝る 今日の予定もう出来た
Wed Aug 19 07:08:51 PDT 2015 --  イケナイ太陽聴きながら テンションあげて 課題なう なーなーなーなななーななーってかんじ
Tue Aug 18 23:41:39 PDT 2015 --  え、なにこれ。。 いつも、泣きながら砂集めてる３年生必死に撮ってるのに、清宮ばっか。確かに凄いけどさ。 来年も再来年も頑張れば戻って来れるんだよ？３年生は高校野球が終わったんだよ？ ちょっとふざけすぎだとおもう pic.twitter.com/mNbCtUf70P
Wed Aug 19 05:54:55 PDT 2015 --  清宮かっこえかったなー 来年もがんばってほしい pic.twitter.com/hdfxRqcaZC
