Tue Jan 03 15:54:21 PST 2012 --  estrada dos bandeirantes é horrivel, cheio de burraco e poeira, não tem nenhuma ordem. Tó fora !!!
Thu Oct 27 14:07:06 PDT 2011 --  @brunocusto @LeiSecaRJ fala bruno , blz
Thu Oct 27 14:01:21 PDT 2011 --  estrada dos bandeirantes, pelo amor de Deus pareçe um deserto. Buracos , poeiras e transito. Um pesadelo, tem que andar de tanque.
Wed Oct 12 10:33:11 PDT 2011 --  @brunocusto fala Bruno, teve acidente nessa madugada na estrada dos bandeirantes, uma mulher moreu, não estava de cinto. Abr,
Wed Oct 12 10:29:57 PDT 2011 --  @fredgol9 Fred blz, bom retorno . Precisamos de vc amanhã, não agredito que vc não jogue A torcida precisa de vc mais do que nunca, descanse
Wed Oct 12 10:22:47 PDT 2011 --  @fredgol9 blz vc vai jogar amanhã certo ? Prec mt de vc cara, descansa bem é faz muitos gols. Temos que ganhar em casa. abr,
Wed Oct 12 10:05:22 PDT 2011 --  @priscabral Pri vc é linda te Amo !
Sun Oct 09 16:57:05 PDT 2011 --  @andrizek não esperamos que dissesse que o flu foi prejud, o Lanzi não fez a falta que originou o gol, o juiz prejudicou o jg qt tem mais.
Sun Oct 09 16:46:16 PDT 2011 --  Flu,ainda não acabou. Vamos ser campeão !!!!
Sun Oct 09 15:49:23 PDT 2011 --  Tricolores esperam que a gente diga que foi "roubado"... Juizão errou na falta do 2 gol. Mas só isso não explica o 3 x 2. Fla teve coração.
