Mon Aug 24 02:39:58 PDT 2015 --  When you feel like quitting, think about why you started. #GoPHENOMS
Mon Aug 24 02:08:12 PDT 2015 --  RETWEET if you played any Basketball Volleyball Football Soccer Tennis Bowling Playstation COC LoL DOTA #GoPHENOMS
Sat Aug 22 03:06:46 PDT 2015 --  Maraming salamat sa Alyfinity, SBL at sa lahat ng mga nanuod kanina. Umulan man o umaraw lagi kayong present. Salamat po.
Mon Aug 17 19:38:37 PDT 2015 --  Friendship isn't about who you've known the longest it's about who walked into your life said I am… https://instagram.com/p/6ghw0No4OV/ 
Thu Aug 20 01:36:02 PDT 2015 --  Stay Humble Campaign now up at @gridathletic ready to take pre-orders :)) #GridAthletic #AVxGRID #StayHumble pic.twitter.com/yjpKKvAMe5
Sat Aug 08 04:27:39 PDT 2015 --  Fr. Ben and Fr. Jett. The former and the current President of Ateneo. pic.twitter.com/QDj2hXTWdv
Fri Jul 31 02:12:41 PDT 2015 --  Grabe ang magbesh. May kanyang kanyang schools na pinuntahan ngayon para magtalk
Mon Jul 27 02:33:19 PDT 2015 --  Believe in the spirit of love
Tue Jul 28 02:44:36 PDT 2015 --  Chickenjoy is my go-to comfort food after a hard day. Never fails! Why r u happy to be part of the #ChickenjoyNation? http://on.fb.me/1OMLVya 
