Tue Oct 21 15:26:36 PDT 2014 --  That's what SPEED do @ClintBowyer #Zoom @mrzoombiya pic.twitter.com/FRrb5QrMk0
Tue Oct 21 04:52:30 PDT 2014 --  We are ready! Everybody get your Royals blue on and let's do this! pic.twitter.com/PWduzg7Txo
Thu Oct 16 11:02:42 PDT 2014 --  Preseason CBB coaches poll top 10: 1 Kentucky 2 Arizona 3 Duke 4 Wisconsin 5 Kansas 6 N. Carolina 7 Florida 8 Virginia 9 Louisville 10 Texas
Wed Oct 15 20:58:51 PDT 2014 --  Kansas City...welcome to the World Series. Best FANS, stadium, team and organization in the league! #proudtobeKC #TakeTheCrown
Wed Oct 15 19:23:27 PDT 2014 --  Of course we swept the Angels & the O's... We have a Butler & a Dyson! #TAKETHECROWN #ROYALS #ALCS #WereGoingToTheFreakinWorldSeries!!!
Wed Oct 15 17:13:57 PDT 2014 --  Strange, George Brett is usually a pretty mild-mannered guy. #TakeTheCrown pic.twitter.com/BEHLiEO1K5
Tue Oct 14 21:31:56 PDT 2014 --  " @archieeversole: @TheRealHos35 LETS GET UR DUN!!!! BRO!!! #BEROYAL #WEREADY #BLUEOKTOBER" #weready
Tue Oct 14 20:40:38 PDT 2014 --  All #Royals fans right now #TakeTheCrown pic.twitter.com/llp8CM0Q2i
Tue Oct 14 20:03:42 PDT 2014 --  Screw it, let's just win them all. #Royals pic.twitter.com/ts4GSLU8Vp
Tue Oct 14 20:04:27 PDT 2014 --  Reclaim the crown. Royals baby
Tue Oct 14 10:50:17 PDT 2014 --  . @Royals reliever @bfinny29 hooked up a fan with #ALCS tickets on Twitter: http://atmlb.com/1trmnQz  pic.twitter.com/dxrgAERK2v
Tue Oct 14 10:24:31 PDT 2014 --  . @kcgrassman and the #Royals grounds crew have #TheK's field on point for tonight's #ALCS game! #TakeTheCROWN pic.twitter.com/kbkD57hbTC
Sat Oct 11 18:04:07 PDT 2014 --  Followers to RETWEET can win a baseball signed by @Royals SS @alcidesescobar2. #ALCS pic.twitter.com/1niuvaErhk
Fri Oct 10 21:54:56 PDT 2014 --  Followers to RETWEET can win an Alex Gordon bat. #ALCS pic.twitter.com/a57DvwoMI8
Sat Oct 11 14:47:51 PDT 2014 --  Moosetoberfest
Fri Oct 10 22:15:31 PDT 2014 --  Be royal baby pic.twitter.com/dn1VzKRV1N
Fri Oct 10 16:36:20 PDT 2014 --  10 in a row http://instagram.com/p/t_ZrvIqiNi/ 
Fri Oct 10 04:58:53 PDT 2014 --  Royals Ready by Wallace Bee / B DOUBLE E via #soundcloud http://soundcloud.com/wallace-bee-b-double-e/wallace-bee-royals-ready …
Mon Oct 06 14:10:33 PDT 2014 --  MLB has announced that Game One of the ALCS on Friday in Baltimore will start at 7:07 Central. Saturday's game will start at 3:07 Central.
Mon Oct 06 10:29:54 PDT 2014 --  What does @TheRealHos35 do after a @Royals sweep? He buys his fans drinks: http://atmlb.com/1ut5D9H 
Mon Oct 06 09:00:21 PDT 2014 --  The games only get bigger, but that's all right for James. Watch him earn the W: http://atmlb.com/1xhALIM  #TakeTheCrown pic.twitter.com/jjnoQoVOyO
Sun Oct 05 15:16:45 PDT 2014 --  Ball from bp pic.twitter.com/A7ghUd5zbC
Sun Oct 05 13:38:01 PDT 2014 --  Doesn't get any better than this. Royals with my buddy pic.twitter.com/fawrdEw3w6
Sat Oct 04 06:38:25 PDT 2014 --  Yes, yes it is. MT @MLB: #TheK is going to be INSANE. Big Game James tries to give the @Royals an #ALDS sweep Sunday. pic.twitter.com/uiWrjJNTWg
Fri Oct 03 22:53:27 PDT 2014 --  . @bfinny29 is the youngest #Royals pitcher to win a playoff game (previously @BretSabes in Game 7, 1985).
Fri Oct 03 13:07:40 PDT 2014 --  Tomorrow is National Taco Day & National Vodka Day! Your Weekend is now Planned!
Fri Oct 03 15:39:49 PDT 2014 --  While you woke up today, someone was breathing their last breath. Thank God for another day. Don't waste it.
Wed Oct 01 10:08:38 PDT 2014 --  The official @GWR certificate that will go into the #Chiefs Hall of Honor. #LoudAndProud pic.twitter.com/iksQwxFxkM
Tue Sep 30 23:52:41 PDT 2014 --  George Brett was speechless. That says it all. GIF: http://atmlb.com/1vw1t03  #WildCard pic.twitter.com/eZR3ZNwb3u
Wed Oct 01 07:30:12 PDT 2014 --  A night the @Royals will never forget: http://atmlb.com/1mQtizw  #WildCard pic.twitter.com/ckW6elrMaN
Tue Sep 30 23:55:58 PDT 2014 --  We love you Kansas City! That one was for you! Hands down best game ever. #TakeTheCrown
Tue Sep 30 14:09:55 PDT 2014 --  Our fans never cease to amaze me how loud they can get. Easily The Best Fans in the world. #easilymotivated
Tue Sep 30 09:06:01 PDT 2014 --  Wanna give a shout out to #ChiefsKingdom without you there no Noise pic.twitter.com/71lw2jEnde
Tue Sep 30 09:00:08 PDT 2014 --  Arrowhead Stadium was historically loud during the #Chiefs victory over the #Patriots. WATCH: http://chfs.me/YHdeoB  pic.twitter.com/9W0b7ChXbB
Tue Sep 30 08:21:51 PDT 2014 --  Good morning from #TheK! This place will be jam packed in less than 9 hours! #TakeTheCrown pic.twitter.com/OUPHNKR3OB
Mon Sep 29 22:25:51 PDT 2014 --  142.2!! #ChiefsKingdom showed up tonight…worlds loudest stadium…right here in KC where it belongs!
Mon Sep 29 20:51:08 PDT 2014 --  Andy Reid: "I mean it was loud-loud down there... I know that’s going to carry right over to the Royals tomorrow when they dominate.” (2/2)
Mon Sep 29 20:49:01 PDT 2014 --  Andy Reid: "The fans are phenomenal. 142.2 decibel level. I never thought I’d be fired up about decibel levels but I’m fired up." (1/2)
Mon Sep 29 11:37:48 PDT 2014 --  Ready to get #LoudAndProud RT @ChiefsReporter: Best fans in the NFL. #ChiefsKingdom is ready. pic.twitter.com/UuI69F4vuU
Mon Sep 29 09:45:45 PDT 2014 --  It's time to take it back. #LoudAndProud https://amp.twimg.com/v/d8058bd6-a060-4bb4-a5c5-d63fd66764d6 …
Sun Sep 21 14:00:53 PDT 2014 --  There's no sport like wrestling.. pic.twitter.com/6XM0D2BQJP
Sat Sep 27 19:08:40 PDT 2014 --  Best bros at football today pic.twitter.com/3e7TVlKHk8
Fri Sep 26 20:10:51 PDT 2014 --  Here we go! #TakeTheCrown pic.twitter.com/4Q4lXgt5XH
Fri Sep 26 20:06:59 PDT 2014 --  LET'S GO #ROYALS! #TakeTheCrown https://vine.co/v/OZJTl53qTqv 
Fri Sep 26 19:53:13 PDT 2014 --  Bottles chilled and ready for #Postseason clinch celebration! #TakeTheCrown pic.twitter.com/ou5BVhWlf9
Fri Sep 26 19:51:46 PDT 2014 --  THE #ROYALS ARE HEADED TO THE #POSTSEASON! Now it's time to #TAKETHECROWN! pic.twitter.com/RAdBHqJ014
Fri Sep 26 19:51:34 PDT 2014 --  WORTH THE WAIT! The Kansas City Royals are postseason-bound for the 1st time since winning the World Series in 1985. pic.twitter.com/jJB29pHt4x
Fri Sep 12 07:14:19 PDT 2014 --  When #RedFriday and #BroncosWeek collide... Photo by @kaylamarieeb pic.twitter.com/Jlw7aWwCgN
Tue Aug 26 21:37:17 PDT 2014 --  Followers to RETWEET can win an Alex Gordon bat. #MLBFC pic.twitter.com/yr0GDYppYc
Tue Aug 19 08:12:23 PDT 2014 --  Ice Bucket Challenges gone horribly wrong: http://bit.ly/1rSPruD  A separate charity drive to help these people seems to be in order.
Wed Aug 13 05:45:43 PDT 2014 --  Wow time flys by way to fast. Good luck kaylee in middle school. Luv u @wendyroot25 pic.twitter.com/tJQaEMCVLb
Thu Aug 07 05:30:06 PDT 2014 --  Hard to believe she's 11yrs old today. Happy bday baby. Luv u pic.twitter.com/OiiJn4niWr
Sat Aug 02 05:48:50 PDT 2014 --  Happy Birthday @AlayneaRae ...... I love you sweetheart! I hope your day is as special as you are.
Sun Jul 13 10:26:27 PDT 2014 --  Ready for the prowler. Worlds of fun pic.twitter.com/OsMP9RiNKh
Sat Jul 12 16:55:25 PDT 2014 --  First ball at royals game pic.twitter.com/g33liT8rqP
Sat Jul 12 14:41:56 PDT 2014 --  Royals game baby pic.twitter.com/q0STt1CakD
Sat Jul 12 11:04:11 PDT 2014 --  Ready for the royals game pic.twitter.com/ZulTKRTA2i
Fri Jul 04 18:19:49 PDT 2014 --  Mexicans for days. FOE pic.twitter.com/1ifgXjyZ12
Wed Jun 18 13:01:54 PDT 2014 --  #Royals win ten straight. Last time that happened was 1994. #RoyalsInFirst
Tue Jun 17 19:24:39 PDT 2014 --  #Royals win their ninth-straight, 11-4 over Detroit! KC now has sole possession of FIRST PLACE in the AL Central at 37-32! #BeRoyalKC
Fri Jun 06 17:35:12 PDT 2014 --  Flashback before Granby #flipagram created using @flipagram ♫ Music: TP & Esco - The Realest Sport http://flipagram.com/f/DKd9XTzYWg 
Thu May 22 06:45:19 PDT 2014 --  Wow. I wish I could get time to stand still. Luv u guys to the and back pic.twitter.com/0C9ocOPVbx
Wed May 21 11:09:07 PDT 2014 --  “I liked everything...from the history, the strength program and especially the coaches – everything. It’s Kansas." - Mykhailiuk on #kubball
Tue May 13 12:55:20 PDT 2014 --  Champions Challenge WINNERS will be revealed THIS Thursday at 5pm EST! Get your team together for a party! #usfinals #getranked #thisit
Tue May 06 21:02:41 PDT 2014 --  This is the video that made me pick Kansas back in high school #Memories #Rockchalk http://www.youtube.com/watch?feature=player_embedded&v=GQm-x5I3H3c# …
Sun May 04 12:06:05 PDT 2014 --  Cheer Fusion is 3rd in the World!!!! pic.twitter.com/G5ibyhIkZZ
Sun May 04 11:56:03 PDT 2014 --  Wow amazing weekend girls. Great job TOPAZ pic.twitter.com/nN3P3YHRPU
Sun May 04 06:28:54 PDT 2014 --  Heading to FINALS at the SUMMIT!!! Last time in the PINK and GREEN!!! Preforming in the J-center at 12:34 eastern... http://fb.me/2UThMJg5k 
Sun May 04 06:27:52 PDT 2014 --  Last time in pink and green. Rock it topaz. Good luck girls pic.twitter.com/krfWLvZ7QP
Sat May 03 12:33:00 PDT 2014 --  . @chrfusion getting the crowd fired up in the Varsity Arena! #TheSummit14 pic.twitter.com/FDxa04URGV
Sat May 03 09:58:55 PDT 2014 --  Cheer Fusion, Andover Kansas #TheSummit14 pic.twitter.com/5b5p3rseY3
Sat May 03 03:14:06 PDT 2014 --  @chrfusion good luck cheer babies!! Show the world what you lil Kansas girls are made of!! #teamtopaz
Sat May 03 07:51:21 PDT 2014 --  Day 1 of competition. Rock it Topaz. Good luck girls pic.twitter.com/vAHj5NnSEi
Fri May 02 12:44:19 PDT 2014 --  Disney time with the family pic.twitter.com/b5NuGkKbSu
Thu May 01 16:28:21 PDT 2014 --  I so need a stiff drink right about now and I mean right now
Thu May 01 08:29:55 PDT 2014 --  Landry and coach Weiss at kci airport. Rock chalk baby pic.twitter.com/F5dibOh3Pp
Sat Apr 05 11:58:06 PDT 2014 --  O forgot to mention TOPAZ is also sitting in GRAND CHAMPION of all the level 1 teams with at 93!!! The next closest team has a 90!!! 󾬑󾬔󾟛󾬔󾬑
Sat Mar 29 14:21:24 PDT 2014 --  Congrats to @Pauljakob113 for making All American. He joins just 3 other athletes in school history. #RIP
