Thu Apr 02 07:56:58 PDT 2015 --  So @tomjdickerson made this. Color combo looks real nice together. Should be an exciting summer. pic.twitter.com/scTEdCwNj7
Wed Apr 01 13:02:05 PDT 2015 --  “ @Bucks: Ready for tonight. #OwnTheFuture pic.twitter.com/RrcQk4WCTf” @ericbuenning @Bucksketball @1057FMTheFan @brewhoop
Sun Mar 29 14:06:31 PDT 2015 --  Remember when everyone said the Big Ten wasn't that good this year? Yea, me too.
Sat Feb 14 19:36:33 PST 2015 --  Wow Giannis misses then a 540 then that ! Omg #bucks
Sat Feb 14 17:39:17 PST 2015 --  GIANNIS VIDEO ALERT https://m.youtube.com/watch?v=h8Ifik9R1fc …
Mon Jan 19 05:26:57 PST 2015 --  Not watching espn for a very long time
Sun Jan 18 14:36:18 PST 2015 --  Most nervous I've been for a football game since the last time the @packers were in the super bowl! #GoPackGo
Sun Jan 18 11:48:41 PST 2015 --  Go pack Go..!!
Sat Jan 17 16:03:13 PST 2015 --  One RT Equals One Vote!! Brandon Knight #NBABallot pic.twitter.com/g4DBeUEHdO
Thu Jan 01 14:07:42 PST 2015 --  RT if you'd like to select @suns vs @Bucks as Tuesday's #FanNight game! #PHXvsMIL pic.twitter.com/8o2wonx4Ae
Wed Dec 31 21:09:58 PST 2014 --  Bitches be drunk outside and it's 20 degrees out @sajoba_
Wed Dec 31 19:52:06 PST 2014 --  Happy New Year from the squad!!!! #2015 pic.twitter.com/IpgpiAj9qQ
Sun Dec 28 17:57:48 PST 2014 --  Suh is a lil bitch I hope he gets shitty offers in free agency and has to stay with the pitiful lions for the rest of his career #lilbitch
Sun Dec 28 15:38:19 PST 2014 --  taking a shot when something good happens and bad happens in the @packers game we all know the outcome of that #GoPackGo
Tue Dec 23 22:16:06 PST 2014 --  Never get too high... Never get too low!!
Sat Dec 20 20:53:39 PST 2014 --  Cmon @bucks!!!!! I wish the game was on national tv !
Sun Dec 07 19:47:29 PST 2014 --  Not one, but TWO big dunks for Giannis Antetokounmpo. Make room on the #SCtop10 for the Greek Freak. http://es.pn/1u6JHy2 
Wed Dec 03 08:55:01 PST 2014 --  RT if you'd like to select @Bucks vs @okcthunder as your #FanNight game on Tuesday! #MILvsOKC pic.twitter.com/L2LSDqjVxh
Tue Dec 02 09:36:25 PST 2014 --  Secret Ponchos hits PS4 today: http://bit.ly/12n6uyO  @SwitchbladeMkys explain their wild-west shooter's origins pic.twitter.com/RINSZ9fS7x
Fri Oct 17 05:11:16 PDT 2014 --  Ahhhhh yes St. Louis lost last night now my baseball season is saved from hating this whole year @AndyStollsBeard @danalltogether
Thu Sep 04 04:13:40 PDT 2014 --  Game day!!!!!! #Packers
Sat Aug 23 20:33:24 PDT 2014 --  My maturity level depends on who I'm with and who I hang out with.
Sat Jun 28 11:46:09 PDT 2014 --  When's the podcast about "Trader Johns" next move?? @brewhoop
