Sat Aug 01 16:37:07 PDT 2015 --  Bamos benedetto https://twitter.com/univisionsports/status/627623079699709952 …
Mon Jul 27 19:40:01 PDT 2015 --  Mix - BANDA MS - PIÉNSALO (VIDEO OFICIAL)me gusta ms 100% musica @josue http://www.youtube.com/watch?v=32GzGxZ-Z38&list=RD32GzGxZ-Z38 …
Thu Jul 23 12:48:16 PDT 2015 --  Prueba WhatsApp en tu smartphone. Descárgalo hoy desde https://whatsapp.com/dl/ 
Wed Jul 22 17:45:07 PDT 2015 --  Llegó la hora de demostrar que este #EquipoDeAmigos está para todo. ¡Vamos, @miseleccionmx! pic.twitter.com/mJJshc9e4K
Wed Jul 22 18:05:07 PDT 2015 --  Bamos mexico https://twitter.com/miseleccionmx/status/624021593526702080 …
Mon Jul 20 20:37:58 PDT 2015 --  Vamos America https://twitter.com/aztecadeportes/status/623335329886396417 …
Mon Jul 20 20:37:22 PDT 2015 --  Vamos America se ke podemos ganarle https://twitter.com/futaztecadep/status/623335329894760452 …
Mon Jul 20 18:18:06 PDT 2015 --  Alineación de las Águilas de @CF_America: González, Burón, Pimentel, Mares, Samudio, Güémez, Martínez, Andrade, Sambueza, Quintero y Arroyo
Fri Jul 17 14:50:35 PDT 2015 --  pic.twitter.com/ckMxPrQBSd
