Sun Aug 16 16:45:43 PDT 2015 --  ドラマチックアラスカ初のめざましライブ、暑い中たくさんの方にお集まり頂きました、ありがとうございました。ライブの模様は8/20(木)のめざましテレビにてオンエア予定です。 photo by Ohagi @zerohagiiiiiiii pic.twitter.com/SqfgScc0fB
Sun Aug 16 07:23:11 PDT 2015 --  レコーディング合宿9日目。最近メイン級に使ってるfanoのPX6。良い音してます。 pic.twitter.com/V1CkYDjscT
Fri Aug 14 06:33:22 PDT 2015 --  ね！早くみんなに聴いて欲しい！ RT @thedresscodes: 新譜の全曲でドラムをぶっ叩いて下さっているのは、ピエール中野氏です。すごいことになってるよ。 pic.twitter.com/D7sxsvQCN2
Thu Aug 13 19:00:38 PDT 2015 --  コンビニで会計をして店員さんが商品を入れようとするのだけどレジ袋の底にでかい穴があいていて下から落ちてくるから一向に商品を渡してもらえない、という夢を見ました。レコーディング合宿7日目、疲れかな。おはようございます。
Thu Aug 13 05:57:16 PDT 2015 --  本日の「サカナLOCKS!」は、初監督を務めた「ホーリーダンス」のMVのオーディオコメンタリーをします。MVを観ながら、ラジオを聞いて下さい。23時頃から「SCHOOL OF LOCK!」内、TOKYO FM/JFN系38局ネットで放送です。宜しくお願い致します。
Thu Aug 13 02:50:43 PDT 2015 --  レコーディング6日目、えのぴょんから一足早い誕生日プレゼントでギターを貰って嬉しそうないこか様でゲス。 pic.twitter.com/RdcdN8IwCH
Tue Aug 11 22:49:45 PDT 2015 --  ファンクラブ「ゲスとルーム」休日課長大改造計画「美味しく痩せようプロジェクト!!」で残念ながら減量失敗に終わった休日課長に罰ゲームを決行!!第一弾MOVIE「第1回：えのぴょんの下準備」を本日配信開始！爆笑必至でゲス♪是非！http://sp.gesuotome.com/welcome/ 
Wed Aug 12 04:49:40 PDT 2015 --  indigo la Endの新しいアー写公開しましたよ。そして21時からのFM802「ROCK KIDS」にて9/16発売のNew singleより「忘れて花束」が初オンエアです。インディゴの新しい側面がわかる曲です。聴いてね！ pic.twitter.com/2iUrfcUBqV
Tue Aug 11 07:28:36 PDT 2015 --  レコーディング4日目でゲス。 pic.twitter.com/bk0YYlzaQJ
Tue Aug 11 02:24:44 PDT 2015 --  今日も新曲の収録 pic.twitter.com/8OnqoHeWni
Mon Aug 10 06:43:31 PDT 2015 --  レコーディング3日目でゲス。 pic.twitter.com/fOm3ZUDKyI
Sun Aug 09 05:25:20 PDT 2015 --  レコーディング2日目、順調に進行中でゲス。 pic.twitter.com/JuFIeRCOPh
Sat Aug 08 07:01:28 PDT 2015 --  レコーディング1日目、すでに疲労困憊の様子でゲス… pic.twitter.com/9TOUk7uJkQ
Wed Jul 29 21:17:02 PDT 2015 --  ゲスの極み乙女。「パラレルスペック」 課長前より痩せてる気がする… http://youtu.be/apr2JCdpTbQ 
Sat Jul 25 01:35:01 PDT 2015 --  フジロック最高でしたでゲス！！ pic.twitter.com/wxqVT3WmGh
Fri Jul 24 03:59:49 PDT 2015 --  ┗|∵|┓東京サマーセッション／HoneyWorks feat.GUMI×flower http://youtu.be/q0T7Ex7MkLM 
Thu Jul 23 20:15:01 PDT 2015 --  【おしらせ！】 8月5日発売ニューシングル「ダイバー」の「MUSIC VIDEO&メイキング映像」がYouTubeにて公開されました！ みてね〜( ´ ▽ ` )ﾉ♡ https://youtu.be/XCuA5qyAyPA 
Thu Jul 23 07:18:03 PDT 2015 --  フジロックが始まりますね。僕らは明後日の2日目に出演。キラーボール(last dance ver.)を初披露します。お楽しみに。
Wed Jul 22 23:30:30 PDT 2015 --  ジャケ写解禁！！！！！！！！！！ https://twitter.com/natalie_mu/status/624096701205229568 …
Wed Jul 22 03:27:15 PDT 2015 --  「SWEET LOVE SHOWER 2015」のタイムテーブルが発表されたでゲス！ゲスの極み乙女。は1日目8/28(金)の大トリ！みなさんお楽しみに！コポゥ！http://www.sweetloveshower.com  pic.twitter.com/K1726m3thD
Mon Jul 20 23:04:48 PDT 2015 --  今週末の福岡NUMBER SHOTからいよいよback numberにも夏フェスシーズン到来！ということで、今日からライブリハーサルです！今年は5本のフェスに出演させていただきます！頑張ります！ pic.twitter.com/WF6eQsYz65
Sun Jul 19 05:18:13 PDT 2015 --  踊りながら泣いてた pic.twitter.com/RMVkn8SVDf
Sat Jul 18 06:19:12 PDT 2015 --  SEKAI NO OWARI「ANTI-HERO」 https://youtu.be/v9V5aByfeCM 
Sat Jul 18 06:17:56 PDT 2015 --  サカナクション「スローモーション」MUSIC VIDEO https://youtu.be/_aqs6HrGroM 
Sat Jul 18 06:17:50 PDT 2015 --  サカナクション「years」MUSIC VIDEO https://youtu.be/um9pIpt8RB8 
Sat Jul 18 05:17:43 PDT 2015 --  8/5発売のコンセプトアルバム「懐かしい月は新しい月」から「スローモーション」のミュージックビデオが公開されました。監督は写真家でもある奥山由之君（ @okuyama_333 ）出演はモデル・女優の琉花さん。 http://youtu.be/_aqs6HrGroM 
Sat Jul 18 04:17:39 PDT 2015 --  Zepp Fukuokaワンマンありがとうございました！ pic.twitter.com/bh69V3zpgn
Fri Jul 17 05:24:08 PDT 2015 --  Mステ出演決まりました。 僕らも僕らなりにお茶の間の皆にバンドの魅力をアピール出来たらと思います(ё) 発表されると現実味増してきた。 まさか、キュウソが出れる日が来るとは…！ これはもう、普通に褒めてくれ！(ё)b がんばります！！ pic.twitter.com/byyzqhMbU1
Thu Jul 16 23:38:16 PDT 2015 --  8/30(日)に新木場STUDIO COASTで開催される、10代アーティスト限定の夏フェス「未確認フェスティバル」ファイナルステージのゲストLIVEアーティストにゲスの極み乙女。が決定したでゲス！！コポゥ！ http://www.tfm.co.jp/lock/mikakunin 
Thu Jul 16 07:44:15 PDT 2015 --  公開されたばかりの DWMのPVを目視↓ https://youtu.be/F_sUmgJ1wKM 
Thu Jul 16 07:47:00 PDT 2015 --  明日は大阪オリックス劇場にてインディゴワンマン。台風が早く過ぎ去ってくれることを祈りながら撮りました。でも俺が撮りたいって言ったわけじゃないんだ… pic.twitter.com/kPTBvFUmXv
Wed Jul 15 06:52:42 PDT 2015 --  @amcalz 映画「バクマン」の主題歌「新宝島」です。
Tue Jul 14 06:14:56 PDT 2015 --  次の新曲のPVを考えている。凄いことになりそう。ステキな参考写真。 pic.twitter.com/WrwUJJoqZL
Tue Jul 14 04:53:16 PDT 2015 --  サカナクションサイコー pic.twitter.com/z3t6wKxU2I
Sun Jul 12 01:23:50 PDT 2015 --  アニメ『アルスラーン戦記』のオープニング「渦と渦」チェックしてもらえましたか？TV size好評配信中です！ http://hyperurl.co/536dqh  #渦と渦#アルスラーン
Sat Jul 11 03:52:07 PDT 2015 --  ドゥオーモ pic.twitter.com/7SqzJ4iMcl
Fri Jul 10 00:22:43 PDT 2015 --  あさんぽ pic.twitter.com/wy1tuAotrj
Fri Jul 10 05:30:34 PDT 2015 --  札幌ファクトリーホールありがとうございました！ pic.twitter.com/ISlPWvyqj3
Wed Jul 08 19:27:21 PDT 2015 --  JAPAN NIGHT ロンドンに向けて出発します！ pic.twitter.com/LfvGKQ2XTO
Wed Jul 08 07:46:56 PDT 2015 --  シングル完成！ 9/16(水)indigo la End初の両A面4thシングル「雫に恋して／忘れて花束」発売！ M1「雫に恋して」／M2「忘れて花束」／M3「夢のあとから」 初回プレス分特典あり 予約受付もはじまってます！ pic.twitter.com/Orx84suwru
Tue Jul 07 08:53:25 PDT 2015 --  【7/7付iTunesトップソング確定】ゲスの極み乙女。「ロマンスがありあまる」が1位キープ！2位に西野カナ、3位はUNISON SQUARE GARDEN 他 http://www.tnsori.com/20150707-itunes-topsongs-daily …
Mon Jul 06 02:30:34 PDT 2015 --  【GIRLS LOCKS!〈22:20頃〜〉】今週は小芝風花ちゃんが毎日登校！風花ちゃんは長渕剛先生の大ファン。先月をもって長渕LOCKS!は休講になったのですが、どーしても授業を受けたくて、生活指導室にこっそり潜入して…!? #sol #小芝風花
Sat Jul 04 05:25:39 PDT 2015 --  ゲスの極み乙女。さんありがとうございました。
Sat Jul 04 02:33:48 PDT 2015 --  今から幕張メッセでライブでゲス！ pic.twitter.com/LKbsGzbNS6
Sat Jul 04 02:17:30 PDT 2015 --  今日の私服「KARATEドラゴン」 もうすぐTVでます！いえ〜い！ pic.twitter.com/Z5QoRRi2ZP
Fri Jul 03 06:54:50 PDT 2015 --  明日は遂にMusic day 音楽は太陽だだ。 意外と楽しみ
