Thu Aug 27 18:06:04 PDT 2015 --  ¿Quién ganará el Clásico Joven? RT América FAV Cruz Azul pic.twitter.com/f9LJPe2CtM
Wed Aug 26 13:47:35 PDT 2015 --  ¿Qué caption le ponen a esta foto? pic.twitter.com/bFqiYQcAEX
Sat Aug 22 18:44:42 PDT 2015 --  Top 10 en Copa América en México, agosto 2015. Estoy ganando en @QuizUp - https://www.quizup.com/en/topics/la-copa-america/2015/8?scope=country&country=MX&player_id=698696476012674267&banner=lb:la-copa-america:MX:month:8:2015:8&position=8&source=share …
Wed Aug 12 18:52:54 PDT 2015 --  https://youtu.be/RgKAFK5djSk 
Wed Aug 12 18:39:52 PDT 2015 --  ¿QUIÉN SE ARMÓ MEJOR PENSANDO EN EL DESCENSO? CHIVAS o MORELIA Vota aquí --> https://www.facebook.com/tdnpasion/posts/10153021165912050 … pic.twitter.com/xGmLkAT3G9
Fri Aug 07 21:28:54 PDT 2015 --  Santos 0 Club Tijuana 1 Segundo Tiempo, 85 ahora por Azteca 7 o síguelo en vivo por la App de Azteca Deportes: http://bit.ly/1jUrqTg 
Fri Aug 07 21:28:44 PDT 2015 --  Coras Tepic 1 Celaya 1 Segundo Tiempo, 88 ahora por o síguelo en vivo por la App de Azteca Deportes: http://bit.ly/1jUrqTg 
Sun Jun 07 08:29:18 PDT 2015 --  pic.twitter.com/cSQ9rg2snU
Fri Jun 05 19:35:43 PDT 2015 --  vamos con todo por el mundial hoy contra serbia sub 20
