Mon Jul 06 03:06:39 PDT 2015 --  昨日野球部の集まりからの２年でボーリングオールからの学校１限からで本当に鬼辛かったは！ でも楽しかったからまたいきたいな！
Fri Jul 03 07:48:46 PDT 2015 --  今日チバテレに沼南出てた！！ はっしーが52歳ってゆーのゎ笑ったけど笑。 みんな夏大 頑張ってねー pic.twitter.com/bC8ol5TRWG
Thu Jul 02 21:37:51 PDT 2015 --  本日のQVCマリンフィールドでの柏日体 - 中央学院の引退試合は降雨の為、延期となりました。
Wed Jul 01 02:34:05 PDT 2015 --  サプライズ成功 お手紙読んだら泣いちゃった(;_;)♡ 素敵な年になりますように pic.twitter.com/yrsoJWAfnD
Wed Jul 01 17:51:11 PDT 2015 --  なでしこジャパンの2点目、イングランドのオウンゴール動画 https://vine.co/v/e1bWnwh5EwD 
Wed Jul 01 10:22:53 PDT 2015 --  バイト終わりの納豆巻き。美味しい。 pic.twitter.com/Sa2BtvqVnl
Tue Jun 30 21:19:39 PDT 2015 --  １回でいいからこんな学校生活送ってみたい人RT pic.twitter.com/lgNpxdFpbE
Tue Jun 30 20:41:28 PDT 2015 --  やばい... pic.twitter.com/DlfkkGpPQ4
Sun Jun 28 01:59:54 PDT 2015 --  ノーヘル警察。削除対象かもしれないのでバンバン拡散してください。 pic.twitter.com/UVsT7m8C6O
Sat Mar 21 04:13:09 PDT 2015 --  エリーの彼女めちゃくちゃ可愛い pic.twitter.com/AvPwOwJ449
Sat Jun 27 04:30:37 PDT 2015 --  他校のチームTシャツ着てるなどわろたww pic.twitter.com/ZTVbTYX6JC
Fri Jun 26 21:16:20 PDT 2015 --  おばあちゃんの家にいってご飯食べに行ってお金持ってタイヤ交換に行ってこれから帰宅だ！ 疲れたは(*_*)
Thu Jun 25 02:03:02 PDT 2015 --  彼女、彼氏 と キャッチボールやバッティング 憧れる人 RT pic.twitter.com/jRXJBsWNiE
Wed Jun 24 05:21:35 PDT 2015 --  つきあったら絶対大切にしてくれる部活ランキング １位：野球部 ２位：ラグビー部 ３位：バスケ部 ４位：バレー部 ５位：サッカー部 ６位：テニス部 ７位：陸上部 ８位 : 剣道部. 本当の１位:バド部 #部活ランキング
Tue Jun 16 11:04:34 PDT 2015 --  日大三高、キャプテン金子凌也。 キャプテンの重圧からか、絶不調の中試合を決めた逆転タイムリー！ セカンドベースに到達したあと、思わず込み上げてくる涙を流す金子君。 かっこいいと思ったらRT&ふぁぼよろしくお願いします！ pic.twitter.com/5qmCHv5Lkk
Mon Jun 22 04:55:35 PDT 2015 --  暇だなぁ♪
Sun Jun 21 04:54:05 PDT 2015 --  野球人生も残り20日とかなのでしっかりと夏までに調子上げられるように頑張っていきましょう pic.twitter.com/34zrxLP7Nw
Sat Jun 20 15:45:17 PDT 2015 --  久しぶりの電車だー！
Fri Jun 19 06:04:26 PDT 2015 --  伏兵 沼南 ベスト8までほぼ無風と素晴らしいブロックに入った。 米池、黒井の二枚看板で勝負をかける。 打線は木崎、神田、平、高山、大越ら上位打線が活発。 下位打線の底上げが出来ればしれっと抜け出しそうな雰囲気だ。
Thu Jun 18 21:12:35 PDT 2015 --  千葉ヤグラ暫定版　※正確には高野連発表をお待ちください pic.twitter.com/LF1ixyecLg
Thu Jun 18 21:04:34 PDT 2015 --  途中経過 pic.twitter.com/P4bAszdo7M
Thu Jun 18 07:45:52 PDT 2015 --  やることなくて寝れない！
Thu Jun 18 07:11:48 PDT 2015 --  マジでワケわからん、
Wed Jun 17 21:07:27 PDT 2015 --  絶対予告はん見ない(笑)
Wed Jun 17 13:56:20 PDT 2015 --  仕事終わりの松屋も悪くないよ！ pic.twitter.com/2drk7qvMEd
Wed Jun 17 02:43:02 PDT 2015 --  これワロタwwww 牽制球を暴投するふりwwww pic.twitter.com/rFnMAUmdQ4
Wed Jun 17 08:15:01 PDT 2015 --  さぁバイト頑張るぞ！ 今日の授業遅刻しないようにしないとな♪(笑)
Wed Jun 17 08:10:16 PDT 2015 --  めっちゃ稼いで来月はぜったいこいつと旅行に行くばいとがんばろ pic.twitter.com/AAYuvN65dG
Wed Jun 17 01:33:49 PDT 2015 --  誰が飯野必要とするの？(笑) 岩本健太
Wed Jun 17 01:24:27 PDT 2015 --  pic.twitter.com/U1iwuH46X0
