Fri May 01 03:50:32 PDT 2015 --  #HappyBirthday @BboyChava love you!! pic.twitter.com/QKJScEcgyt
Wed Apr 29 10:19:02 PDT 2015 --  In a way... i wish it was next Friday already
Fri Apr 24 23:45:43 PDT 2015 --  Let's do what we love and do a lot of it!
Tue Apr 07 18:00:54 PDT 2015 --  When boyfriend is sweet: pic.twitter.com/RSXMBY7gPJ
Fri Apr 03 09:01:26 PDT 2015 --  thats why we loves u @marcelaaa14 ... thanks
Thu Mar 12 05:35:36 PDT 2015 --  I wanna wish the greatest birthday ever to mi friend... because she deserves the best of the best.… https://instagram.com/p/0ILsPQqHIL/ 
Fri Mar 06 06:50:39 PST 2015 --  I'm Dying.. I don't do sick...
Wed Feb 25 09:40:51 PST 2015 --  Wknd plz hurry!!!
Thu Feb 19 05:32:16 PST 2015 --  Done Trying
Tue Feb 17 09:54:48 PST 2015 --  Cuando todos se olvidan de ti...
Sat Feb 14 07:21:56 PST 2015 --  
Sun Feb 08 20:10:23 PST 2015 --  I apologize when I'm in the wrong. Nothing wrong with that.
Wed Feb 04 20:07:06 PST 2015 --  I can't. . Cry, cry, cry
Wed Feb 04 19:45:44 PST 2015 --  Find the CHEAPEST One Direction On The Road Again Tour tickets with the SeatGeek app https://cards.twitter.com/cards/18ce53wbor1/73bv …" @Danielaa_Cano
Thu Jan 29 05:08:09 PST 2015 --  "He undoes the buttons of his jeans and slowly pulls his jeans down his eyes on mine all the time..." pic.twitter.com/pehs3G7AHA
Sun Feb 01 22:07:35 PST 2015 --  Thank goodness it's February. #13days
Tue Jan 13 19:00:09 PST 2015 --  Te cerraría la boca a besos.
Fri Jan 02 17:00:22 PST 2015 --  El amor es conocer el cielo y el infierno con esa persona, saber que nada es fácil y aún así, no dejarla ir nunca.
Thu Dec 25 17:27:06 PST 2014 --  Thanks santa http://instagram.com/p/xDSxcUKHIj/ 
Wed Dec 24 19:12:20 PST 2014 --  Feliz noche buena de nuestra familia ala de ustds con mucho amor...xoxoxo http://instagram.com/p/xA6BWkKHOu/ 
Mon Dec 22 09:00:28 PST 2014 --  Tú probablemente ni recuerdes las cosas que yo nunca olvidaré.
Mon Dec 22 08:44:50 PST 2014 --  Is it nap time yet?.... my eyes think so.
Sun Dec 21 21:38:40 PST 2014 --  Yayyy! #ShortGirlAppreciationDay hey girl hey!
Fri Dec 19 09:00:11 PST 2014 --  When my kids are in pain, im in pain. They hurt I hurt, they cry, I cry....los kiero mucho
Tue Dec 16 07:44:52 PST 2014 --  Coffee with a dash of peppermint flavor.
Mon Dec 15 10:42:53 PST 2014 --  Only a few more presents to go.. can't wait till Christmas... love the holidays http://instagram.com/p/wo0kIpqHIO/ 
Sun Dec 14 20:41:34 PST 2014 --  Cutting my hair? ? Yay oh nay? Still debating! #headache but love my hair #shorthair and #color
Thu Dec 11 10:44:06 PST 2014 --  Yummm http://instagram.com/p/wehhmaqHPT/ 
Tue Dec 09 19:37:13 PST 2014 --  Santa's Helper Wrapping presents.... ggrrrr still need Some shopping to do. #Christmas
Mon Dec 08 09:00:25 PST 2014 --  Quiero intentarlo contigo hasta que nos salga bien.
Mon Dec 08 09:42:38 PST 2014 --  Oh my love! #newring #upgrade #earlychristmasgift #mequiere #thankslove #selfie #bling http://instagram.com/p/wWsGrTqHDN/ 
Fri Dec 05 23:25:06 PST 2014 --  You maight be all grown up but honey you need to learn to respect others. #MADURA
Thu Dec 04 19:04:58 PST 2014 --  JJ singin"im in luv wit the coco" Me hey jj thays my song. JJ- mom I luv hot coco 2. Lol okis I share my song Our song -"we in luv wit coco"
Thu Dec 04 09:10:05 PST 2014 --  is everything expensive or am i just poor?
Wed Dec 03 21:00:07 PST 2014 --  Te volvería a elegir mil veces más.
Wed Dec 03 14:34:58 PST 2014 --  All of the above pic.twitter.com/XZ61DOBRm2
Wed Dec 03 09:29:36 PST 2014 --  I better star getting that Christmas shopping done... doble checking my list
Thu Nov 27 22:02:52 PST 2014 --  God has given me the best of the best. .... , http://instagram.com/p/v7sEtNKHL4/ 
Sun Nov 23 12:50:06 PST 2014 --  Pms has me like... #thermalpad #ibprofin #tédemanzanilla I can't!!!! http://instagram.com/p/vwZonWKHPI/ 
Sat Nov 22 19:08:19 PST 2014 --  A few doble shots down... feeling tipsy I got my drank on my hand #tipsy #shots #thanksbabe #kidsarefunny
Fri Nov 21 20:23:07 PST 2014 --  Quiero tenerte siempre en mi vida.
Thu Nov 20 17:17:32 PST 2014 --  "Our history and the facts show that immigrants are a net plus for our economy and our society." —President Obama #ImmigrationAction
Tue Nov 18 15:16:56 PST 2014 --  A simple "I love you, thank for this time" would of been ok.... #notahappywife #sosad
Sun Nov 16 21:52:28 PST 2014 --  After a long bad day.. mimis time it is.... ima go and cuddle with the babe, para dormir relax #mañanaseraotrodia #sadday
Fri Nov 14 19:01:07 PST 2014 --  pic.twitter.com/seW0cI1qyh. @Kateplusmy8
Thu Nov 13 13:50:27 PST 2014 --  #tbt http://instagram.com/p/vWwl-HKHAD/ 
Sun Nov 09 16:46:27 PST 2014 --  Tacos de alambre, tacos de tripa y de pilon unos pancakes..... #superfull
Fri Nov 07 18:39:26 PST 2014 --  Tengo ganas de hacerte el amor.
Mon Nov 03 17:58:47 PST 2014 --  It's the little things that matter the most pic.twitter.com/uOJ407aYA4
Sun Nov 02 20:42:05 PST 2014 --  Cant wait to put my Christmas tree up.
Sun Nov 02 18:58:36 PST 2014 --  Who else loves it when your man says "it's time for bed"
