Fri Aug 21 22:15:34 PDT 2015 --  Perdón ene la letra lo ise rapido pic.twitter.com/Dpa5dwkWSO
Fri Aug 21 05:55:29 PDT 2015 --  RT, SGUIEME Y LIKE VIDEO! Para SORTEO DE 1,2,3 o 5 MILLONES! Suerte! Ganador en el próximo PPG ^^ https://www.youtube.com/watch?v=XjszFhn3vF8 …
Fri Aug 21 15:47:54 PDT 2015 --  Aquí jugando unos SKYWARS queréis que suba una partida? pic.twitter.com/ySxnblgv5t
Tue Aug 18 18:27:21 PDT 2015 --  Ya estamos en directo!! https://www.youtube.com/watch?v=gfVFpiielYQ&feature=youtu.be … SORRY POR LOS PROBLEMAS!
Wed Jul 29 10:46:44 PDT 2015 --  ¡Sorteo de FIFA 16 para cualquier plataforma! Requisitos: -RT al tweet -Seguir a @WGamingShop -Seguirme pic.twitter.com/AIMsRYAyzc
Mon Aug 17 21:06:13 PDT 2015 --  RT SI PIENSAS QUE ESTO ES UN RT
Sat Aug 15 17:51:05 PDT 2015 --  Los primeros 5000 en dar RT los saludare en eñ proximo especial 1Melon de Subs
Fri Aug 14 04:48:57 PDT 2015 --  ACORDAOS!!!! Mañana @WGamingShop dara el ganador del FIFA 16! Os dejo el link para que participeis! https://twitter.com/DoctorePoLLo/status/626448787431682048 …
Thu Aug 13 17:02:41 PDT 2015 --  Hoy jugaremos H1Z1 c/ @xAlanFTP y @Ziilverk :D RT si estarás en el #DedsMadre http://twitch.tv/dedreviil2  9:30pm (Chicago)
Thu Aug 13 20:44:49 PDT 2015 --  @dedreviil @ZeroMexico @xAlanFTP @Ziilverk #Dedcast The Walking Ded pic.twitter.com/TsgbjdShXU
