Fri Aug 28 21:43:27 PDT 2015 --  Oke bos
Fri Aug 28 18:48:22 PDT 2015 --  Disaat orang lain mencoba mendua ... Aku tetap setia
Sat Aug 22 05:48:20 PDT 2015 --  Anak muda yang berbakti adalah yang membahagiakan orang tua, bukan yang hidup bergaya selalu minta kepada orang tua.
Fri Aug 21 07:37:08 PDT 2015 --  Cinta butuh ruang untuk bisa hidup dan berkembang dan hal itu adalah ‘pengakuan’ (Teriak Dalam Diam)
Thu Aug 20 08:09:44 PDT 2015 --  Cinta kasih adalah perasaan hati, yang harus diungkapkan dengan hati, bukan hanya dengan rayuan atau pujian.
Wed Aug 19 06:24:20 PDT 2015 --  Jodoh mana jodoh
Sun Aug 16 09:46:27 PDT 2015 --  Deni kapan kita kumpul bareng deui nih gue kangen
Wed Aug 12 21:56:02 PDT 2015 --  Cinta itu bisa pudar, komitmen lah yang akan membuat anda bertahan.
Mon May 25 23:04:56 PDT 2015 --  INI MODUS apa TULUS? WATCH: http://youtu.be/n9o-V_kar_8  #2
Mon May 25 22:01:15 PDT 2015 --  Selagi hatiku masih denganmu, kemana saja kau pergi rinduku menunggu.
