Sun Aug 23 11:04:35 PDT 2015 --  Great soundcheck. See everyone tonight at @billboard #Hot100Fest with my brother @Skrillex. U are not ready
Sun Aug 23 08:28:59 PDT 2015 --  I know that song :) What Do You Mean? #5days to go @kendalljenner thanks pic.twitter.com/gHsDsEesB9
Sun Aug 23 05:11:37 PDT 2015 --  Not sure if I can perform today. Not sure if the glutes are firing. Lol. Need the glutes to be firing! #imawake
Sun Aug 23 05:12:11 PDT 2015 --  Guess what.....
Sun Aug 23 05:12:27 PDT 2015 --  #5Days pic.twitter.com/qsGFKPMugO
Sun Aug 23 05:22:02 PDT 2015 --  What do you mean? @RedHourBen #5Days pic.twitter.com/zcUuZhqqfv
Sat Aug 22 17:08:05 PDT 2015 --  Just got word #bieberroast is re-airing on @comedycentral in the next hour. Damn you @KevinHart4real lol. Love u bro
Sat Aug 22 08:06:09 PDT 2015 --  This is Worldwide. What Do You Mean? @IBGDRGN #6days pic.twitter.com/7uR18hH8JP
Fri Aug 21 10:23:37 PDT 2015 --  What Do You Mean? Chris Martin from @coldplay legend thanks #7days pic.twitter.com/IR3z4yxEQW
Fri Aug 21 09:55:28 PDT 2015 --  #WhatDoYouMean video coming soon.. https://instagram.com/p/6pyNKhGvZ_/ 
Fri Aug 21 10:20:54 PDT 2015 --  #7days pic.twitter.com/rSog861fLF
Fri Aug 21 00:00:28 PDT 2015 --  proud of you @carlyraejepsen.. album is incredible. congrats http://smarturl.it/E-MO-TION  pic.twitter.com/CTy4gG3HWL
Thu Aug 20 20:00:20 PDT 2015 --  All that we could do with this #Emotion...Out today!! Finally!! http://smarturl.it/E-MO-TION  pic.twitter.com/vf1cxdRaLT
Thu Aug 20 15:25:20 PDT 2015 --  What do you mean, what do I mean, "What Do You Mean?" That’s Justin’s new single. "What Do You Mean." I mean really. https://twitter.com/justinbieber/status/634375334561878016 …
Thu Aug 20 11:02:07 PDT 2015 --  . @JustinBieber slides into fans' DMs with #WhatDoYouMean lyrics: http://onair.rs/1JmaKAh  pic.twitter.com/a1g5DtvHY9
Thu Aug 20 07:42:34 PDT 2015 --  Thanks @jonmchu and @jemthemovie for the love. #8days #whatdoyoumean pic.twitter.com/p4rEEEXqrl
Thu Aug 20 07:43:27 PDT 2015 --  Thanks for the song guys. @danandshay what do you mean? #8days pic.twitter.com/a02KJTIejZ
Thu Aug 20 07:44:00 PDT 2015 --  What Do You Mean? @theellenshow #8days she has always been there for me. Love Ellen. See you soon. pic.twitter.com/4KhZmK3GlY
Thu Aug 20 07:44:40 PDT 2015 --  And yes going on 26 hours and still shooting this video.....tired. #WhatDoYouMean
Wed Aug 19 16:13:00 PDT 2015 --  Groundbreaking news, everyone. El Niño will be coming to Los Angeles. That’s right. @JustinBieber is gonna be on my premiere week.
Thu Aug 20 06:01:48 PDT 2015 --  @TheEllenShow see u soon
Thu Aug 20 06:02:51 PDT 2015 --  Still shooting this music video. Sooooo tired #WhatDoYouMean
Thu Aug 20 06:23:12 PDT 2015 --  8 days... 8 days. @aplusk #WhatDoYouMean? pic.twitter.com/cc80lcej1G
Thu Aug 20 06:26:43 PDT 2015 --  #8Days pic.twitter.com/GNtS4amqla
Wed Aug 19 08:29:29 PDT 2015 --  Skate https://instagram.com/p/6j82t9gvtN/ 
Wed Aug 19 08:30:57 PDT 2015 --  Love to all the beliebers who are doing the countdown. #9Days and #WhereAreUNowVMA #WhatDoYouMean
Wed Aug 19 08:37:31 PDT 2015 --  Love this guy. @johnleguizamo #whatdoyoumean? #9days pic.twitter.com/sAOMX09Gg9
Wed Aug 19 08:39:15 PDT 2015 --  And the girls now go crazy lol. @jackgilinsky @jackjackjohnson @sammywilk @skatemaloley #9days #whatdoyoumean thanks pic.twitter.com/o6lHb0IP5L
Wed Aug 19 08:45:39 PDT 2015 --  What Do You Mean? @MartinGarrix #9Days this video is sick!! pic.twitter.com/shv070E7qv
