Sat Aug 01 18:13:26 PDT 2015 --  rezendeevil rezendeevil Inscrever-se3.168.077
Fri Jul 17 10:29:02 PDT 2015 --  #3MilhoesRezendeEvil tamo junto rezende
Fri Jul 17 10:16:07 PDT 2015 --  kkkkkk https://twitter.com/Nenhasz/status/622072213869604864 …
Fri Jul 17 10:04:38 PDT 2015 --  #4anosTazerCraft
Fri Jul 17 10:04:12 PDT 2015 --  #3MilhoesRezendeEvil
Fri Jul 17 10:03:27 PDT 2015 --  pactw chegamos a #4anos
Fri Jul 17 10:02:02 PDT 2015 --  rezende tamo junto chegamos a #3MilhoesRezendeEvil
Fri Jun 12 06:16:19 PDT 2015 --  o art games me adiciona no skype para agente gravar junto https://twitter.com/ART_GAMES30010/status/535543026278752256 …
Fri Jun 12 05:30:08 PDT 2015 --  rezende me aceita no skype sou muito seu fã assisto vc desde o primeiro ep da série do herobrine quero gravar com vc https://twitter.com/rezende_evil/status/609306905815719937 …
