Sun Jan 29 08:48:23 PST 2012 --  @kejar31 did you see that the movie is coning in 2013? http://m.imdb.com/title/tt1731141 
Thu Jan 05 15:42:44 PST 2012 --  @bigxie @drod2169 @johnclevenger @kejar31 bleh, no notice! 2.5hr for me.. gonna make it one of these days though!
Sat Dec 03 12:58:38 PST 2011 --  Under SOPA, you could get 5 years for uploading a Michael Jackson song, one year more than the doctor who killed him.
Sat Dec 17 18:41:46 PST 2011 --  @bigxie let me know if you still need a tester for the fonts...
Tue Dec 06 15:36:02 PST 2011 --  Hands on with GNex today. VZW rep. said on sale Fri. I'll be picking one up pending reports of good batt, and no issues with gps/signal....
Sun Nov 13 12:18:22 PST 2011 --  <3 Pancheros! « @bigxie +9001! RT @TheRealBeesley Wow... Pancheros > Chipotle Not even close!»
Tue Feb 08 23:17:11 PST 2011 --  SCT Theme site: Looking for new webhosting (with java support), or java help creating binary from .jar files, more info: http://goo.gl/lIM5E
Thu Feb 03 11:35:25 PST 2011 --  For those asking if Theme site has been updated for Liberty 1.5, It was updated before 1.5 released http://www.sephtin.com/?p=297
Wed Feb 02 15:34:46 PST 2011 --  @kejar31 Those look strangely familiar! Great addition to Liberty! :)
Fri Dec 31 18:02:45 PST 2010 --  @drod2169 same as ubuntu... Use patch...
