Sat Jan 02 09:43:27 PST 2010 --  RT@McEntire1255: @torianddean cnUplz tell ur followrs2 follow & support @LiftUpEllie?Ellie is 8&has bn given 4weeks 2live.She has stage 4cancr
Sat Jan 02 08:53:23 PST 2010 --  Looking 2 start the New Year on a positive note? Check out takecontroltour.com. Me, chris gardner and @jamesvanpraagh. Please RT,
Fri Jan 01 18:48:43 PST 2010 --  @TheStafford Have you posted a picture of your daughter? if so i missed it !
Thu Dec 31 21:00:09 PST 2009 --  HAPPY NEW YEAR EVERYONE !!!!!!!!
Thu Dec 31 19:43:25 PST 2009 --  @Robin_McGraw Happy New Year! To you And Phillip and the whole Family!
Thu Dec 31 19:02:24 PST 2009 --  You both are really Beautiful...Happy New Year! http://tweetphoto.com/7729888
Thu Dec 31 15:51:42 PST 2009 --  Looking Great! Happy New Year! http://tweetphoto.com/7711945
Fri Dec 25 11:41:20 PST 2009 --  Merry Christmas Everyone!
Fri Dec 25 06:05:56 PST 2009 --  MERRY CHRISTMAS EVERYONE!
Thu Dec 24 10:30:18 PST 2009 --  @TheStafford Merry Christmas to you and your Daughter! Hugs
Wed Dec 23 20:59:59 PST 2009 --  @Jillzarin I just watched also...i was shocked at Tamera wow
Wed Dec 23 17:42:16 PST 2009 --  @Gretchentv MerryChristmas, Happy Holidays to you and your Family!
Tue Dec 22 18:41:54 PST 2009 --  @grandmawrinkles voted #108
Mon Dec 21 10:04:39 PST 2009 --  @vgunvalson Happy Holidays....Have a wonderful Christmas!
Sat Dec 19 19:10:02 PST 2009 --  @gretchentv http://twitpic.com/ua1ob - wow... very pretty
Wed Dec 09 19:12:03 PST 2009 --  @NeNeLeakes http://twitpic.com/svh9x - Very Pretty ...Love the season!
