Thu Aug 20 22:51:36 PDT 2015 --  pic.twitter.com/8ILcwp9CdD
Thu Aug 20 21:56:45 PDT 2015 --  pic.twitter.com/dXIVdlaXoz
Tue Aug 18 02:53:43 PDT 2015 --  Madrugar es parte de sentirse bien, solo lo saben las personas humildes q salen a ponerle el pecho a las balas pic.twitter.com/HS8fQmXdyI
Mon Aug 17 15:38:35 PDT 2015 --  Dura poco la mateada sólo. cuando tenes amigos que te invitan a tomar algo, lastima que nunca sea un café,mate o té pic.twitter.com/lORvyj40pV
Mon Aug 17 15:10:57 PDT 2015 --  Después como todo buen chico a deschavarce sólo en casa pic.twitter.com/G0T8mFLSqU
Mon Aug 17 15:06:58 PDT 2015 --  Una hermosa tarde con amigos pic.twitter.com/VZxsE8iyeo
Mon Aug 17 14:58:36 PDT 2015 --  Hoy la pequeña bb que tube en mis brazos a los pocos dias que nacio, se conviertio en esta preciosa… https://instagram.com/p/6gBeAlm-uX/ 
Mon Aug 17 14:58:23 PDT 2015 --  Con mi hermosa sobrina Morena cuando recien nacio https://instagram.com/p/6gAWqSm-rp/ 
Fri Sep 26 19:44:43 PDT 2014 --  Acabo de publicar una foto http://instagram.com/p/tbsHMLm-vi/ 
