Fri Aug 14 01:49:02 PDT 2015 --  AND NOW SHE'S IN THE HOSPITAL BECAUSE OF YOU. makonsensya ka.
Fri Aug 14 01:47:32 PDT 2015 --  Ikaw naman lalake, lakas ng loob mong gumanyan,,porket sikat ka? ganun ba? pwede nang pagsabasabaying ma babae?
Fri Aug 14 01:46:51 PDT 2015 --  ipahunting kita kay Lola Nidora eh
Fri Aug 14 01:46:35 PDT 2015 --  'so sweet naman this guy' putsa landi mo teh
Fri Aug 14 01:46:17 PDT 2015 --  OMG I SO HATE THIS GUY
Mon Aug 10 15:28:48 PDT 2015 --  X We've been friends now for a while I wanna know that when you smile Is it me yeah? Are you thinking of me yeah? X
Thu Aug 06 03:30:39 PDT 2015 --  nobody notices other's talent/s
Tue Aug 11 02:50:47 PDT 2015 --  I know that I'm lucky enough to have clothes on my back and food to eat, but sometimes it hurts too much that i think I have the worst life.
Fri Aug 14 01:38:59 PDT 2015 --  Hello
