Thu Aug 20 20:37:14 PDT 2015 --  El amor de mi vida pase lo q pase te amo pic.twitter.com/xBgOC4fB8k
Sat Aug 15 07:12:23 PDT 2015 --  How the hell did it go in https://vine.co/v/OnHPutgWuPH 
Sat Aug 15 07:30:51 PDT 2015 --  Fight! https://vine.co/v/OD1iKt1Bd56 
Sat Aug 15 08:20:15 PDT 2015 --  Listen to Cosculluela Feat Nicky Jam - Te Busco by Rapetón Music #np on #SoundCloud https://soundcloud.com/rapetonmusic/cosculluela-feat-nicky-jam-te-busco …
Sat Aug 15 04:36:54 PDT 2015 --  Confrontación entre Daniel Santos y Kermit Cintrón en San Juan se Guillo Daniel santos http://youtu.be/gGZFaJsUvXM 
Thu Feb 12 14:37:55 PST 2015 --  Cuando tu ex te llama al frente de la jeva https://vine.co/v/Mg56FFd9xWh 
Wed Apr 08 18:40:26 PDT 2015 --  DONT SAY ANYTHING, JUST RT https://vine.co/v/OBOE3qQPatu 
Tue Aug 11 17:23:05 PDT 2015 --  WTF there is a new type of firework called The Sky Ladder and it’s beautiful http://bzfd.it/1Kgm8u5  pic.twitter.com/6bwGdN2R80
Thu Jul 30 16:40:34 PDT 2015 --  Follow me live & cheer me on with #Runtastic LIVE Tracking! https://www.runtastic.com/sport-sessions/1000750099 …
Thu Jul 30 16:38:57 PDT 2015 --  just finished a Runtastic run of 3.08 mi in 46m 10s with #Runtastic app: https://www.runtastic.com/sport-sessions/1000747116 …
